😀	笑脸
👩🏽‍🦰	女人 ， 红发 ： 中等 肤色
👩🏾‍🦰	红发 女人 ： 中黑 肤色
👩🏿‍🦰	女人 ， 红发 ： 深色 肤色
👨‍🦱	男人 ， 卷发
👨🏻‍🦱	男性 ， 卷发 ： 浅肤色
👨🏼‍🦱	男性 ， 卷发 ： 中浅 肤色
👨🏽‍🦱	男性 ， 卷发 ： 中等 肤色
👨🏾‍🦱	男性 ， 卷发 ： 中黑 肤色
👨🏿‍🦱	男性 ， 卷发 ： 深色 肤色
👩‍🦱	女人 ， 卷发
👩🏻‍🦱	卷发 女人 ： 浅肤色
👩🏼‍🦱	卷发 女人 ： 中浅 肤色
👩🏽‍🦱	卷发 女人 ： 中等 肤色
👩🏾‍🦱	卷发 女人 ： 中黑 肤色
👩🏿‍🦱	卷发 女人 ： 深色 肤色
👨‍🦲	男人 , 秃头
👨🏻‍🦲	男性 ， 秃头 ： 浅肤色
👨🏼‍🦲	男性 ， 秃头 ： 中浅 肤色
👨🏽‍🦲	男性 ， 秃头 ： 中等 肤色
👨🏾‍🦲	男性 ， 秃头 ： 中深 肤色
👨🏿‍🦲	男性 ， 秃头 ： 深色 肤色
👩‍🦲	女人 , 秃头
👩🏻‍🦲	女人 ， 秃头 ： 浅肤色
👩🏼‍🦲	女人 ， 秃头 ： 中浅 肤色
👩🏽‍🦲	女人 ， 秃头 ： 中等 肤色
👩🏾‍🦲	女人 ， 秃头 ： 中深 肤色
👩🏿‍🦲	女人 ， 秃头 ： 深色 肤色
👨‍🦳	男人 , 白发
👨🏻‍🦳	男性 ， 白发 ： 浅肤色
👨🏼‍🦳	男性 ， 白发 ： 中浅 肤色
👨🏽‍🦳	男性 ， 白发 ： 中等 肤色
👨🏾‍🦳	男性 ， 白发 ： 中黑 肤色
👨🏿‍🦳	男性 ， 白发 ： 深色 肤色
👩‍🦳	女人 ， 白发
👩🏻‍🦳	女人 ， 白发 ： 浅肤色
👩🏼‍🦳	女人 ， 白发 ： 中浅 肤色
👩🏽‍🦳	女人 ， 白发 ： 中等 肤色
👩🏾‍🦳	女人 ， 白发 ： 中黑 肤色
👩🏿‍🦳	女人 ， 白发 ： 深色 肤色
🤵	穿 燕尾服 的 男人
🤵🏻	穿 燕尾服 的 男人 ： 浅肤色
🤵🏼	穿 燕尾服 的 男人 ： 中浅 肤色
🤵🏽	穿 燕尾服 的 男人 ： 中等 肤色
🤵🏾	穿 燕尾服 的 男人 ： 中黑 肤色
🤵🏿	穿 燕尾服 的 男人 ： 深色 肤色
👰	戴 面纱 的 新娘
👰🏻	戴 头纱 的 新娘 ： 浅肤色
👰🏼	戴 头纱 的 新娘 ： 中浅 肤色
👰🏽	戴 头纱 的 新娘 ： 中等 肤色
👰🏾	戴 头纱 的 新娘 ： 中 深 肤色
👰🏿	戴 头纱 的 新娘 ： 深色 肤色
🤰	怀孕 的 女人
🤰🏻	孕妇 ： 浅肤色
🤰🏼	孕妇 ： 中浅 肤色
🤰🏽	孕妇 ： 中等 肤色
🤰🏾	孕妇 ： 中黑 肤色
🤰🏿	孕妇 ： 深色 肤色
🤱	哺乳
🤱🏻	哺乳期 ： 浅肤色
🤱🏼	哺乳期 ： 中浅 肤色
🤱🏽	哺乳期 ： 中等 肤色
🤱🏾	哺乳期 ： 中黑 肤色
🤱🏿	哺乳期 ： 深色 肤色
👼	宝贝 天使
👼🏻	小 天使 ： 浅肤色
👼🏼	小 天使 ： 中浅 肤色
👼🏽	小 天使 ： 中等 肤色
👼🏾	小 天使 ： 中黑 肤色
👼🏿	天使 宝贝 ： 深色 肤色
🎅	圣诞 老人
🎅🏻	圣诞 老人 : 浅 肤色
🎅🏼	圣诞 老人 ： 中浅 肤色
🎅🏽	圣诞 老人 ： 中等 肤色
🎅🏾	圣诞 老人 ： 中黑 肤色
🎅🏿	圣诞 老人 ： 深色 肤色
🤶	克劳斯 夫人
🤶🏻	克劳斯 夫人 ： 浅肤色
🤶🏼	克劳斯 夫人 ： 中浅 肤色
🤶🏽	克劳斯 夫人 ： 中等 肤色
🤶🏾	克劳斯 夫人 ： 中 深 肤色
🤶🏿	克劳斯 夫人 ： 深色 肤色
🦸	超级 英雄
🦸🏻	超级 英雄 ： 浅肤色
🦸🏼	超级 英雄 ： 中浅 肤色
🦸🏽	超级 英雄 ： 中等 肤色
🦸🏾	超级 英雄 ： 中黑 肤色
🦸🏿	超级 英雄 ： 深色 肤色
🦸‍♀️	女 超级 英雄
🦸‍♀	女 超级 英雄
🦸🏻‍♀️	女 超级 英雄 ： 浅肤色
🦸🏻‍♀	女 超级 英雄 ： 浅肤色
🦸🏼‍♀️	女 超级 英雄 ： 中浅 肤色
🦸🏼‍♀	女 超级 英雄 ： 中浅 肤色
🦸🏽‍♀️	女 超级 英雄 ： 中等 肤色
🦸🏽‍♀	女 超级 英雄 ： 中等 肤色
🦸🏾‍♀️	女 超级 英雄 ： 中黑 肤色
🦸🏾‍♀	女 超级 英雄 ： 中黑 肤色
🦸🏿‍♀️	女 超级 英雄 ： 深色 肤色
🦸🏿‍♀	女 超级 英雄 ： 深色 肤色
🦸‍♂️	男人 超级 英雄
🦸‍♂	男人 超级 英雄
🦸🏻‍♂️	男 超级 英雄 ： 浅肤色
🦸🏻‍♂	男 超级 英雄 ： 浅肤色
🦸🏼‍♂️	男 超级 英雄 ： 中浅 肤色
🦸🏼‍♂	男 超级 英雄 ： 中浅 肤色
🦸🏽‍♂️	男 超级 英雄 ： 中等 肤色
🦸🏽‍♂	男 超级 英雄 ： 中等 肤色
🦸🏾‍♂️	男性 超级 英雄 ： 中黑 肤色
🦸🏾‍♂	男性 超级 英雄 ： 中黑 肤色
🦸🏿‍♂️	男性 超级 英雄 ： 深色 肤色
🦸🏿‍♂	男性 超级 英雄 ： 深色 肤色
🦹	超级 恶棍
🦹🏻	超级 反派 ： 浅肤色
🦹🏼	超级 反派 ： 中浅 肤色
🦹🏽	超级 反派 ： 中等 肤色
🦹🏾	超级 恶棍 ： 中黑 肤色
🦹🏿	超级 反派 ： 深色 肤色
🦹‍♀️	女人 超级 恶棍
🦹‍♀	女人 超级 恶棍
🦹🏻‍♀️	女 超级 反派 ： 浅肤色
🦹🏻‍♀	女 超级 反派 ： 浅肤色
🦹🏼‍♀️	女 超级 反派 ： 中浅 肤色
🦹🏼‍♀	女 超级 反派 ： 中浅 肤色
🦹🏽‍♀️	女 超级 反派 ： 中等 肤色
🦹🏽‍♀	女 超级 反派 ： 中等 肤色
🦹🏾‍♀️	女 超级 反派 ： 中黑 肤色
🦹🏾‍♀	女 超级 反派 ： 中黑 肤色
🦹🏿‍♀️	女 超级 恶棍 ： 深色 肤色
🦹🏿‍♀	女 超级 恶棍 ： 深色 肤色
🦹‍♂️	男人 超级 恶棍
🦹‍♂	男人 超级 恶棍
🦹🏻‍♂️	男 超级 恶棍 ： 浅肤色
🦹🏻‍♂	男 超级 恶棍 ： 浅肤色
🦹🏼‍♂️	男 超级 反派 ： 中浅 肤色
🦹🏼‍♂	男 超级 反派 ： 中浅 肤色
🦹🏽‍♂️	男 超级 恶棍 ： 中等 肤色
🦹🏽‍♂	男 超级 恶棍 ： 中等 肤色
🦹🏾‍♂️	男人 超级 恶棍 ： 中黑 肤色
🦹🏾‍♂	男人 超级 恶棍 ： 中黑 肤色
🦹🏿‍♂️	男人 超级 恶棍 ： 深色 肤色
🦹🏿‍♂	男人 超级 恶棍 ： 深色 肤色
🧙	法师
🧙🏻	法师 ： 浅肤色
🧙🏼	法师 ： 中浅 肤色
🧙🏽	法师 ： 中等 肤色
🧙🏾	法师 ： 中黑 肤色
🧙🏿	法师 ： 深色 肤色
🧙‍♀️	女 法师
🧙‍♀	女 法师
🧙🏻‍♀️	女 法师 ： 浅肤色
🧙🏻‍♀	女 法师 ： 浅肤色
🧙🏼‍♀️	女 法师 ： 中浅 肤色
🧙🏼‍♀	女 法师 ： 中浅 肤色
🧙🏽‍♀️	女 法师 ： 中等 肤色
🧙🏽‍♀	女 法师 ： 中等 肤色
🧙🏾‍♀️	女 法师 ： 中黑 肤色
🧙🏾‍♀	女 法师 ： 中黑 肤色
🧙🏿‍♀️	女 法师 ： 深色 肤色
🧙🏿‍♀	女 法师 ： 深色 肤色
🧙‍♂️	男 法师
🧙‍♂	男 法师
🧙🏻‍♂️	男 法师 ： 浅肤色
🧙🏻‍♂	男 法师 ： 浅肤色
🧙🏼‍♂️	男 法师 ： 中浅 肤色
🧙🏼‍♂	男 法师 ： 中浅 肤色
🧙🏽‍♂️	男 法师 ： 中等 肤色
🧙🏽‍♂	男 法师 ： 中等 肤色
🧙🏾‍♂️	男 法师 ： 中黑 肤色
🧙🏾‍♂	男 法师 ： 中黑 肤色
🧙🏿‍♂️	男 法师 ： 深色 肤色
🧙🏿‍♂	男 法师 ： 深色 肤色
🧚	仙女
🧚🏻	仙女 ： 浅肤色
🧚🏼	仙女 ： 中浅 肤色
🧚🏽	仙女 ： 中等 肤色
🧚🏾	仙女 ： 中黑 肤色
🧚🏿	仙女 ： 深色 肤色
🧚‍♀️	女人 仙女
🧚‍♀	女人 仙女
🧚🏻‍♀️	女 仙女 ： 浅肤色
🧚🏻‍♀	女 仙女 ： 浅肤色
🧚🏼‍♀️	女 仙女 ： 中浅 肤色
🧚🏼‍♀	女 仙女 ： 中浅 肤色
🧚🏽‍♀️	女 仙女 ： 中等 肤色
🧚🏽‍♀	女 仙女 ： 中等 肤色
🧚🏾‍♀️	女 仙女 ： 中黑 肤色
🧚🏾‍♀	女 仙女 ： 中黑 肤色
🧚🏿‍♀️	女 仙女 ： 深色 肤色
🧚🏿‍♀	女 仙女 ： 深色 肤色
🧚‍♂️	男人 仙女
🧚‍♂	男人 仙女
🧚🏻‍♂️	男 神仙 ： 浅肤色
🧚🏻‍♂	男 神仙 ： 浅肤色
🧚🏼‍♂️	男 仙女 ： 中浅 肤色
🧚🏼‍♂	男 仙女 ： 中浅 肤色
🧚🏽‍♂️	男 仙女 ： 中等 肤色
🧚🏽‍♂	男 仙女 ： 中等 肤色
🧚🏾‍♂️	男 仙女 ： 中黑 肤色
🧚🏾‍♂	男 仙女 ： 中黑 肤色
🧚🏿‍♂️	男 仙女 ： 深色 肤色
🧚🏿‍♂	男 神仙 ： 深色 肤色
🧛	吸血鬼
🧛🏻	吸血鬼 ： 浅肤色
🧛🏼	吸血鬼 ： 中浅 肤色
🧛🏽	吸血鬼 ： 中等 肤色
🧛🏾	吸血鬼 ： 中 黑 肤色
🧛🏿	吸血鬼 ： 深色 肤色
🧛‍♀️	女人 吸血鬼
🧛‍♀	女人 吸血鬼
🧛🏻‍♀️	女 吸血鬼 ： 浅肤色
🧛🏻‍♀	女 吸血鬼 ： 浅肤色
🧛🏼‍♀️	女 吸血鬼 ： 中浅 肤色
🧛🏼‍♀	女 吸血鬼 ： 中浅 肤色
🧛🏽‍♀️	女 吸血鬼 ： 中等 肤色
🧛🏽‍♀	女 吸血鬼 ： 中等 肤色
🧛🏾‍♀️	女 吸血鬼 ： 中 黑 肤色
🧛🏾‍♀	女 吸血鬼 ： 中 黑 肤色
🧛🏿‍♀️	女 吸血鬼 ： 深色 肤色
🧛🏿‍♀	女 吸血鬼 ： 深色 肤色
🧛‍♂️	男人 吸血鬼
🧛‍♂	男人 吸血鬼
🧛🏻‍♂️	男 吸血鬼 ： 浅肤色
🧛🏻‍♂	男 吸血鬼 ： 浅肤色
🧛🏼‍♂️	男 吸血鬼 ： 中浅 肤色
🧛🏼‍♂	男 吸血鬼 ： 中浅 肤色
🧛🏽‍♂️	男 吸血鬼 ： 中等 肤色
🧛🏽‍♂	男 吸血鬼 ： 中等 肤色
🧛🏾‍♂️	男 吸血鬼 ： 中 黑 肤色
🧛🏾‍♂	男 吸血鬼 ： 中 黑 肤色
🧛🏿‍♂️	男 吸血鬼 ： 深色 肤色
🧛🏿‍♂	男 吸血鬼 ： 深色 肤色
🧜	人 鱼
🧜🏻	人 鱼 ： 浅肤色
🧜🏼	人鱼 ： 中浅 肤色
🧜🏽	人鱼 ： 中等 肤色
🧜🏾	人鱼 ： 中黑 肤色
🧜🏿	人鱼 ： 深色 肤色
🧜‍♀️	美人鱼
🧜‍♀	美人鱼
🧜🏻‍♀️	美人鱼 ： 浅肤色
🧜🏻‍♀	美人鱼 ： 浅肤色
🧜🏼‍♀️	美人鱼 ： 中浅 肤色
🧜🏼‍♀	美人鱼 ： 中浅 肤色
🧜🏽‍♀️	美人鱼 ： 中等 肤色
🧜🏽‍♀	美人鱼 ： 中等 肤色
🧜🏾‍♀️	美人鱼 ： 中黑 肤色
🧜🏾‍♀	美人鱼 ： 中黑 肤色
🧜🏿‍♀️	美人鱼 ： 深色 肤色
🧜🏿‍♀	美人鱼 ： 深色 肤色
🧜‍♂️	人 鱼
🧜‍♂	人 鱼
🧜🏻‍♂️	人 鱼 ： 浅肤色
🧜🏻‍♂	人 鱼 ： 浅肤色
🧜🏼‍♂️	人鱼 ： 中浅 肤色
🧜🏼‍♂	人鱼 ： 中浅 肤色
🧜🏽‍♂️	人鱼 ： 中等 肤色
🧜🏽‍♂	人鱼 ： 中等 肤色
🧜🏾‍♂️	人鱼 : 中 黑 肤色
🧜🏾‍♂	人鱼 : 中 黑 肤色
🧜🏿‍♂️	人鱼 ： 深色 肤色
🧜🏿‍♂	人鱼 ： 深色 肤色
🧝	小精灵
🧝🏻	精灵 ： 浅肤色
🧝🏼	精灵 ： 中浅 肤色
🧝🏽	精灵 ： 中等 肤色
🧝🏾	精灵 ： 中黑 肤色
🧝🏿	精灵 ： 深色 肤色
🧝‍♀️	女人 精灵
🧝‍♀	女人 精灵
🧝🏻‍♀️	女 精灵 ： 浅肤色
🧝🏻‍♀	女 精灵 ： 浅肤色
🧝🏼‍♀️	女 精灵 ： 中浅 肤色
🧝🏼‍♀	女 精灵 ： 中浅 肤色
🧝🏽‍♀️	女 精灵 ： 中等 肤色
🧝🏽‍♀	女 精灵 ： 中等 肤色
🧝🏾‍♀️	女 精灵 ： 中黑 肤色
🧝🏾‍♀	女 精灵 ： 中黑 肤色
🧝🏿‍♀️	女 精灵 ： 深色 肤色
🧝🏿‍♀	女 精灵 ： 深色 肤色
🧝‍♂️	男人 精灵
🧝‍♂	男人 精灵
🧝🏻‍♂️	男 精灵 ： 浅肤色
🧝🏻‍♂	男 精灵 ： 浅肤色
🧝🏼‍♂️	男 精灵 ： 中浅 肤色
🧝🏼‍♂	男 精灵 ： 中浅 肤色
🧝🏽‍♂️	男 精灵 ： 中等 肤色
🧝🏽‍♂	男 精灵 ： 中等 肤色
🧝🏾‍♂️	男 精灵 ： 中黑 肤色
🧝🏾‍♂	男 精灵 ： 中黑 肤色
🧝🏿‍♂️	男 精灵 ： 深色 肤色
🧝🏿‍♂	男 精灵 ： 深色 肤色
🧞	精灵
🧞‍♀️	女人 精灵
🧞‍♀	女人 精灵
🧞‍♂️	人 精灵
🧞‍♂	人 精灵
🧟	僵尸
🧟‍♀️	女人 僵尸
🧟‍♀	女人 僵尸
🧟‍♂️	男人 僵尸
🧟‍♂	男人 僵尸
🙍	皱眉 的 人
🙍🏻	皱眉 的 人 ： 浅肤色
🙍🏼	皱眉者 ： 中浅 肤色
🙍🏽	皱眉者 ： 中等 肤色
🙍🏾	皱眉 的 人 ： 中 深 肤色
🙍🏿	皱眉 的 人 ： 深色 肤色
🙍‍♂️	男人 皱眉
🙍‍♂	男人 皱眉
🙍🏻‍♂️	男人 皱眉 ： 浅肤色
🙍🏻‍♂	男人 皱眉 ： 浅肤色
🙍🏼‍♂️	男人 皱眉 ： 中浅 肤色
🙍🏼‍♂	男人 皱眉 ： 中浅 肤色
🙍🏽‍♂️	男人 皱眉 ： 中等 肤色
🙍🏽‍♂	男人 皱眉 ： 中等 肤色
🙍🏾‍♂️	男人 皱眉 ： 中 黑 肤色
🙍🏾‍♂	男人 皱眉 ： 中 黑 肤色
🙍🏿‍♂️	男人 皱眉 ： 深色 肤色
🙍🏿‍♂	男人 皱眉 ： 深色 肤色
🙍‍♀️	女人 皱眉
🙍‍♀	女人 皱眉
🙍🏻‍♀️	女人 皱眉 ： 浅肤色
🙍🏻‍♀	女人 皱眉 ： 浅肤色
🙍🏼‍♀️	皱眉 的 女人 ： 中浅 肤色
🙍🏼‍♀	皱眉 的 女人 ： 中浅 肤色
🙍🏽‍♀️	皱眉 的 女人 ： 中等 肤色
🙍🏽‍♀	皱眉 的 女人 ： 中等 肤色
🙍🏾‍♀️	皱眉 的 女人 ： 中黑 肤色
🙍🏾‍♀	皱眉 的 女人 ： 中黑 肤色
🙍🏿‍♀️	女人 皱眉 ： 深色 肤色
🙍🏿‍♀	女人 皱眉 ： 深色 肤色
🙎	撅嘴 的 人
🙎🏻	撅嘴 的 人 ： 浅肤色
🙎🏼	撅嘴 的 人 ： 中浅 肤色
🙎🏽	撅嘴 的 人 ： 中等 肤色
🙎🏾	噘嘴 的 人 ： 中 深 肤色
🙎🏿	撅嘴 的 人 ： 深色 肤色
🙎‍♂️	男人 撅嘴
🙎‍♂	男人 撅嘴
🙎🏻‍♂️	撅嘴 的 男人 ： 浅肤色
🙎🏻‍♂	撅嘴 的 男人 ： 浅肤色
🙎🏼‍♂️	撅嘴 的 男人 ： 中浅 肤色
🙎🏼‍♂	撅嘴 的 男人 ： 中浅 肤色
🙎🏽‍♂️	撅嘴 的 男人 : 中等 肤色
🙎🏽‍♂	撅嘴 的 男人 : 中等 肤色
🙎🏾‍♂️	撅嘴 的 男人 : 中 黑 肤色
🙎🏾‍♂	撅嘴 的 男人 : 中 黑 肤色
🙎🏿‍♂️	男人 撅嘴 ： 深色 肤色
🙎🏿‍♂	男人 撅嘴 ： 深色 肤色
🙎‍♀️	女人 撅嘴
🙎‍♀	女人 撅嘴
🙎🏻‍♀️	撅嘴 的 女人 ： 浅肤色
🙎🏻‍♀	撅嘴 的 女人 ： 浅肤色
🙎🏼‍♀️	撅嘴 的 女人 ： 中浅 肤色
🙎🏼‍♀	撅嘴 的 女人 ： 中浅 肤色
🙎🏽‍♀️	撅嘴 的 女人 ： 中等 肤色
🙎🏽‍♀	撅嘴 的 女人 ： 中等 肤色
🙎🏾‍♀️	撅嘴 的 女人 ： 中黑 肤色
🙎🏾‍♀	撅嘴 的 女人 ： 中黑 肤色
🙎🏿‍♀️	撅嘴 的 女人 ： 深色 肤色
🙎🏿‍♀	撅嘴 的 女人 ： 深色 肤色
🙅	打手势 “ 不 ” 的 人
🙅🏻	做出 “ 不 ” 手势 的 人 ： 浅肤色
🙅🏼	打手势 “ 不 ” 的 人 ： 中浅 肤色
🙅🏽	打手势 “ 不 ” 的 人 ： 中等 肤色
🙅🏾	打手势 “ 不 ” 的 人 ： 中 深 肤色
🙅🏿	打手势 “ 不 ” 的 人 ： 深色 肤色
🙅‍♂️	男人 打手势 “ 不 ”
🙅‍♂	男人 打手势 “ 不 ”
🙅🏻‍♂️	男人 做 “ 不 ” 手势 ： 浅肤色
🙅🏻‍♂	男人 做 “ 不 ” 手势 ： 浅肤色
🙅🏼‍♂️	男人 打手势 “ 不 ” ： 中浅 肤色
🙅🏼‍♂	男人 打手势 “ 不 ” ： 中浅 肤色
🙅🏽‍♂️	男人 打手势 “ 不 ” ： 中等 肤色
🙅🏽‍♂	男人 打手势 “ 不 ” ： 中等 肤色
🙅🏾‍♂️	男人 打手势 “ 不 ” ： 中 深 肤色
🙅🏾‍♂	男人 打手势 “ 不 ” ： 中 深 肤色
🙅🏿‍♂️	男人 打手势 “ 不 ” ： 深色 肤色
🙅🏿‍♂	男人 打手势 “ 不 ” ： 深色 肤色
🙅‍♀️	女人 打手势 “ 不 ”
🙅‍♀	女人 打手势 “ 不 ”
🙅🏻‍♀️	女人 做 “ 不 ” 手势 ： 浅肤色
🙅🏻‍♀	女人 做 “ 不 ” 手势 ： 浅肤色
🙅🏼‍♀️	女人 打手势 “ 不 ” ： 中浅 肤色
🙅🏼‍♀	女人 打手势 “ 不 ” ： 中浅 肤色
🙅🏽‍♀️	女人 打手势 “ 不 ” ： 中等 肤色
🙅🏽‍♀	女人 打手势 “ 不 ” ： 中等 肤色
🙅🏾‍♀️	女人 做 “ 不 ” 手势 ： 中 深 肤色
🙅🏾‍♀	女人 做 “ 不 ” 手势 ： 中 深 肤色
🙅🏿‍♀️	女人 做 “ 不 ” 手势 ： 深色 肤色
🙅🏿‍♀	女人 做 “ 不 ” 手势 ： 深色 肤色
🙆	打手势 “ OK ” 的 人
🙆🏻	打手势 “ OK ” 的 人 ： 浅肤色
🙆🏼	打手势 “ OK ” 的 人 ： 中浅 肤色
🙆🏽	打手势 “ OK ” 的 人 ： 中等 肤色
🙆🏾	打手势 “ OK ” 的 人 ： 中 深 肤色
🙆🏿	打手势 “ OK ” 的 人 ： 深色 肤色
🙆‍♂️	男人 打手势 “ OK ”
🙆‍♂	男人 打手势 “ OK ”
🙆🏻‍♂️	男人 打手势 “ OK ” ： 浅肤色
🙆🏻‍♂	男人 打手势 “ OK ” ： 浅肤色
🙆🏼‍♂️	男人 打手势 “ OK ” ： 中浅 肤色
🙆🏼‍♂	男人 打手势 “ OK ” ： 中浅 肤色
🙆🏽‍♂️	男人 打手势 “ OK ” ： 中等 肤色
🙆🏽‍♂	男人 打手势 “ OK ” ： 中等 肤色
🙆🏾‍♂️	男人 打手势 “ OK ” ： 中 深 肤色
🙆🏾‍♂	男人 打手势 “ OK ” ： 中 深 肤色
🙆🏿‍♂️	男人 打手势 “ OK ” ： 深色 肤色
🙆🏿‍♂	男人 打手势 “ OK ” ： 深色 肤色
🙆‍♀️	女人 打手势 “ OK ”
🙆‍♀	女人 打手势 “ OK ”
🙆🏻‍♀️	女人 做 手势 ： 浅肤色
🙆🏻‍♀	女人 做 手势 ： 浅肤色
🙆🏼‍♀️	做 OK 手势 的 女人 ： 中浅 肤色
🙆🏼‍♀	做 OK 手势 的 女人 ： 中浅 肤色
🙆🏽‍♀️	做 OK 手势 的 女人 ： 中等 肤色
🙆🏽‍♀	做 OK 手势 的 女人 ： 中等 肤色
🙆🏾‍♀️	做 OK 手势 的 女人 ： 中 深 肤色
🙆🏾‍♀	做 OK 手势 的 女人 ： 中 深 肤色
🙆🏿‍♀️	女人 打手势 “ 好 ” ： 深色 肤色
🙆🏿‍♀	女人 打手势 “ 好 ” ： 深色 肤色
💁	倾斜手 的 人
💁🏻	倾手 的 人 ： 浅肤色
💁🏼	倾斜手 的 人 ： 中浅 肤色
💁🏽	倾斜手 的 人 ： 中等 肤色
💁🏾	倾斜手 的 人 ： 中 深 肤色
💁🏿	倾斜手 的 人 ： 深色 肤色
💁‍♂️	男人 倾斜 手
💁‍♂	男人 倾斜 手
💁🏻‍♂️	男人 倾斜 手 ： 浅肤色
💁🏻‍♂	男人 倾斜 手 ： 浅肤色
💁🏼‍♂️	男人 举手 ： 中浅 肤色
💁🏼‍♂	男人 举手 ： 中浅 肤色
💁🏽‍♂️	男人 倾斜手 ： 中等 肤色
💁🏽‍♂	男人 倾斜手 ： 中等 肤色
💁🏾‍♂️	男人 倾斜手 ： 中 深 肤色
💁🏾‍♂	男人 倾斜手 ： 中 深 肤色
💁🏿‍♂️	男人 倾斜 手 ： 深色 肤色
💁🏿‍♂	男人 倾斜 手 ： 深色 肤色
💁‍♀️	女人 倾斜 的 手
💁‍♀	女人 倾斜 的 手
💁🏻‍♀️	女人 倾斜 手 ： 浅肤色
💁🏻‍♀	女人 倾斜 手 ： 浅肤色
💁🏼‍♀️	女人 倾斜 的 手 ： 中浅 肤色
💁🏼‍♀	女人 倾斜 的 手 ： 中浅 肤色
💁🏽‍♀️	女人 倾 斜手 ： 中等 肤色
💁🏽‍♀	女人 倾 斜手 ： 中等 肤色
💁🏾‍♀️	女人 倾斜 的 手 ： 中 深 肤色
💁🏾‍♀	女人 倾斜 的 手 ： 中 深 肤色
💁🏿‍♀️	女人 倾斜 手 ： 深色 肤色
💁🏿‍♀	女人 倾斜 手 ： 深色 肤色
🙋	举手 的 人
🙋🏻	举手 的 人 ： 浅肤色
🙋🏼	举手者 ： 中浅 肤色
🙋🏽	举手 的 人 ： 中等 肤色
🙋🏾	举手 的 人 ： 中 深 肤色
🙋🏿	举手 的 人 ： 深色 肤色
🙋‍♂️	男人 举手
🙋‍♂	男人 举手
🙋🏻‍♂️	举手 的 男人 ： 浅肤色
🙋🏻‍♂	举手 的 男人 ： 浅肤色
🙋🏼‍♂️	举手 的 男人 ： 中浅 肤色
🙋🏼‍♂	举手 的 男人 ： 中浅 肤色
🙋🏽‍♂️	举手 的 男人 ： 中等 肤色
🙋🏽‍♂	举手 的 男人 ： 中等 肤色
🙋🏾‍♂️	举手 的 男人 ： 中 深 肤色
🙋🏾‍♂	举手 的 男人 ： 中 深 肤色
🙋🏿‍♂️	举手 的 男人 ： 深色 肤色
🙋🏿‍♂	举手 的 男人 ： 深色 肤色
🙋‍♀️	女人 举手
🙋‍♀	女人 举手
🙋🏻‍♀️	举手 的 女人 ： 浅肤色
🙋🏻‍♀	举手 的 女人 ： 浅肤色
🙋🏼‍♀️	举手 的 女人 ： 中浅 肤色
🙋🏼‍♀	举手 的 女人 ： 中浅 肤色
🙋🏽‍♀️	举手 的 女人 ： 中等 肤色
🙋🏽‍♀	举手 的 女人 ： 中等 肤色
🙋🏾‍♀️	举手 的 女人 ： 中 深 肤色
🙋🏾‍♀	举手 的 女人 ： 中 深 肤色
🙋🏿‍♀️	举手 的 女人 ： 深色 肤色
🙋🏿‍♀	举手 的 女人 ： 深色 肤色
🙇	人 鞠躬
🙇🏻	鞠躬 的 人 ： 浅肤色
🙇🏼	鞠躬者 ： 中浅 肤色
🙇🏽	鞠躬 的 人 ： 中等 肤色
🙇🏾	鞠躬 的 人 ： 中 深 肤色
🙇🏿	鞠躬 的 人 ： 深色 肤色
🙇‍♂️	男人 鞠躬
🙇‍♂	男人 鞠躬
🙇🏻‍♂️	男人 鞠躬 ： 浅肤色
🙇🏻‍♂	男人 鞠躬 ： 浅肤色
🙇🏼‍♂️	男人 鞠躬 ： 中浅 肤色
🙇🏼‍♂	男人 鞠躬 ： 中浅 肤色
🙇🏽‍♂️	男人 鞠躬 ： 中等 肤色
🙇🏽‍♂	男人 鞠躬 ： 中等 肤色
🙇🏾‍♂️	男人 鞠躬 ： 中 深 肤色
🙇🏾‍♂	男人 鞠躬 ： 中 深 肤色
🙇🏿‍♂️	男人 鞠躬 ： 深色 肤色
🙇🏿‍♂	男人 鞠躬 ： 深色 肤色
🙇‍♀️	女人 鞠躬
🙇‍♀	女人 鞠躬
🙇🏻‍♀️	女人 鞠躬 ： 浅肤色
🙇🏻‍♀	女人 鞠躬 ： 浅肤色
🙇🏼‍♀️	女人 鞠躬 ： 中浅 肤色
🙇🏼‍♀	女人 鞠躬 ： 中浅 肤色
🙇🏽‍♀️	女人 鞠躬 ： 中等 肤色
🙇🏽‍♀	女人 鞠躬 ： 中等 肤色
🙇🏾‍♀️	女人 鞠躬 ： 中 深 肤色
🙇🏾‍♀	女人 鞠躬 ： 中 深 肤色
🙇🏿‍♀️	女人 鞠躬 ： 深色 肤色
🙇🏿‍♀	女人 鞠躬 ： 深色 肤色
🤦	人 捂脸
🤦🏻	捂脸 的 人 ： 浅肤色
🤦🏼	捂脸者 ： 中浅 肤色
🤦🏽	捂脸 的 人 ： 中等 肤色
🤦🏾	捂脸者 ： 中黑 肤色
🤦🏿	捂脸 的 人 ： 深色 肤色
🤦‍♂️	男人 捂脸
🤦‍♂	男人 捂脸
🤦🏻‍♂️	男人 捂脸 ： 浅肤色
🤦🏻‍♂	男人 捂脸 ： 浅肤色
🤦🏼‍♂️	男子 捂脸 ： 中浅 肤色
🤦🏼‍♂	男人 捂脸 ： 中浅 肤色
