😀	笑臉
👨🏻‍🦰	男 ， 紅髮 ： 淺 膚色
👨🏼‍🦰	男 ， 紅髮 ： 中淺 膚色
👨🏽‍🦰	男性 ， 紅髮 ： 中等 膚色
👨🏾‍🦰	男 ， 紅髮 ： 中 黑 膚色
👨🏿‍🦰	男性 ， 紅髮 ： 深色 膚色
👩‍🦰	女人 ， 紅頭 髮
👩🏻‍🦰	女人 ， 紅髮 ： 淺 膚色
👩🏼‍🦰	女人 ， 紅髮 ： 中淺 膚色
👩🏽‍🦰	女人 ， 紅髮 ： 中等 膚色
👩🏾‍🦰	紅髮 女子 ： 中 黑 膚色
👩🏿‍🦰	女人 ， 紅髮 ： 深色 膚色
👨‍🦱	男人 ， 捲髮
👨🏻‍🦱	男性 ， 捲髮 ： 淺 膚色
👨🏼‍🦱	男性 ， 捲髮 ： 中淺 膚色
👨🏽‍🦱	男性 ， 捲髮 ： 中等 膚色
👨🏾‍🦱	男性 ， 捲髮 ： 中 黑 膚色
👨🏿‍🦱	男性 ， 捲髮 ： 深色 膚色
👩‍🦱	女人 ， 捲髮
👩🏻‍🦱	捲髮 女人 ： 淺膚色
👩🏼‍🦱	捲髮 女子 ： 中淺 膚色
👩🏽‍🦱	捲髮 女人 ： 中等 膚色
👩🏾‍🦱	捲髮 女子 ： 中 黑 膚色
👩🏿‍🦱	捲髮 女人 ： 深色 膚色
👨‍🦲	男人 , 禿頭
👨🏻‍🦲	男性 ， 禿頭 ： 淺 膚色
👨🏼‍🦲	男性 ， 禿頭 ： 中淺 膚色
👨🏽‍🦲	男性 ， 禿頭 ： 中等 膚色
👨🏾‍🦲	男性 ， 禿頭 ： 中 深 膚色
👨🏿‍🦲	男性 ， 禿頭 ： 深色 膚色
👩‍🦲	女人 , 禿頭
👩🏻‍🦲	女人 ， 禿頭 ： 淺 膚色
👩🏼‍🦲	女人 ， 禿頭 ： 中淺 膚色
👩🏽‍🦲	女人 ， 禿頭 ： 中等 膚色
👩🏾‍🦲	女人 ， 禿頭 ： 中 深 膚色
👩🏿‍🦲	女人 ， 禿頭 ： 深色 膚色
👨‍🦳	男人 , 白髮
👨🏻‍🦳	男性 ， 白髮 ： 淺 膚色
👨🏼‍🦳	男性 ， 白髮 ： 中淺 膚色
👨🏽‍🦳	男性 ， 白髮 ： 中等 膚色
👨🏾‍🦳	男性 ， 白髮 ： 中 黑 膚色
👨🏿‍🦳	男性 ， 白髮 ： 深色 膚色
👩‍🦳	女人 ， 白髮
👩🏻‍🦳	女人 ， 白髮 ： 淺 膚色
👩🏼‍🦳	女人 ， 白髮 ： 中淺 膚色
👩🏽‍🦳	女人 ， 白髮 ： 中等 膚色
👩🏾‍🦳	女人 ， 白髮 ： 中 黑 膚色
👩🏿‍🦳	女人 ， 白髮 ： 深色 膚色
🤵	穿 燕尾服 的 男人
🤵🏻	穿 燕尾服 的 男人 ： 淺膚色
🤵🏼	穿 燕尾服 的 男人 ： 中淺 膚色
🤵🏽	穿 燕尾服 的 男人 ： 中等 膚色
🤵🏾	穿 燕尾服 的 男人 ： 中黑 膚色
🤵🏿	穿 燕尾服 的 男人 ： 深色 膚色
👰	戴 面紗 的 新娘
👰🏻	戴 頭紗 的 新娘 ： 淺 膚色
👰🏼	戴 頭紗 的 新娘 ： 中淺 膚色
👰🏽	戴 頭紗 的 新娘 ： 中等 膚色
👰🏾	戴 頭紗 的 新娘 ： 中 深 膚色
👰🏿	戴 頭紗 的 新娘 ： 深色 膚色
🤰	懷孕 的 女人
🤰🏻	孕婦 ： 淺 膚色
🤰🏼	孕婦 ： 中淺 膚色
🤰🏽	孕婦 ： 中等 膚色
🤰🏾	孕婦 ： 中 黑 膚色
🤰🏿	孕婦 ： 深色 膚色
🤱	哺乳
🤱🏻	哺乳期 ： 淺膚色
🤱🏼	哺乳期 ： 中淺 膚色
🤱🏽	哺乳期 ： 中等 膚色
🤱🏾	哺乳期 ： 中黑 膚色
🤱🏿	哺乳期 ： 深色 膚色
👼	寶貝 天使
👼🏻	小 天使 ： 淺 膚色
👼🏼	小 天使 ： 中淺 膚色
👼🏽	小 天使 ： 中等 膚色
👼🏾	小 天使 ： 中 黑 膚色
👼🏿	天使 寶貝 ： 深色 膚色
🎅	聖誕 老公公
🎅🏻	聖誕 老人 : 淺 膚色
🎅🏼	聖誕 老人 ： 中淺 膚色
🎅🏽	聖誕 老人 ： 中等 膚色
🎅🏾	聖誕 老公公 ： 中 黑 膚色
🎅🏿	聖誕 老人 ： 深色 膚色
🤶	克勞斯 夫人
🤶🏻	克勞斯 夫人 ： 淺膚色
🤶🏼	克勞斯 夫人 ： 中淺 膚色
🤶🏽	克勞斯 太太 ： 中等 膚色
🤶🏾	克勞斯 夫人 ： 中 深 膚色
🤶🏿	克勞斯 太太 ： 深色 膚色
🦸	超級 英雄
🦸🏻	超級 英雄 ： 淺膚色
🦸🏼	超級 英雄 ： 中淺 膚色
🦸🏽	超級 英雄 ： 中等 膚色
🦸🏾	超級 英雄 ： 中黑 膚色
🦸🏿	超級 英雄 ： 深色 膚色
🦸‍♀️	女 超級 英雄
🦸‍♀	女 超級 英雄
🦸🏻‍♀️	女 超級 英雄 ： 淺膚色
🦸🏻‍♀	女 超級 英雄 ： 淺膚色
🦸🏼‍♀️	女 超級 英雄 ： 中淺 膚色
🦸🏼‍♀	女 超級 英雄 ： 中淺 膚色
🦸🏽‍♀️	女 超級 英雄 ： 中等 膚色
🦸🏽‍♀	女 超級 英雄 ： 中等 膚色
🦸🏾‍♀️	女 超級 英雄 ： 中黑 膚色
🦸🏾‍♀	女 超級 英雄 ： 中黑 膚色
🦸🏿‍♀️	女 超級 英雄 ： 深色 膚色
🦸🏿‍♀	女 超級 英雄 ： 深色 膚色
🦸‍♂️	男人 超級 英雄
🦸‍♂	男人 超級 英雄
🦸🏻‍♂️	男 超級 英雄 ： 淺膚色
🦸🏻‍♂	男 超級 英雄 ： 淺膚色
🦸🏼‍♂️	男 超級 英雄 ： 中淺 膚色
🦸🏼‍♂	男 超級 英雄 ： 中淺 膚色
🦸🏽‍♂️	男 超級 英雄 ： 中等 膚色
🦸🏽‍♂	男 超級 英雄 ： 中等 膚色
🦸🏾‍♂️	男性 超級 英雄 ： 中黑 膚色
🦸🏾‍♂	男性 超級 英雄 ： 中黑 膚色
🦸🏿‍♂️	男性 超級 英雄 ： 深色 膚色
🦸🏿‍♂	男性 超級 英雄 ： 深色 膚色
🦹	超級 惡棍
🦹🏻	超級 反派 ： 淺膚色
🦹🏼	超級 反派 ： 中淺 膚色
🦹🏽	超級 反派 ： 中等 膚色
🦹🏾	超級 惡棍 ： 中 黑 膚色
🦹🏿	超級 反派 ： 深色 膚色
🦹‍♀️	女人 超級 惡棍
🦹‍♀	女人 超級 惡棍
🦹🏻‍♀️	女 超級 反派 ： 淺膚色
🦹🏻‍♀	女 超級 反派 ： 淺膚色
🦹🏼‍♀️	女 超級 反派 ： 中淺 膚色
🦹🏼‍♀	女 超級 反派 ： 中淺 膚色
🦹🏽‍♀️	女 超級 反派 ： 中等 膚色
🦹🏽‍♀	女 超級 反派 ： 中等 膚色
🦹🏾‍♀️	女 超級 反派 ： 中 黑 膚色
🦹🏾‍♀	女 超級 反派 ： 中 黑 膚色
🦹🏿‍♀️	女超 惡棍 ： 深色 膚色
🦹🏿‍♀	女超 惡棍 ： 深色 膚色
🦹‍♂️	男人 超級 惡棍
🦹‍♂	男人 超級 惡棍
🦹🏻‍♂️	男 超級 惡棍 ： 淺膚色
🦹🏻‍♂	男 超級 惡棍 ： 淺膚色
🦹🏼‍♂️	男 超級 反派 ： 中淺 膚色
🦹🏼‍♂	男 超級 反派 ： 中淺 膚色
🦹🏽‍♂️	男 超級 惡棍 ： 中等 膚色
🦹🏽‍♂	男 超級 惡棍 ： 中等 膚色
🦹🏾‍♂️	男人 超級 惡棍 ： 中 黑 膚色
🦹🏾‍♂	男人 超級 惡棍 ： 中 黑 膚色
🦹🏿‍♂️	男人 超級 惡棍 ： 深色 膚色
🦹🏿‍♂	男人 超級 惡棍 ： 深色 膚色
🧙	法師
🧙🏻	法師 ： 淺 膚色
🧙🏼	法師 ： 中淺 膚色
🧙🏽	法師 ： 中等 膚色
🧙🏾	法師 ： 中 黑 膚色
🧙🏿	法師 ： 深色 膚色
🧙‍♀️	女法 師
🧙‍♀	女法 師
🧙🏻‍♀️	女 法師 ： 淺 膚色
🧙🏻‍♀	女 法師 ： 淺 膚色
🧙🏼‍♀️	女 法師 ： 中淺 膚色
🧙🏼‍♀	女 法師 ： 中淺 膚色
🧙🏽‍♀️	女 法師 ： 中等 膚色
🧙🏽‍♀	女 法師 ： 中等 膚色
🧙🏾‍♀️	女 法師 ： 中 黑 膚色
🧙🏾‍♀	女 法師 ： 中 黑 膚色
🧙🏿‍♀️	女 法師 ： 深色 膚色
🧙🏿‍♀	女 法師 ： 深色 膚色
🧙‍♂️	男法 師
🧙‍♂	男法 師
🧙🏻‍♂️	男法 師 ： 淺 膚色
🧙🏻‍♂	男法 師 ： 淺 膚色
🧙🏼‍♂️	男法 師 ： 中淺 膚色
🧙🏼‍♂	男法 師 ： 中淺 膚色
🧙🏽‍♂️	男法 師 ： 中等 膚色
🧙🏽‍♂	男法 師 ： 中等 膚色
🧙🏾‍♂️	男法 師 ： 中 黑 膚色
🧙🏾‍♂	男法 師 ： 中 黑 膚色
🧙🏿‍♂️	男法 師 ： 深色 膚色
🧙🏿‍♂	男法 師 ： 深色 膚色
🧚	仙女
🧚🏻	仙女 ： 淺膚色
🧚🏼	仙女 ： 中淺 膚色
🧚🏽	仙女 ： 中等 膚色
🧚🏾	仙女 ： 中黑 膚色
🧚🏿	仙女 ： 深色 膚色
🧚‍♀️	女人 仙女
🧚‍♀	女人 仙女
🧚🏻‍♀️	女 仙女 ： 淺膚色
🧚🏻‍♀	女 仙女 ： 淺膚色
🧚🏼‍♀️	女 仙女 ： 中淺 膚色
🧚🏼‍♀	女 仙女 ： 中淺 膚色
🧚🏽‍♀️	女 仙女 ： 中等 膚色
🧚🏽‍♀	女 仙女 ： 中等 膚色
🧚🏾‍♀️	女 仙女 ： 中黑 膚色
🧚🏾‍♀	女 仙女 ： 中黑 膚色
🧚🏿‍♀️	女 仙女 ： 深色 膚色
🧚🏿‍♀	女 仙女 ： 深色 膚色
🧚‍♂️	男人 仙女
🧚‍♂	男人 仙女
🧚🏻‍♂️	男 神仙 ： 淺膚色
🧚🏻‍♂	男 神仙 ： 淺膚色
🧚🏼‍♂️	男 仙女 ： 中淺 膚色
🧚🏼‍♂	男 仙女 ： 中淺 膚色
🧚🏽‍♂️	男 仙女 ： 中等 膚色
🧚🏽‍♂	男 仙女 ： 中等 膚色
🧚🏾‍♂️	男 仙女 ： 中黑 膚色
🧚🏾‍♂	男 仙女 ： 中黑 膚色
🧚🏿‍♂️	男 神仙 ： 深色 膚色
🧚🏿‍♂	男 神仙 ： 深色 膚色
🧛	吸血鬼
🧛🏻	吸血鬼 ： 淺 膚色
🧛🏼	吸血鬼 ： 中淺 膚色
🧛🏽	吸血鬼 ： 中等 膚色
🧛🏾	吸血鬼 ： 中 黑 膚色
🧛🏿	吸血鬼 ： 深色 膚色
🧛‍♀️	女人 吸血鬼
🧛‍♀	女人 吸血鬼
🧛🏻‍♀️	女 吸血鬼 ： 淺 膚色
🧛🏻‍♀	女 吸血鬼 ： 淺 膚色
🧛🏼‍♀️	女 吸血鬼 ： 中淺 膚色
🧛🏼‍♀	女 吸血鬼 ： 中淺 膚色
🧛🏽‍♀️	女 吸血鬼 ： 中等 膚色
🧛🏽‍♀	女 吸血鬼 ： 中等 膚色
🧛🏾‍♀️	女 吸血鬼 ： 中 黑 膚色
🧛🏾‍♀	女 吸血鬼 ： 中 黑 膚色
🧛🏿‍♀️	女 吸血鬼 ： 深色 膚色
🧛🏿‍♀	女 吸血鬼 ： 深色 膚色
🧛‍♂️	男人 吸血鬼
🧛‍♂	男人 吸血鬼
🧛🏻‍♂️	男 吸血鬼 ： 淺 膚色
🧛🏻‍♂	男 吸血鬼 ： 淺 膚色
🧛🏼‍♂️	男 吸血鬼 ： 中淺 膚色
🧛🏼‍♂	男 吸血鬼 ： 中淺 膚色
🧛🏽‍♂️	男 吸血鬼 ： 中等 膚色
🧛🏽‍♂	男 吸血鬼 ： 中等 膚色
🧛🏾‍♂️	男 吸血鬼 ： 中 黑 膚色
🧛🏾‍♂	男 吸血鬼 ： 中 黑 膚色
🧛🏿‍♂️	男 吸血鬼 ： 深色 膚色
🧛🏿‍♂	男 吸血鬼 ： 深色 膚色
🧜	人 魚
🧜🏻	人魚 ： 淺 膚色
🧜🏼	人魚 ： 中淺 膚色
🧜🏽	人魚 ： 中等 膚色
🧜🏾	人魚 ： 中 黑 膚色
🧜🏿	人魚 ： 深色 膚色
🧜‍♀️	美人魚
🧜‍♀	美人魚
🧜🏻‍♀️	美人魚 ： 淺 膚色
🧜🏻‍♀	美人魚 ： 淺 膚色
🧜🏼‍♀️	美人魚 ： 中淺 膚色
🧜🏼‍♀	美人魚 ： 中淺 膚色
🧜🏽‍♀️	美人魚 ： 中等 膚色
🧜🏽‍♀	美人魚 ： 中等 膚色
🧜🏾‍♀️	美人魚 ： 中 黑 膚色
🧜🏾‍♀	美人魚 ： 中 黑 膚色
🧜🏿‍♀️	美人魚 ： 深色 膚色
🧜🏿‍♀	美人魚 ： 深色 膚色
🧜‍♂️	人 魚
🧜‍♂	人 魚
🧜🏻‍♂️	人魚 ： 淺 膚色
🧜🏻‍♂	人魚 ： 淺 膚色
🧜🏼‍♂️	人魚 ： 中淺 膚色
🧜🏼‍♂	人魚 ： 中淺 膚色
🧜🏽‍♂️	人魚 ： 中等 膚色
🧜🏽‍♂	人魚 ： 中等 膚色
🧜🏾‍♂️	人魚 : 中 黑 膚色
🧜🏾‍♂	人魚 : 中 黑 膚色
🧜🏿‍♂️	人魚 ： 深色 膚色
🧜🏿‍♂	人魚 ： 深色 膚色
🧝	小 精靈
🧝🏻	精靈 ： 淺 膚色
🧝🏼	精靈 ： 中淺 膚色
🧝🏽	精靈 ： 中等 膚色
🧝🏾	精靈 ： 中 黑 膚色
🧝🏿	精靈 ： 深色 膚色
🧝‍♀️	女人 精靈
🧝‍♀	女人 精靈
🧝🏻‍♀️	女 精靈 ： 淺 膚色
🧝🏻‍♀	女 精靈 ： 淺 膚色
🧝🏼‍♀️	女 精靈 ： 中淺 膚色
🧝🏼‍♀	女 精靈 ： 中淺 膚色
🧝🏽‍♀️	女 精靈 ： 中等 膚色
🧝🏽‍♀	女 精靈 ： 中等 膚色
🧝🏾‍♀️	女 精靈 ： 中 黑 膚色
🧝🏾‍♀	女 精靈 ： 中 黑 膚色
🧝🏿‍♀️	女 精靈 ： 深色 膚色
🧝🏿‍♀	女 精靈 ： 深色 膚色
🧝‍♂️	男人 精靈
🧝‍♂	男人 精靈
🧝🏻‍♂️	男 精靈 ： 淺 膚色
🧝🏻‍♂	男 精靈 ： 淺 膚色
🧝🏼‍♂️	男 精靈 ： 中淺 膚色
🧝🏼‍♂	男 精靈 ： 中淺 膚色
🧝🏽‍♂️	男 精靈 ： 中等 膚色
🧝🏽‍♂	男 精靈 ： 中等 膚色
🧝🏾‍♂️	男 精靈 ： 中 黑 膚色
🧝🏾‍♂	男 精靈 ： 中 黑 膚色
🧝🏿‍♂️	男 精靈 ： 深色 膚色
🧝🏿‍♂	男 精靈 ： 深色 膚色
🧞	精靈
🧞‍♀️	女人 精靈
🧞‍♀	女人 精靈
🧞‍♂️	人類 精靈
🧞‍♂	人類 精靈
🧟	殭屍
🧟‍♀️	女人 殭屍
🧟‍♀	女人 殭屍
🧟‍♂️	男人 殭屍
🧟‍♂	男人 殭屍
🙍	皺眉 的 人
🙍🏻	皺眉 的 人 ： 淺膚色
🙍🏼	皺眉者 ： 中淺 膚色
🙍🏽	皺眉者 ： 中等 膚色
🙍🏾	皺眉頭 的 人 ： 中 深 膚色
🙍🏿	皺眉頭 的 人 ： 深色 膚色
🙍‍♂️	男人 皺眉
🙍‍♂	男人 皺眉
🙍🏻‍♂️	男人 皺眉 ： 淺 膚色
🙍🏻‍♂	男人 皺眉 ： 淺 膚色
🙍🏼‍♂️	男人 皺眉 ： 中淺 膚色
🙍🏼‍♂	男人 皺眉 ： 中淺 膚色
🙍🏽‍♂️	男人 皺眉 ： 中等 膚色
🙍🏽‍♂	男人 皺眉 ： 中等 膚色
🙍🏾‍♂️	男人 皺眉 ： 中 黑 膚色
🙍🏾‍♂	男人 皺眉 ： 中 黑 膚色
🙍🏿‍♂️	男人 皺眉 ： 深色 膚色
🙍🏿‍♂	男人 皺眉 ： 深色 膚色
🙍‍♀️	女人 皺眉
🙍‍♀	女人 皺眉
🙍🏻‍♀️	女人 皺眉 ： 淺 膚色
🙍🏻‍♀	女人 皺眉 ： 淺 膚色
🙍🏼‍♀️	皺眉 的 女人 ： 中淺 膚色
🙍🏼‍♀	皺眉 的 女人 ： 中淺 膚色
🙍🏽‍♀️	皺眉 的 女人 ： 中等 膚色
🙍🏽‍♀	皺眉 的 女人 ： 中等 膚色
🙍🏾‍♀️	皺眉 的 女人 ： 中黑 膚色
🙍🏾‍♀	皺眉 的 女人 ： 中黑 膚色
🙍🏿‍♀️	女人 皺眉 ： 深色 膚色
🙍🏿‍♀	女人 皺眉 ： 深色 膚色
🙎	撅嘴 的 人
🙎🏻	撅嘴 的 人 ： 淺膚色
🙎🏼	撅嘴 的 人 ： 中淺 膚色
🙎🏽	撅嘴 的 人 ： 中等 膚色
🙎🏾	噘嘴 的 人 ： 中 深 膚色
🙎🏿	撅嘴 的 人 ： 深色 膚色
🙎‍♂️	男人 嘟嘴
🙎‍♂	男人 嘟嘴
🙎🏻‍♂️	撅嘴 的 男人 ： 淺膚色
🙎🏻‍♂	撅嘴 的 男人 ： 淺膚色
🙎🏼‍♂️	撅嘴 的 男人 ： 中淺 膚色
🙎🏼‍♂	撅嘴 的 男人 ： 中淺 膚色
🙎🏽‍♂️	撅嘴 的 男人 : 中等 膚色
🙎🏽‍♂	撅嘴 的 男人 : 中等 膚色
🙎🏾‍♂️	撅嘴 的 男人 : 中 黑 膚色
🙎🏾‍♂	撅嘴 的 男人 : 中 黑 膚色
🙎🏿‍♂️	男人 撅嘴 ： 深色 膚色
🙎🏿‍♂	男人 撅嘴 ： 深色 膚色
🙎‍♀️	女人 撅嘴
🙎‍♀	女人 撅嘴
🙎🏻‍♀️	撅嘴 的 女人 ： 淺膚色
🙎🏻‍♀	撅嘴 的 女人 ： 淺膚色
🙎🏼‍♀️	撅嘴 的 女人 ： 中淺 膚色
🙎🏼‍♀	撅嘴 的 女人 ： 中淺 膚色
🙎🏽‍♀️	撅嘴 的 女人 ： 中等 膚色
🙎🏽‍♀	撅嘴 的 女人 ： 中等 膚色
🙎🏾‍♀️	撅嘴 的 女人 ： 中黑 膚色
🙎🏾‍♀	撅嘴 的 女人 ： 中黑 膚色
🙎🏿‍♀️	撅嘴 的 女人 ： 深色 膚色
🙎🏿‍♀	撅嘴 的 女人 ： 深色 膚色
🙅	打手 勢 「 不 」 的 人
🙅🏻	做出 「 不 」 手勢 的 人 ： 淺膚色
🙅🏼	打手 勢 「 不 」 的 人 ： 中淺 膚色
🙅🏽	打手 勢 「 否 」 的 人 ： 中等 膚色
🙅🏾	打手 勢 「 否 」 的 人 ： 中 深 膚色
🙅🏿	打手 勢 「 不 」 的 人 ： 深色 膚色
🙅‍♂️	男人 打手 勢 “ 不 ”
🙅‍♂	男人 打手 勢 “ 不 ”
🙅🏻‍♂️	男人 做 「 不 」 手勢 ： 淺 膚色
🙅🏻‍♂	男人 做 「 不 」 手勢 ： 淺 膚色
🙅🏼‍♂️	男人 打手 勢 「 不 」 ： 中淺 膚色
🙅🏼‍♂	男人 打手 勢 「 不 」 ： 中淺 膚色
🙅🏽‍♂️	男人 打手 勢 「 不 」 ： 中等 膚色
🙅🏽‍♂	男人 打手 勢 「 不 」 ： 中等 膚色
🙅🏾‍♂️	男人 打手 勢 「 不 」 ： 中 深 膚色
🙅🏾‍♂	男人 打手 勢 「 不 」 ： 中 深 膚色
🙅🏿‍♂️	男人 打手 勢 「 不 」 ： 深色 膚色
🙅🏿‍♂	男人 打手 勢 「 不 」 ： 深色 膚色
🙅‍♀️	女人 打手 勢 “ 不 ”
🙅‍♀	女人 打手 勢 “ 不 ”
🙅🏻‍♀️	女人 做 「 不 」 手勢 ： 淺 膚色
🙅🏻‍♀	女人 做 「 不 」 手勢 ： 淺 膚色
🙅🏼‍♀️	女人 打手 勢 「 不 」 ： 中淺 膚色
🙅🏼‍♀	女人 打手 勢 「 不 」 ： 中淺 膚色
🙅🏽‍♀️	女人 打手 勢 「 不 」 ： 中等 膚色
🙅🏽‍♀	女人 打手 勢 「 不 」 ： 中等 膚色
🙅🏾‍♀️	女人 做 「 不 」 手勢 ： 中 深 膚色
🙅🏾‍♀	女人 做 「 不 」 手勢 ： 中 深 膚色
🙅🏿‍♀️	女人 做 「 不 」 手勢 ： 深色 膚色
🙅🏿‍♀	女人 做 「 不 」 手勢 ： 深色 膚色
🙆	打手 勢 “ OK ” 的 人
🙆🏻	打手 勢 「 OK 」 的 人 ： 淺膚色
🙆🏼	打手 勢 「 OK 」 的 人 ： 中淺 膚色
🙆🏽	打手 勢 「 OK 」 的 人 ： 中等 膚色
🙆🏾	打手 勢 「 OK 」 的 人 ： 中 深 膚色
🙆🏿	打手 勢 「 OK 」 的 人 ： 深色 膚色
🙆‍♂️	男人 打手 勢 “ OK ”
🙆‍♂	男人 打手 勢 “ OK ”
🙆🏻‍♂️	男人 打手 勢 「 OK 」 ： 淺 膚色
🙆🏻‍♂	男人 打手 勢 「 OK 」 ： 淺 膚色
🙆🏼‍♂️	男人 打手 勢 「 OK 」 ： 中淺 膚色
🙆🏼‍♂	男人 打手 勢 「 OK 」 ： 中淺 膚色
🙆🏽‍♂️	男人 打手 勢 「 OK 」 ： 中等 膚色
🙆🏽‍♂	男人 打手 勢 「 OK 」 ： 中等 膚色
🙆🏾‍♂️	男人 打手 勢 「 OK 」 ： 中 深 膚色
🙆🏾‍♂	男人 打手 勢 「 OK 」 ： 中 深 膚色
🙆🏿‍♂️	男人 打手 勢 「 OK 」 ： 深色 膚色
🙆🏿‍♂	男人 打手 勢 「 OK 」 ： 深色 膚色
🙆‍♀️	女人 打手 勢 “ OK ”
🙆‍♀	女人 打手 勢 “ OK ”
🙆🏻‍♀️	女人 做 手勢 ： 淺 膚色
🙆🏻‍♀	女人 做 手勢 ： 淺 膚色
🙆🏼‍♀️	做 OK 手勢 的 女人 ： 中淺 膚色
🙆🏼‍♀	做 OK 手勢 的 女人 ： 中淺 膚色
🙆🏽‍♀️	做 OK 手勢 的 女人 ： 中等 膚色
🙆🏽‍♀	做 OK 手勢 的 女人 ： 中等 膚色
🙆🏾‍♀️	做 OK 手勢 的 女人 ： 中 深 膚色
🙆🏾‍♀	做 OK 手勢 的 女人 ： 中 深 膚色
🙆🏿‍♀️	女人 打手 勢 「 好 」 ： 深色 膚色
🙆🏿‍♀	女人 打手 勢 「 好 」 ： 深色 膚色
💁	傾 斜手 的 人
💁🏻	傾手 的 人 ： 淺膚色
💁🏼	傾 斜手 的 人 ： 中淺 膚色
💁🏽	傾 斜手 的 人 ： 中等 膚色
💁🏾	傾 斜手 的 人 ： 中 深 膚色
💁🏿	傾 斜手 的 人 ： 深色 膚色
💁‍♂️	男人 傾 斜手
💁‍♂	男人 傾 斜手
💁🏻‍♂️	男人 傾 斜手 ： 淺 膚色
💁🏻‍♂	男人 傾 斜手 ： 淺 膚色
💁🏼‍♂️	男人 舉手 ： 中淺 膚色
💁🏼‍♂	男人 舉手 ： 中淺 膚色
💁🏽‍♂️	男人 傾 斜手 ： 中等 膚色
💁🏽‍♂	男人 傾 斜手 ： 中等 膚色
💁🏾‍♂️	男人 傾 斜手 ： 中 深 膚色
💁🏾‍♂	男人 傾 斜手 ： 中 深 膚色
💁🏿‍♂️	男人 傾 斜手 ： 深色 膚色
💁🏿‍♂	男人 傾 斜手 ： 深色 膚色
💁‍♀️	女人 傾斜 的 手
💁‍♀	女人 傾斜 的 手
💁🏻‍♀️	女人 傾 斜手 ： 淺 膚色
💁🏻‍♀	女人 傾 斜手 ： 淺 膚色
💁🏼‍♀️	女人 傾斜 的 手 ： 中淺 膚色
💁🏼‍♀	女人 傾斜 的 手 ： 中淺 膚色
💁🏽‍♀️	女人 傾 斜手 ： 中等 膚色
💁🏽‍♀	女人 傾 斜手 ： 中等 膚色
💁🏾‍♀️	女人 傾斜 的 手 ： 中 深 膚色
💁🏾‍♀	女人 傾斜 的 手 ： 中 深 膚色
💁🏿‍♀️	女人 傾 斜手 ： 深色 膚色
💁🏿‍♀	女人 傾 斜手 ： 深色 膚色
🙋	舉手 的 人
🙋🏻	舉手 的 人 ： 淺膚色
🙋🏼	舉手者 ： 中淺 膚色
🙋🏽	舉手 的 人 ： 中等 膚色
🙋🏾	舉手 的 人 ： 中 深 膚色
🙋🏿	舉手 的 人 ： 深色 膚色
🙋‍♂️	男人 舉手
🙋‍♂	男人 舉手
🙋🏻‍♂️	舉手 的 男人 ： 淺膚色
🙋🏻‍♂	舉手 的 男人 ： 淺膚色
🙋🏼‍♂️	舉手 的 男人 ： 中淺 膚色
🙋🏼‍♂	舉手 的 男人 ： 中淺 膚色
🙋🏽‍♂️	舉手 的 男人 ： 中等 膚色
🙋🏽‍♂	舉手 的 男人 ： 中等 膚色
🙋🏾‍♂️	舉手 的 男人 ： 中 深 膚色
🙋🏾‍♂	舉手 的 男人 ： 中 深 膚色
🙋🏿‍♂️	舉手 的 男人 ： 深色 膚色
🙋🏿‍♂	舉手 的 男人 ： 深色 膚色
🙋‍♀️	女人 舉手
🙋‍♀	女人 舉手
🙋🏻‍♀️	舉手 的 女人 ： 淺膚色
🙋🏻‍♀	舉手 的 女人 ： 淺膚色
🙋🏼‍♀️	舉手 的 女人 ： 中淺 膚色
🙋🏼‍♀	舉手 的 女人 ： 中淺 膚色
🙋🏽‍♀️	舉手 的 女人 ： 中等 膚色
🙋🏽‍♀	舉手 的 女人 ： 中等 膚色
🙋🏾‍♀️	舉手 的 女人 ： 中 深 膚色
🙋🏾‍♀	舉手 的 女人 ： 中 深 膚色
🙋🏿‍♀️	舉手 的 女人 ： 深色 膚色
🙋🏿‍♀	舉手 的 女人 ： 深色 膚色
🙇	人 鞠躬
🙇🏻	鞠躬 的 人 ： 淺膚色
🙇🏼	鞠躬者 ： 中淺 膚色
🙇🏽	鞠躬 的 人 ： 中等 膚色
🙇🏾	鞠躬 的 人 ： 中 深 膚色
🙇🏿	鞠躬 的 人 ： 深色 膚色
🙇‍♂️	男人 鞠躬
🙇‍♂	男人 鞠躬
🙇🏻‍♂️	男人 鞠躬 ： 淺 膚色
🙇🏻‍♂	男人 鞠躬 ： 淺 膚色
🙇🏼‍♂️	男人 鞠躬 ： 中淺 膚色
🙇🏼‍♂	男人 鞠躬 ： 中淺 膚色
🙇🏽‍♂️	男人 鞠躬 ： 中等 膚色
🙇🏽‍♂	男人 鞠躬 ： 中等 膚色
🙇🏾‍♂️	男人 鞠躬 ： 中 深 膚色
🙇🏾‍♂	男人 鞠躬 ： 中 深 膚色
🙇🏿‍♂️	男人 鞠躬 ： 深色 膚色
🙇🏿‍♂	男人 鞠躬 ： 深色 膚色
🙇‍♀️	女人 鞠躬
🙇‍♀	女人 鞠躬
🙇🏻‍♀️	女人 鞠躬 ： 淺 膚色
🙇🏻‍♀	女人 鞠躬 ： 淺 膚色
🙇🏼‍♀️	女人 鞠躬 ： 中淺 膚色
🙇🏼‍♀	女人 鞠躬 ： 中淺 膚色
🙇🏽‍♀️	女人 鞠躬 ： 中等 膚色
