😀	γελαστό πρόσωπο
👳🏽‍♀	γυναίκα που φορά τουρμπάνι: μεσαίος τόνος δέρματος
👳🏾‍♀️	γυναίκα που φοράει τουρμπάνι: μεσαίος-σκούρος τόνος δέρματος
👳🏾‍♀	γυναίκα που φοράει τουρμπάνι: μεσαίος-σκούρος τόνος δέρματος
👳🏿‍♀️	γυναίκα που φορά τουρμπάνι: σκούρος τόνος δέρματος
👳🏿‍♀	γυναίκα που φορά τουρμπάνι: σκούρος τόνος δέρματος
👲	άνδρας με κινέζικο καπέλο
👲🏻	άνδρας με κινέζικο καπέλο: ανοιχτόχρωμος τόνος δέρματος
👲🏼	άνδρας με κινέζικο καπέλο: μεσαίος-ανοιχτός τόνος δέρματος
👲🏽	άνδρας με κινέζικο καπέλο: μεσαίος τόνος δέρματος
👲🏾	άνδρας με κινέζικο καπέλο: μεσαίος-σκούρος τόνος δέρματος
👲🏿	άνδρας με κινέζικο καπέλο: σκούρος τόνος δέρματος
🧕	γυναίκα με μαντίλα
🧕🏻	γυναίκα με μαντίλα: ανοιχτόχρωμος τόνος δέρματος
🧕🏼	γυναίκα με μαντίλα: μεσαίος-ανοιχτός τόνος δέρματος
🧕🏽	γυναίκα με μαντίλα: μεσαίος τόνος δέρματος
🧕🏾	γυναίκα με μαντίλα: μεσαίος-σκούρος τόνος δέρματος
🧕🏿	γυναίκα με μαντίλα: σκούρο δέρμα
🧔	γενειοφόρος
🧔🏻	γενειοφόρο άτομο: ανοιχτόχρωμος τόνος δέρματος
🧔🏼	γενειοφόρος: μεσαίος-ανοιχτός τόνος δέρματος
🧔🏽	γενειοφόρο άτομο: μεσαίος τόνος δέρματος
🧔🏾	γενειοφόρο άτομο: μεσαίος-σκούρος τόνος δέρματος
🧔🏿	γενειοφόρος: σκουρόχρωμος τόνος δέρματος
👱	ξανθό άτομο
👱🏻	ξανθό άτομο: ανοιχτόχρωμος τόνος δέρματος
👱🏼	ξανθά μαλλιά: μεσαίος-ανοιχτός τόνος δέρματος
👱🏽	ξανθό άτομο: μεσαίος τόνος δέρματος
👱🏾	άτομο με ξανθά μαλλιά: μεσαίος-σκούρος τόνος δέρματος
👱🏿	ξανθό άτομο: σκουρόχρωμος τόνος δέρματος
👱‍♂️	ξανθός άντρας
👱‍♂	ξανθός άντρας
👱🏻‍♂️	ξανθός άνδρας: ανοιχτόχρωμος τόνος δέρματος
👱🏻‍♂	ξανθός άνδρας: ανοιχτόχρωμος τόνος δέρματος
👱🏼‍♂️	ξανθός άνδρας: μεσαίος-ανοιχτός τόνος δέρματος
👱🏼‍♂	ξανθός άνδρας: μεσαίος-ανοιχτός τόνος δέρματος
👱🏽‍♂️	ξανθός άνδρας: μεσαίος τόνος δέρματος
👱🏽‍♂	ξανθός άνδρας: μεσαίος τόνος δέρματος
👱🏾‍♂️	άντρας με ξανθά μαλλιά: μεσαίος-σκούρος τόνος δέρματος
👱🏾‍♂	άντρας με ξανθά μαλλιά: μεσαίος-σκούρος τόνος δέρματος
👱🏿‍♂️	ξανθός άνδρας: σκούρος τόνος δέρματος
👱🏿‍♂	ξανθός άνδρας: σκούρος τόνος δέρματος
👱‍♀️	ξανθιά γυναίκα
👱‍♀	ξανθιά γυναίκα
👱🏻‍♀️	ξανθιά γυναίκα: ανοιχτόχρωμος τόνος δέρματος
👱🏻‍♀	ξανθιά γυναίκα: ανοιχτόχρωμος τόνος δέρματος
👱🏼‍♀️	ξανθιά γυναίκα: μεσαίος-ανοιχτός τόνος δέρματος
👱🏼‍♀	ξανθιά γυναίκα: μεσαίος-ανοιχτός τόνος δέρματος
👱🏽‍♀️	ξανθιά γυναίκα: μεσαίος τόνος δέρματος
👱🏽‍♀	ξανθιά γυναίκα: μεσαίος τόνος δέρματος
👱🏾‍♀️	ξανθά μαλλιά: μεσαίος-σκούρος τόνος δέρματος
👱🏾‍♀	ξανθά μαλλιά: μεσαίος-σκούρος τόνος δέρματος
👱🏿‍♀️	ξανθή γυναίκα: σκούρος τόνος δέρματος
👱🏿‍♀	ξανθή γυναίκα: σκούρος τόνος δέρματος
👨‍🦰	άντρας, κοκκινομάλλης
👨🏻‍🦰	άνδρας, κοκκινομάλλης: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🦰	άνδρας, κοκκινομάλλης: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🦰	άνδρας, κοκκινομάλλης: μεσαίος τόνος δέρματος
👨🏾‍🦰	άνδρας, κοκκινομάλλης: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🦰	άνδρας, κοκκινομάλλης: σκούρος τόνος δέρματος
👩‍🦰	γυναίκα, κοκκινομάλλα
👩🏻‍🦰	γυναίκα, κοκκινομάλλα: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍🦰	γυναίκα, κοκκινομάλλα: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍🦰	γυναίκα, κοκκινομάλλα: μεσαίος τόνος δέρματος
👩🏾‍🦰	γυναίκα, κοκκινομάλλα: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🦰	γυναίκα, κοκκινομάλλα: σκούρο δέρμα
👨‍🦱	άντρας, με σγουρά μαλλιά
👨🏻‍🦱	άνδρας, σγουρά μαλλιά: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🦱	άνδρας, σγουρά μαλλιά: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🦱	άνδρας, σγουρά μαλλιά: μεσαίος τόνος δέρματος
👨🏾‍🦱	άνδρας, σγουρά μαλλιά: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🦱	άνδρας, σγουρά μαλλιά: σκούρος τόνος δέρματος
👩‍🦱	γυναίκα, σγουρά μαλλιά
👩🏻‍🦱	γυναίκα, σγουρά μαλλιά: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍🦱	γυναίκα, σγουρά μαλλιά: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍🦱	γυναίκα, σγουρά μαλλιά: μεσαίος τόνος δέρματος
👩🏾‍🦱	γυναίκα, σγουρά μαλλιά: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🦱	γυναίκα, σγουρά μαλλιά: σκούρος τόνος δέρματος
👨‍🦲	άντρας, φαλακρός
👨🏻‍🦲	άνδρας, φαλακρός: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🦲	άνδρας, φαλακρός: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🦲	άνδρας, φαλακρός: μεσαίος τόνος δέρματος
👨🏾‍🦲	άνδρας, φαλακρός: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🦲	άνδρας, φαλακρός: σκούρος τόνος δέρματος
👩‍🦲	γυναίκα, φαλακρός
👩🏻‍🦲	γυναίκα, φαλακρός: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍🦲	γυναίκα, φαλακρός: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍🦲	γυναίκα, φαλακρός: μεσαίος τόνος δέρματος
👩🏾‍🦲	γυναίκα, φαλακρός: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🦲	γυναίκα, φαλακρός: σκούρος τόνος δέρματος
👨‍🦳	άντρας, λευκά μαλλιά
👨🏻‍🦳	άνδρας, λευκά μαλλιά: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🦳	άνδρας, λευκά μαλλιά: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🦳	άνδρας, λευκά μαλλιά: μεσαίος τόνος δέρματος
👨🏾‍🦳	άνδρας, λευκά μαλλιά: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🦳	άνδρας, λευκά μαλλιά: σκούρος τόνος δέρματος
👩‍🦳	γυναίκα, λευκά μαλλιά
👩🏻‍🦳	γυναίκα, λευκά μαλλιά: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍🦳	γυναίκα, λευκά μαλλιά: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍🦳	γυναίκα, λευκά μαλλιά: μεσαίος τόνος δέρματος
👩🏾‍🦳	γυναίκα, λευκά μαλλιά: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🦳	γυναίκα, λευκά μαλλιά: σκουρόχρωμος τόνος δέρματος
🤵	άντρας με σμόκιν
🤵🏻	άντρας με σμόκιν: ανοιχτόχρωμος τόνος δέρματος
🤵🏼	άντρας με σμόκιν: μεσαίος-ανοιχτός τόνος δέρματος
🤵🏽	άντρας με σμόκιν: μεσαίος τόνος δέρματος
🤵🏾	άντρας με σμόκιν: μεσαίος-σκούρος τόνος δέρματος
🤵🏿	άντρας με σμόκιν: σκουρόχρωμος τόνος δέρματος
👰	νύφη με πέπλο
👰🏻	νύφη με πέπλο: ανοιχτόχρωμη επιδερμίδα
👰🏼	νύφη με πέπλο: μεσαίος-ανοιχτός τόνος δέρματος
👰🏽	νύφη με πέπλο: μεσαίος τόνος δέρματος
👰🏾	νύφη με πέπλο: μεσαίος-σκούρος τόνος δέρματος
👰🏿	νύφη με πέπλο: σκούρο δέρμα
🤰	έγκυος γυναίκα
🤰🏻	έγκυος γυναίκα: ανοιχτόχρωμος τόνος δέρματος
🤰🏼	έγκυος γυναίκα: μεσαίος-ανοιχτός τόνος δέρματος
🤰🏽	έγκυος γυναίκα: μεσαίος τόνος δέρματος
🤰🏾	έγκυος γυναίκα: μεσαίος-σκούρος τόνος δέρματος
🤰🏿	έγκυος γυναίκα: σκούρος τόνος δέρματος
🤱	Θηλασμός
🤱🏻	θηλασμός: ανοιχτόχρωμος τόνος δέρματος
🤱🏼	θηλασμός: μεσαίος-ανοιχτός τόνος δέρματος
🤱🏽	θηλασμός: μεσαίος τόνος δέρματος
🤱🏾	θηλασμός: μεσαίος-σκούρος τόνος δέρματος
🤱🏿	θηλασμός: σκούρος τόνος δέρματος
👼	μωρό άγγελο
👼🏻	baby angel: ανοιχτόχρωμος τόνος δέρματος
👼🏼	baby angel: μεσαίος-ανοιχτός τόνος δέρματος
👼🏽	baby angel: μεσαίος τόνος δέρματος
👼🏾	baby angel: μεσαίος-σκούρος τόνος δέρματος
👼🏿	baby angel: σκουρόχρωμος τόνος δέρματος
🎅	Άγιος Βασίλης
🎅🏻	Άγιος Βασίλης: ανοιχτόχρωμος τόνος δέρματος
🎅🏼	Άγιος Βασίλης: μεσαίος-ανοιχτός τόνος δέρματος
🎅🏽	Άγιος Βασίλης: μεσαίος τόνος δέρματος
🎅🏾	Άγιος Βασίλης: μεσαίος-σκούρος τόνος δέρματος
🎅🏿	Άγιος Βασίλης: σκούρος τόνος δέρματος
🤶	Κυρία Βασίλη
🤶🏻	Κυρία Βασίλη: ανοιχτόχρωμος τόνος δέρματος
🤶🏼	Mrs. Claus: μεσαίος-ανοιχτός τόνος δέρματος
🤶🏽	Κυρία Βασίλη: μεσαίος τόνος δέρματος
🤶🏾	Κυρία Βασίλη: μεσαίος-σκούρος τόνος δέρματος
🤶🏿	Κυρία Βασίλη: σκούρος τόνος δέρματος
🦸	υπερήρωας
🦸🏻	υπερήρωας: ανοιχτόχρωμος τόνος δέρματος
🦸🏼	υπερήρωας: μεσαίος-ανοιχτός τόνος δέρματος
🦸🏽	υπερήρωας: μεσαίος τόνος δέρματος
🦸🏾	υπερήρωας: μεσαίος-σκούρος τόνος δέρματος
🦸🏿	υπερήρωας: σκούρος τόνος δέρματος
🦸‍♀️	γυναίκα υπερήρωας
🦸‍♀	γυναίκα υπερήρωας
🦸🏻‍♀️	γυναίκα υπερήρωας: ανοιχτόχρωμος τόνος δέρματος
🦸🏻‍♀	γυναίκα υπερήρωας: ανοιχτόχρωμος τόνος δέρματος
🦸🏼‍♀️	γυναίκα υπερήρωας: μεσαίος-ανοιχτός τόνος δέρματος
🦸🏼‍♀	γυναίκα υπερήρωας: μεσαίος-ανοιχτός τόνος δέρματος
🦸🏽‍♀️	γυναίκα υπερήρωας: μεσαίος τόνος δέρματος
🦸🏽‍♀	γυναίκα υπερήρωας: μεσαίος τόνος δέρματος
🦸🏾‍♀️	γυναίκα υπερήρωας: μεσαίος-σκούρος τόνος δέρματος
🦸🏾‍♀	γυναίκα υπερήρωας: μεσαίος-σκούρος τόνος δέρματος
🦸🏿‍♀️	γυναίκα υπερήρωας: σκούρος τόνος δέρματος
🦸🏿‍♀	γυναίκα υπερήρωας: σκούρος τόνος δέρματος
🦸‍♂️	άντρας υπερήρωας
🦸‍♂	άντρας υπερήρωας
🦸🏻‍♂️	άντρας υπερήρωας: ανοιχτόχρωμος τόνος δέρματος
🦸🏻‍♂	άντρας υπερήρωας: ανοιχτόχρωμος τόνος δέρματος
🦸🏼‍♂️	άντρας υπερήρωας: μεσαίος-ανοιχτός τόνος δέρματος
🦸🏼‍♂	άντρας υπερήρωας: μεσαίος-ανοιχτός τόνος δέρματος
🦸🏽‍♂️	άντρας υπερήρωας: μεσαίος τόνος δέρματος
🦸🏽‍♂	άντρας υπερήρωας: μεσαίος τόνος δέρματος
🦸🏾‍♂️	άντρας υπερήρωας: μεσαίος-σκούρος τόνος δέρματος
🦸🏾‍♂	άντρας υπερήρωας: μεσαίος-σκούρος τόνος δέρματος
🦸🏿‍♂️	άντρας υπερήρωας: σκούρος τόνος δέρματος
🦸🏿‍♂	άντρας υπερήρωας: σκούρος τόνος δέρματος
🦹	υπερκακός
🦹🏻	supervillain: ανοιχτόχρωμος τόνος δέρματος
🦹🏼	supervillain: μεσαίου-ανοιχτός τόνος δέρματος
🦹🏽	supervillain: μεσαίου τόνου δέρματος
🦹🏾	supervillain: μεσαίος-σκούρος τόνος δέρματος
🦹🏿	supervillain: σκουρόχρωμος τόνος δέρματος
🦹‍♀️	γυναίκα σούπερ κακοποιός
🦹‍♀	γυναίκα σούπερ κακοποιός
🦹🏻‍♀️	γυναίκα supervillain: ανοιχτόχρωμος τόνος δέρματος
🦹🏻‍♀	γυναίκα supervillain: ανοιχτόχρωμος τόνος δέρματος
🦹🏼‍♀️	γυναίκα supervillain: μεσαίος-ανοιχτός τόνος δέρματος
🦹🏼‍♀	γυναίκα supervillain: μεσαίος-ανοιχτός τόνος δέρματος
🦹🏽‍♀️	γυναίκα supervillain: μεσαίος τόνος δέρματος
🦹🏽‍♀	γυναίκα supervillain: μεσαίος τόνος δέρματος
🦹🏾‍♀️	γυναίκα supervillain: μεσαίος-σκούρος τόνος δέρματος
🦹🏾‍♀	γυναίκα supervillain: μεσαίος-σκούρος τόνος δέρματος
🦹🏿‍♀️	γυναίκα supervillain: σκουρόχρωμος τόνος δέρματος
🦹🏿‍♀	γυναίκα supervillain: σκουρόχρωμος τόνος δέρματος
🦹‍♂️	άντρας υπερκακός
🦹‍♂	άντρας υπερκακός
🦹🏻‍♂️	άντρας supervillain: ανοιχτόχρωμος τόνος δέρματος
🦹🏻‍♂	άντρας supervillain: ανοιχτόχρωμος τόνος δέρματος
🦹🏼‍♂️	άντρας supervillain: μεσαίος-ανοιχτός τόνος δέρματος
🦹🏼‍♂	άντρας supervillain: μεσαίος-ανοιχτός τόνος δέρματος
🦹🏽‍♂️	άντρας supervillain: μεσαίος τόνος δέρματος
🦹🏽‍♂	άντρας supervillain: μεσαίος τόνος δέρματος
🦹🏾‍♂️	άντρας supervillain: μεσαίος-σκούρος τόνος δέρματος
🦹🏾‍♂	άντρας supervillain: μεσαίος-σκούρος τόνος δέρματος
🦹🏿‍♂️	άντρας supervillain: σκούρος τόνος δέρματος
🦹🏿‍♂	άντρας supervillain: σκούρος τόνος δέρματος
🧙	μάγος
🧙🏻	μάγος: ανοιχτόχρωμος τόνος δέρματος
🧙🏼	μάγος: μεσαίος-ανοιχτός τόνος δέρματος
🧙🏽	μάγος: μεσαίος τόνος δέρματος
🧙🏾	μάγος: μεσαίος-σκούρος τόνος δέρματος
🧙🏿	μάγος: σκούρος τόνος δέρματος
🧙‍♀️	γυναίκα μάγος
🧙‍♀	γυναίκα μάγος
🧙🏻‍♀️	γυναίκα μάγος: ανοιχτόχρωμος τόνος δέρματος
🧙🏻‍♀	γυναίκα μάγος: ανοιχτόχρωμος τόνος δέρματος
🧙🏼‍♀️	γυναίκα μάγος: μεσαίος-ανοιχτός τόνος δέρματος
🧙🏼‍♀	γυναίκα μάγος: μεσαίος-ανοιχτός τόνος δέρματος
🧙🏽‍♀️	γυναίκα μάγος: μεσαίος τόνος δέρματος
🧙🏽‍♀	γυναίκα μάγος: μεσαίος τόνος δέρματος
🧙🏾‍♀️	γυναίκα μάγος: μεσαίος-σκούρος τόνος δέρματος
🧙🏾‍♀	γυναίκα μάγος: μεσαίος-σκούρος τόνος δέρματος
🧙🏿‍♀️	γυναίκα μάγος: σκούρος τόνος δέρματος
🧙🏿‍♀	γυναίκα μάγος: σκούρος τόνος δέρματος
🧙‍♂️	άντρας μάγος
🧙‍♂	άντρας μάγος
🧙🏻‍♂️	man mage: ανοιχτόχρωμος τόνος δέρματος
🧙🏻‍♂	man mage: ανοιχτόχρωμος τόνος δέρματος
🧙🏼‍♂️	man mage: μεσαίος-ανοιχτός τόνος δέρματος
🧙🏼‍♂	man mage: μεσαίος-ανοιχτός τόνος δέρματος
🧙🏽‍♂️	man mage: μεσαίος τόνος δέρματος
🧙🏽‍♂	man mage: μεσαίος τόνος δέρματος
🧙🏾‍♂️	man mage: μεσαίος-σκούρος τόνος δέρματος
🧙🏾‍♂	man mage: μεσαίος-σκούρος τόνος δέρματος
🧙🏿‍♂️	άντρας μάγος: σκούρος τόνος δέρματος
🧙🏿‍♂	άντρας μάγος: σκούρος τόνος δέρματος
🧚	νεράιδα
🧚🏻	νεράιδα: ανοιχτόχρωμη επιδερμίδα
🧚🏼	νεράιδα: μεσαίος-ανοιχτός τόνος δέρματος
🧚🏽	νεράιδα: μεσαίου τόνου δέρματος
🧚🏾	νεράιδα: μεσαίος-σκούρος τόνος δέρματος
🧚🏿	νεράιδα: σκούρος τόνος δέρματος
🧚‍♀️	γυναίκα νεράιδα
🧚‍♀	γυναίκα νεράιδα
🧚🏻‍♀️	γυναίκα νεράιδα: ανοιχτόχρωμη επιδερμίδα
🧚🏻‍♀	γυναίκα νεράιδα: ανοιχτόχρωμη επιδερμίδα
🧚🏼‍♀️	γυναίκα νεράιδα: μεσαίος-ανοιχτός τόνος δέρματος
🧚🏼‍♀	γυναίκα νεράιδα: μεσαίος-ανοιχτός τόνος δέρματος
🧚🏽‍♀️	γυναίκα νεράιδα: μεσαίος τόνος δέρματος
🧚🏽‍♀	γυναίκα νεράιδα: μεσαίος τόνος δέρματος
🧚🏾‍♀️	γυναίκα νεράιδα: μεσαίος-σκούρος τόνος δέρματος
🧚🏾‍♀	γυναίκα νεράιδα: μεσαίος-σκούρος τόνος δέρματος
🧚🏿‍♀️	γυναίκα νεράιδα: σκούρος τόνος δέρματος
🧚🏿‍♀	γυναίκα νεράιδα: σκούρος τόνος δέρματος
🧚‍♂️	άνθρωπος νεράιδα
🧚‍♂	άνθρωπος νεράιδα
🧚🏻‍♂️	άντρας νεράιδα: ανοιχτόχρωμος τόνος δέρματος
🧚🏻‍♂	άντρας νεράιδα: ανοιχτόχρωμος τόνος δέρματος
🧚🏼‍♂️	άντρας νεράιδα: μεσαίος-ανοιχτός τόνος δέρματος
🧚🏼‍♂	άντρας νεράιδα: μεσαίος-ανοιχτός τόνος δέρματος
🧚🏽‍♂️	άντρας νεράιδα: μεσαίος τόνος δέρματος
🧚🏽‍♂	άντρας νεράιδα: μεσαίος τόνος δέρματος
🧚🏾‍♂️	άντρας νεράιδα: μεσαίος-σκούρος τόνος δέρματος
🧚🏾‍♂	άντρας νεράιδα: μεσαίος-σκούρος τόνος δέρματος
🧚🏿‍♂️	άντρας νεράιδα: σκούρος τόνος δέρματος
🧚🏿‍♂	άντρας νεράιδα: σκούρος τόνος δέρματος
🧛	βρυκόλακας
🧛🏻	βαμπίρ: ανοιχτόχρωμος τόνος δέρματος
🧛🏼	βαμπίρ: μεσαίος-ανοιχτός τόνος δέρματος
🧛🏽	βαμπίρ: μεσαίος τόνος δέρματος
🧛🏾	βαμπίρ: μεσαίος-σκούρος τόνος δέρματος
🧛🏿	βαμπίρ: σκούρος τόνος δέρματος
🧛‍♀️	γυναίκα βαμπίρ
🧛‍♀	γυναίκα βαμπίρ
🧛🏻‍♀️	γυναίκα βαμπίρ: ανοιχτόχρωμος τόνος δέρματος
🧛🏻‍♀	γυναίκα βαμπίρ: ανοιχτόχρωμος τόνος δέρματος
🧛🏼‍♀️	γυναίκα βαμπίρ: μεσαίος-ανοιχτός τόνος δέρματος
🧛🏼‍♀	γυναίκα βαμπίρ: μεσαίος-ανοιχτός τόνος δέρματος
🧛🏽‍♀️	γυναίκα βαμπίρ: μεσαίος τόνος δέρματος
🧛🏽‍♀	γυναίκα βαμπίρ: μεσαίος τόνος δέρματος
🧛🏾‍♀️	γυναίκα βαμπίρ: μεσαίος-σκούρος τόνος δέρματος
🧛🏾‍♀	γυναίκα βαμπίρ: μεσαίος-σκούρος τόνος δέρματος
🧛🏿‍♀️	γυναίκα βαμπίρ: σκούρος τόνος δέρματος
🧛🏿‍♀	γυναίκα βαμπίρ: σκούρος τόνος δέρματος
🧛‍♂️	άνθρωπος βαμπίρ
🧛‍♂	άνθρωπος βαμπίρ
🧛🏻‍♂️	άντρας βαμπίρ: ανοιχτόχρωμος τόνος δέρματος
🧛🏻‍♂	άντρας βαμπίρ: ανοιχτόχρωμος τόνος δέρματος
🧛🏼‍♂️	άντρας βαμπίρ: μεσαίος-ανοιχτός τόνος δέρματος
🧛🏼‍♂	άντρας βαμπίρ: μεσαίος-ανοιχτός τόνος δέρματος
🧛🏽‍♂️	άντρας βαμπίρ: μεσαίος τόνος δέρματος
🧛🏽‍♂	άντρας βαμπίρ: μεσαίος τόνος δέρματος
🧛🏾‍♂️	άντρας βαμπίρ: μεσαίος-σκούρος τόνος δέρματος
🧛🏾‍♂	άντρας βαμπίρ: μεσαίος-σκούρος τόνος δέρματος
🧛🏿‍♂️	άντρας βαμπίρ: σκούρος τόνος δέρματος
🧛🏿‍♂	άντρας βαμπίρ: σκούρος τόνος δέρματος
🧜	Merperson
🧜🏻	Merperson: ανοιχτόχρωμος τόνος δέρματος
🧜🏼	Merperson: μεσαίος-ανοιχτός τόνος δέρματος
🧜🏽	Merperson: μεσαίος τόνος δέρματος
🧜🏾	Merperson: μεσαίος-σκούρος τόνος δέρματος
🧜🏿	Merperson: σκούρος τόνος δέρματος
🧜‍♀️	γοργόνα
🧜‍♀	γοργόνα
🧜🏻‍♀️	γοργόνα: ανοιχτόχρωμος τόνος δέρματος
🧜🏻‍♀	γοργόνα: ανοιχτόχρωμος τόνος δέρματος
🧜🏼‍♀️	γοργόνα: μεσαίος-ανοιχτός τόνος δέρματος
🧜🏼‍♀	γοργόνα: μεσαίος-ανοιχτός τόνος δέρματος
🧜🏽‍♀️	γοργόνα: μεσαίος τόνος δέρματος
🧜🏽‍♀	γοργόνα: μεσαίος τόνος δέρματος
🧜🏾‍♀️	γοργόνα: μεσαίος-σκούρος τόνος δέρματος
🧜🏾‍♀	γοργόνα: μεσαίος-σκούρος τόνος δέρματος
🧜🏿‍♀️	γοργόνα: σκούρος τόνος δέρματος
🧜🏿‍♀	γοργόνα: σκούρος τόνος δέρματος
🧜‍♂️	γερμανός
🧜‍♂	γερμανός
🧜🏻‍♂️	merman: ανοιχτόχρωμος τόνος δέρματος
🧜🏻‍♂	merman: ανοιχτόχρωμος τόνος δέρματος
🧜🏼‍♂️	merman: μεσαίος-ανοιχτός τόνος δέρματος
🧜🏼‍♂	merman: μεσαίος-ανοιχτός τόνος δέρματος
🧜🏽‍♂️	merman: μεσαίος τόνος δέρματος
🧜🏽‍♂	merman: μεσαίος τόνος δέρματος
🧜🏾‍♂️	merman: μεσαίος-σκούρος τόνος δέρματος
🧜🏾‍♂	merman: μεσαίος-σκούρος τόνος δέρματος
🧜🏿‍♂️	merman: σκούρος τόνος δέρματος
🧜🏿‍♂	merman: σκούρος τόνος δέρματος
🧝	ξωτικό
🧝🏻	ξωτικό: ανοιχτόχρωμος τόνος δέρματος
🧝🏼	ξωτικό: μεσαίος-ανοιχτός τόνος δέρματος
🧝🏽	ξωτικό: μεσαίος τόνος δέρματος
🧝🏾	ξωτικό: μεσαίος-σκούρος τόνος δέρματος
🧝🏿	ξωτικό: σκούρος τόνος δέρματος
🧝‍♀️	γυναίκα ξωτικό
🧝‍♀	γυναίκα ξωτικό
🧝🏻‍♀️	γυναικείο ξωτικό: ανοιχτόχρωμος τόνος δέρματος
🧝🏻‍♀	γυναικείο ξωτικό: ανοιχτόχρωμος τόνος δέρματος
🧝🏼‍♀️	γυναικείο ξωτικό: μεσαίος-ανοιχτός τόνος δέρματος
🧝🏼‍♀	γυναικείο ξωτικό: μεσαίος-ανοιχτός τόνος δέρματος
🧝🏽‍♀️	γυναικείο ξωτικό: μεσαίος τόνος δέρματος
🧝🏽‍♀	γυναικείο ξωτικό: μεσαίος τόνος δέρματος
🧝🏾‍♀️	γυναικείο ξωτικό: μεσαίος-σκούρος τόνος δέρματος
🧝🏾‍♀	γυναικείο ξωτικό: μεσαίος-σκούρος τόνος δέρματος
🧝🏿‍♀️	ξωτικό γυναίκα: σκούρος τόνος δέρματος
🧝🏿‍♀	ξωτικό γυναίκα: σκούρος τόνος δέρματος
🧝‍♂️	άνθρωπος ξωτικό
🧝‍♂	άνθρωπος ξωτικό
🧝🏻‍♂️	άντρας ξωτικό: ανοιχτόχρωμος τόνος δέρματος
🧝🏻‍♂	άντρας ξωτικό: ανοιχτόχρωμος τόνος δέρματος
🧝🏼‍♂️	άντρας ξωτικό: μεσαίος-ανοιχτός τόνος δέρματος
🧝🏼‍♂	άντρας ξωτικό: μεσαίος-ανοιχτός τόνος δέρματος
🧝🏽‍♂️	άντρας ξωτικό: μεσαίος τόνος δέρματος
🧝🏽‍♂	άντρας ξωτικό: μεσαίος τόνος δέρματος
🧝🏾‍♂️	άντρας ξωτικό: μεσαίος-σκούρος τόνος δέρματος
🧝🏾‍♂	άντρας ξωτικό: μεσαίος-σκούρος τόνος δέρματος
🧝🏿‍♂️	άντρας ξωτικό: σκούρος τόνος δέρματος
🧝🏿‍♂	άντρας ξωτικό: σκούρος τόνος δέρματος
🧞	τζίνι
🧞‍♀️	γυναίκα τζίνι
🧞‍♀	γυναίκα τζίνι
🧞‍♂️	άντρας τζίνι
🧞‍♂	άντρας τζίνι
🧟	βρυκόλακας
🧟‍♀️	γυναίκα ζόμπι
🧟‍♀	γυναίκα ζόμπι
🧟‍♂️	άντρας ζόμπι
🧟‍♂	άντρας ζόμπι
🙍	πρόσωπο συνοφρυωμένο
🙍🏻	άτομο που συνοφρυώνεται: ανοιχτόχρωμος τόνος δέρματος
🙍🏼	άτομο που συνοφρυώνεται: μεσαίος-ανοιχτός τόνος δέρματος
🙍🏽	άτομο συνοφρυωμένο: μεσαίος τόνος δέρματος
🙍🏾	άτομο που συνοφρυώνεται: μεσαίος-σκούρος τόνος δέρματος
🙍🏿	άτομο που συνοφρυώνεται: σκούρος τόνος δέρματος
🙍‍♂️	άνθρωπος συνοφρυωμένος
🙍‍♂	άνθρωπος συνοφρυωμένος
🙍🏻‍♂️	άντρας συνοφρυωμένος: ανοιχτόχρωμος τόνος δέρματος
🙍🏻‍♂	άντρας συνοφρυωμένος: ανοιχτόχρωμος τόνος δέρματος
🙍🏼‍♂️	άντρας συνοφρυωμένος: μεσαίος-ανοιχτός τόνος δέρματος
🙍🏼‍♂	άντρας συνοφρυωμένος: μεσαίος-ανοιχτός τόνος δέρματος
🙍🏽‍♂️	άντρας συνοφρυωμένος: μεσαίος τόνος δέρματος
🙍🏽‍♂	άντρας συνοφρυωμένος: μεσαίος τόνος δέρματος
