😀	হাসিমুখ
🦹🏽	সুপারভিলেন: মাঝারি ত্বকের রঙ
🦹🏾	সুপারভিলেন: মাঝারি-গাঢ় ত্বকের রঙ
🦹🏿	সুপারভিলেন: কালো ত্বকের রঙ
🦹‍♀️	মহিলা সুপারভিলেন
🦹‍♀	মহিলা সুপারভিলেন
🦹🏻‍♀️	মহিলা সুপারভিলেন: হালকা ত্বকের রঙ
🦹🏻‍♀	মহিলা সুপারভিলেন: হালকা ত্বকের রঙ
🦹🏼‍♀️	মহিলা সুপারভিলেন: মাঝারি-হালকা ত্বকের রঙ
🦹🏼‍♀	মহিলা সুপারভিলেন: মাঝারি-হালকা ত্বকের রঙ
🦹🏽‍♀️	মহিলা সুপারভিলেন: মাঝারি ত্বকের রঙ
🦹🏽‍♀	মহিলা সুপারভিলেন: মাঝারি ত্বকের রঙ
🦹🏾‍♀️	মহিলা সুপারভিলেন: মাঝারি-গাঢ় ত্বকের রঙ
🦹🏾‍♀	মহিলা সুপারভিলেন: মাঝারি-গাঢ় ত্বকের রঙ
🦹🏿‍♀️	মহিলা সুপারভিলেন: কালো ত্বকের রঙ
🦹🏿‍♀	মহিলা সুপারভিলেন: কালো ত্বকের রঙ
🦹‍♂️	মানুষ সুপারভিলেন
🦹‍♂	মানুষ সুপারভিলেন
🦹🏻‍♂️	পুরুষ সুপারভিলেন: হালকা ত্বকের রঙ
🦹🏻‍♂	পুরুষ সুপারভিলেন: হালকা ত্বকের রঙ
🦹🏼‍♂️	পুরুষ সুপারভিলেন: মাঝারি-হালকা ত্বকের রঙ
🦹🏼‍♂	পুরুষ সুপারভিলেন: মাঝারি-হালকা ত্বকের রঙ
🦹🏽‍♂️	পুরুষ সুপারভিলেন: মাঝারি ত্বকের রঙ
🦹🏽‍♂	পুরুষ সুপারভিলেন: মাঝারি ত্বকের রঙ
🦹🏾‍♂️	পুরুষ সুপারভিলেন: মাঝারি-কালো ত্বকের রঙ
🦹🏾‍♂	পুরুষ সুপারভিলেন: মাঝারি-কালো ত্বকের রঙ
🦹🏿‍♂️	পুরুষ সুপারভিলেন: কালো ত্বকের রঙ
🦹🏿‍♂	পুরুষ সুপারভিলেন: কালো ত্বকের রঙ
🧙	জাদু
🧙🏻	ম্যাজ: হালকা ত্বকের রঙ
🧙🏼	ম্যাজ: মাঝারি-হালকা ত্বকের রঙ
🧙🏽	ম্যাজ: মাঝারি ত্বকের রঙ
🧙🏾	ম্যাজ: মাঝারি-কালো ত্বকের রঙ
🧙🏿	জাদু: কালো ত্বকের রং
🧙‍♀️	মহিলা জাদু
🧙‍♀	মহিলা জাদু
🧙🏻‍♀️	মহিলা জাদু: হালকা ত্বকের রঙ
🧙🏻‍♀	মহিলা জাদু: হালকা ত্বকের রঙ
🧙🏼‍♀️	মহিলা জাদু: ত্বকের রঙ মাঝারি-হালকা
🧙🏼‍♀	মহিলা জাদু: ত্বকের রঙ মাঝারি-হালকা
🧙🏽‍♀️	মহিলা জাদু: মাঝারি চামড়ার রং
🧙🏽‍♀	মহিলা জাদু: মাঝারি চামড়ার রং
🧙🏾‍♀️	মহিলা জাদু: মাঝারি-কালো ত্বকের রঙ
🧙🏾‍♀	মহিলা জাদু: মাঝারি-কালো ত্বকের রঙ
🧙🏿‍♀️	মহিলা জাদু: কালো ত্বকের রঙ
🧙🏿‍♀	মহিলা জাদু: কালো ত্বকের রঙ
🧙‍♂️	পুরুষ জাদু
🧙‍♂	পুরুষ জাদু
🧙🏻‍♂️	পুরুষ জাদু: হালকা ত্বকের রঙ
🧙🏻‍♂	পুরুষ জাদু: হালকা ত্বকের রঙ
🧙🏼‍♂️	পুরুষ জাদু: ত্বকের রঙ মাঝারি-হালকা
🧙🏼‍♂	পুরুষ জাদু: ত্বকের রঙ মাঝারি-হালকা
🧙🏽‍♂️	পুরুষ জাদু: মাঝারি চামড়ার রং
🧙🏽‍♂	পুরুষ জাদু: মাঝারি চামড়ার রং
🧙🏾‍♂️	পুরুষ জাদু: মাঝারি-কালো ত্বকের রং
🧙🏾‍♂	পুরুষ জাদু: মাঝারি-কালো ত্বকের রং
🧙🏿‍♂️	পুরুষ জাদু: কালো ত্বকের রং
🧙🏿‍♂	পুরুষ জাদু: কালো ত্বকের রঙ
🧚	পরী
🧚🏻	পরী: হালকা ত্বকের রঙ
🧚🏼	পরী: মাঝারি-হালকা ত্বকের রঙ
🧚🏽	পরী: মাঝারি ত্বকের রং
🧚🏾	পরী: মাঝারি-গাঢ় ত্বকের রঙ
🧚🏿	পরী: কালো ত্বকের রং
🧚‍♀️	নারী পরী
🧚‍♀	নারী পরী
🧚🏻‍♀️	মহিলা পরী: হালকা ত্বকের রঙ
🧚🏻‍♀	মহিলা পরী: হালকা ত্বকের রঙ
🧚🏼‍♀️	মহিলা পরী: মাঝারি-হালকা ত্বকের রং
🧚🏼‍♀	মহিলা পরী: মাঝারি-হালকা ত্বকের রং
🧚🏽‍♀️	মহিলা পরী: মাঝারি চামড়ার রং
🧚🏽‍♀	মহিলা পরী: মাঝারি চামড়ার রং
🧚🏾‍♀️	মহিলা পরী: মাঝারি কালো ত্বকের রং
🧚🏾‍♀	মহিলা পরী: মাঝারি কালো ত্বকের রং
🧚🏿‍♀️	মহিলা পরী: কালো ত্বকের রং
🧚🏿‍♀	মহিলা পরী: কালো ত্বকের রং
🧚‍♂️	মানুষ পরী
🧚‍♂	মানুষ পরী
🧚🏻‍♂️	পুরুষ পরী: হালকা ত্বকের রঙ
🧚🏻‍♂	পুরুষ পরী: হালকা ত্বকের রঙ
🧚🏼‍♂️	পুরুষ পরী: মাঝারি-হালকা ত্বকের রং
🧚🏼‍♂	পুরুষ পরী: মাঝারি-হালকা ত্বকের রং
🧚🏽‍♂️	পুরুষ পরী: মাঝারি চামড়ার রং
🧚🏽‍♂	পুরুষ পরী: মাঝারি চামড়ার রং
🧚🏾‍♂️	পুরুষ পরী: মাঝারি কালো ত্বকের রং
🧚🏾‍♂	পুরুষ পরী: মাঝারি কালো ত্বকের রং
🧚🏿‍♂️	পুরুষ পরী: কালো ত্বকের রং
🧚🏿‍♂	পুরুষ পরী: কালো ত্বকের রং
🧛	ভ্যাম্পায়ার
🧛🏻	ভ্যাম্পায়ার: হালকা ত্বকের রঙ
🧛🏼	ভ্যাম্পায়ার: মাঝারি-হালকা ত্বকের রঙ
🧛🏽	ভ্যাম্পায়ার: মাঝারি ত্বকের রঙ
🧛🏾	ভ্যাম্পায়ার: মাঝারি-কালো ত্বকের রঙ
🧛🏿	ভ্যাম্পায়ার: কালো ত্বকের রঙ
🧛‍♀️	মহিলা ভ্যাম্পায়ার
🧛‍♀	মহিলা ভ্যাম্পায়ার
🧛🏻‍♀️	মহিলা ভ্যাম্পায়ার: হালকা ত্বকের রঙ
🧛🏻‍♀	মহিলা ভ্যাম্পায়ার: হালকা ত্বকের রঙ
🧛🏼‍♀️	মহিলা ভ্যাম্পায়ার: মাঝারি-হালকা ত্বকের রঙ
🧛🏼‍♀	মহিলা ভ্যাম্পায়ার: মাঝারি-হালকা ত্বকের রঙ
🧛🏽‍♀️	মহিলা ভ্যাম্পায়ার: মাঝারি চামড়ার রঙ
🧛🏽‍♀	মহিলা ভ্যাম্পায়ার: মাঝারি চামড়ার রঙ
🧛🏾‍♀️	মহিলা ভ্যাম্পায়ার: মাঝারি কালো ত্বকের রঙ
🧛🏾‍♀	মহিলা ভ্যাম্পায়ার: মাঝারি কালো ত্বকের রঙ
🧛🏿‍♀️	মহিলা ভ্যাম্পায়ার: কালো ত্বকের রঙ
🧛🏿‍♀	মহিলা ভ্যাম্পায়ার: কালো ত্বকের রঙ
🧛‍♂️	মানুষ ভ্যাম্পায়ার
🧛‍♂	মানুষ ভ্যাম্পায়ার
🧛🏻‍♂️	পুরুষ ভ্যাম্পায়ার: হালকা ত্বকের রঙ
🧛🏻‍♂	পুরুষ ভ্যাম্পায়ার: হালকা ত্বকের রঙ
🧛🏼‍♂️	পুরুষ ভ্যাম্পায়ার: মাঝারি-হালকা ত্বকের রং
🧛🏼‍♂	পুরুষ ভ্যাম্পায়ার: মাঝারি-হালকা ত্বকের রং
🧛🏽‍♂️	পুরুষ ভ্যাম্পায়ার: মাঝারি চামড়ার রং
🧛🏽‍♂	পুরুষ ভ্যাম্পায়ার: মাঝারি চামড়ার রং
🧛🏾‍♂️	পুরুষ ভ্যাম্পায়ার: মাঝারি-কালো ত্বকের রং
🧛🏾‍♂	পুরুষ ভ্যাম্পায়ার: মাঝারি-কালো ত্বকের রং
🧛🏿‍♂️	পুরুষ ভ্যাম্পায়ার: কালো ত্বকের রং
🧛🏿‍♂	পুরুষ ভ্যাম্পায়ার: কালো ত্বকের রং
🧜	merperson
🧜🏻	merperson: হালকা ত্বকের রঙ
🧜🏼	merperson: মাঝারি-হালকা ত্বকের রঙ
🧜🏽	merperson: মাঝারি ত্বকের রঙ
🧜🏾	merperson: মাঝারি-গাঢ় ত্বকের রং
🧜🏿	merperson: কালো ত্বকের রং
🧜‍♀️	মৎসকন্যা
🧜‍♀	মৎসকন্যা
🧜🏻‍♀️	মারমেইড: হালকা ত্বকের রঙ
🧜🏻‍♀	মারমেইড: হালকা ত্বকের রঙ
🧜🏼‍♀️	মারমেইড: মাঝারি-হালকা ত্বকের রঙ
🧜🏼‍♀	মারমেইড: মাঝারি-হালকা ত্বকের রঙ
🧜🏽‍♀️	মারমেইড: মাঝারি ত্বকের রঙ
🧜🏽‍♀	মারমেইড: মাঝারি ত্বকের রঙ
🧜🏾‍♀️	মারমেইড: মাঝারি-গাঢ় ত্বকের রঙ
🧜🏾‍♀	মারমেইড: মাঝারি-গাঢ় ত্বকের রঙ
🧜🏿‍♀️	মারমেইড: কালো ত্বকের রং
🧜🏿‍♀	মারমেইড: কালো ত্বকের রং
🧜‍♂️	মারমান
🧜‍♂	মারমান
🧜🏻‍♂️	merman: হালকা ত্বকের রঙ
🧜🏻‍♂	merman: হালকা ত্বকের রঙ
🧜🏼‍♂️	মারমান: মাঝারি-হালকা ত্বকের রঙ
🧜🏼‍♂	মারমান: মাঝারি-হালকা ত্বকের রঙ
🧜🏽‍♂️	মারমান: মাঝারি ত্বকের রঙ
🧜🏽‍♂	মারমান: মাঝারি ত্বকের রঙ
🧜🏾‍♂️	মারমান: মাঝারি-গাঢ় ত্বকের রঙ
🧜🏾‍♂	মারমান: মাঝারি-গাঢ় ত্বকের রঙ
🧜🏿‍♂️	merman: কালো ত্বকের রং
🧜🏿‍♂	merman: কালো ত্বকের রং
🧝	পরী
🧝🏻	elf: হালকা ত্বকের রঙ
🧝🏼	এলফ: মাঝারি-হালকা ত্বকের রঙ
🧝🏽	এলফ: মাঝারি ত্বকের রঙ
🧝🏾	এলফ: মাঝারি-গাঢ় ত্বকের রঙ
🧝🏿	elf: কালো ত্বকের রঙ
🧝‍♀️	মহিলা পরী
🧝‍♀	মহিলা পরী
🧝🏻‍♀️	মহিলা পরী: হালকা ত্বকের রঙ
🧝🏻‍♀	মহিলা পরী: হালকা ত্বকের রঙ
🧝🏼‍♀️	মহিলা এলফ: মাঝারি-হালকা ত্বকের রঙ
🧝🏼‍♀	মহিলা এলফ: মাঝারি-হালকা ত্বকের রঙ
🧝🏽‍♀️	মহিলা এলফ: মাঝারি চামড়ার রং
🧝🏽‍♀	মহিলা এলফ: মাঝারি চামড়ার রং
🧝🏾‍♀️	মহিলা এলফ: মাঝারি-কালো ত্বকের রঙ
🧝🏾‍♀	মহিলা এলফ: মাঝারি-কালো ত্বকের রঙ
🧝🏿‍♀️	মহিলা এলফ: কালো ত্বকের রঙ
🧝🏿‍♀	মহিলা এলফ: কালো ত্বকের রঙ
🧝‍♂️	পুরুষ পরী
🧝‍♂	পুরুষ পরী
🧝🏻‍♂️	পুরুষ পরী: হালকা ত্বকের রঙ
🧝🏻‍♂	পুরুষ পরী: হালকা ত্বকের রঙ
🧝🏼‍♂️	পুরুষ এলফ: মাঝারি-হালকা ত্বকের রং
🧝🏼‍♂	পুরুষ এলফ: মাঝারি-হালকা ত্বকের রং
🧝🏽‍♂️	পুরুষ এলফ: মাঝারি চামড়ার রং
🧝🏽‍♂	পুরুষ এলফ: মাঝারি চামড়ার রং
🧝🏾‍♂️	পুরুষ এলফ: মাঝারি-কালো ত্বকের রং
🧝🏾‍♂	পুরুষ এলফ: মাঝারি-কালো ত্বকের রং
🧝🏿‍♂️	পুরুষ এলফ: কালো ত্বকের রং
🧝🏿‍♂	পুরুষ এলফ: কালো ত্বকের রং
🧞	জিনি
🧞‍♀️	মহিলা জিনি
🧞‍♀	মহিলা জিনি
🧞‍♂️	মানুষ জিনি
🧞‍♂	মানুষ জিনি
🧟	জম্বি
🧟‍♀️	মহিলা জম্বি
🧟‍♀	মহিলা জম্বি
🧟‍♂️	মানুষ জম্বি
🧟‍♂	মানুষ জম্বি
🙍	ভ্রুকুটি করা ব্যক্তি
🙍🏻	ভ্রুকুটি করা ব্যক্তি: হালকা ত্বকের রঙ
🙍🏼	ভ্রুকুটি করা ব্যক্তি: মাঝারি-হালকা ত্বকের রঙ
🙍🏽	ভ্রুকুটি করা ব্যক্তি: মাঝারি ত্বকের রঙ
🙍🏾	ভ্রুকুটি করা ব্যক্তি: মাঝারি-কালো ত্বকের রঙ
🙍🏿	ভ্রুকুটি করা ব্যক্তি: কালো ত্বকের রঙ
🙍‍♂️	মানুষ ভ্রুকুটি করছে
🙍‍♂	মানুষ ভ্রুকুটি করছে
🙍🏻‍♂️	ভ্রুকুটি করা পুরুষ: হালকা ত্বকের রঙ
🙍🏻‍♂	ভ্রুকুটি করা পুরুষ: হালকা ত্বকের রঙ
🙍🏼‍♂️	পুরুষের ভ্রুকুটি: মাঝারি-হালকা ত্বকের রঙ
🙍🏼‍♂	পুরুষের ভ্রুকুটি: মাঝারি-হালকা ত্বকের রঙ
🙍🏽‍♂️	পুরুষ ভ্রুকুটি করা: মাঝারি চামড়ার রঙ
🙍🏽‍♂	পুরুষ ভ্রুকুটি করা: মাঝারি চামড়ার রঙ
🙍🏾‍♂️	পুরুষের ভ্রুকুটি: মাঝারি-কালো ত্বকের রঙ
🙍🏾‍♂	পুরুষের ভ্রুকুটি: মাঝারি-কালো ত্বকের রঙ
🙍🏿‍♂️	ভ্রুকুটি করা পুরুষ: কালো ত্বকের রং
🙍🏿‍♂	ভ্রুকুটি করা পুরুষ: কালো ত্বকের রং
🙍‍♀️	মহিলার ভ্রুকুটি
🙍‍♀	মহিলার ভ্রুকুটি
🙍🏻‍♀️	মহিলার ভ্রুকুটি: হালকা ত্বকের রঙ
🙍🏻‍♀	মহিলার ভ্রুকুটি: হালকা ত্বকের রঙ
🙍🏼‍♀️	মহিলার ভ্রুকুটি: মাঝারি-হালকা ত্বকের রঙ
🙍🏼‍♀	মহিলার ভ্রুকুটি: মাঝারি-হালকা ত্বকের রঙ
🙍🏽‍♀️	মহিলার ভ্রুকুটি: মাঝারি ত্বকের রঙ
🙍🏽‍♀	মহিলার ভ্রুকুটি: মাঝারি ত্বকের রঙ
🙍🏾‍♀️	মহিলার ভ্রুকুটি: মাঝারি-কালো ত্বকের রঙ
🙍🏾‍♀	মহিলার ভ্রুকুটি: মাঝারি-কালো ত্বকের রঙ
🙍🏿‍♀️	মহিলার ভ্রুকুটি: কালো ত্বকের রঙ
🙍🏿‍♀	মহিলার ভ্রুকুটি: কালো ত্বকের রঙ
🙎	ব্যক্তি
🙎🏻	ঢোকানো ব্যক্তি: হালকা ত্বকের রঙ
🙎🏼	ব্যক্তি: মাঝারি-হালকা ত্বকের রঙ
🙎🏽	ব্যক্তি: মাঝারি চামড়ার রঙ
🙎🏾	পাউটিং করা ব্যক্তি: মাঝারি-কালো ত্বকের রং
🙎🏿	ব্যক্তি: গাঢ় ত্বকের রং
🙎‍♂️	মানুষ হাঁপাচ্ছে
🙎‍♂	মানুষ হাঁপাচ্ছে
🙎🏻‍♂️	পুরুষ পাউটিং: ত্বকের হালকা রঙ
🙎🏻‍♂	পুরুষ পাউটিং: ত্বকের হালকা রঙ
🙎🏼‍♂️	পুরুষ পাউটিং: মাঝারি-হালকা ত্বকের রঙ
🙎🏼‍♂	পুরুষ পাউটিং: মাঝারি-হালকা ত্বকের রঙ
🙎🏽‍♂️	পুরুষ পাউটিং: মাঝারি চামড়ার রঙ
🙎🏽‍♂	পুরুষ পাউটিং: মাঝারি চামড়ার রঙ
🙎🏾‍♂️	পুরুষ পাউটিং: মাঝারি-কালো ত্বকের রঙ
🙎🏾‍♂	পুরুষ পাউটিং: মাঝারি-কালো ত্বকের রঙ
🙎🏿‍♂️	পুরুষ পাউটিং: কালো ত্বকের রঙ
🙎🏿‍♂	পুরুষ পাউটিং: কালো ত্বকের রঙ
🙎‍♀️	মহিলা পাউটিং
🙎‍♀	মহিলা পাউটিং
🙎🏻‍♀️	মহিলা: হালকা ত্বকের রঙ
🙎🏻‍♀	মহিলা: হালকা ত্বকের রঙ
🙎🏼‍♀️	মহিলা পাউটিং: মাঝারি-হালকা ত্বকের রঙ
🙎🏼‍♀	মহিলা পাউটিং: মাঝারি-হালকা ত্বকের রঙ
🙎🏽‍♀️	মহিলা: মাঝারি চামড়ার রঙ
🙎🏽‍♀	মহিলা: মাঝারি চামড়ার রঙ
🙎🏾‍♀️	মহিলা পাউটিং: মাঝারি-কালো ত্বকের রঙ
🙎🏾‍♀	মহিলা পাউটিং: মাঝারি-কালো ত্বকের রঙ
🙎🏿‍♀️	মহিলা: কালো ত্বকের রঙ
🙎🏿‍♀	মহিলা: কালো ত্বকের রঙ
🙅	ব্যক্তি NO ইশারা করছে
🙅🏻	ব্যক্তি না ইঙ্গিত করছে: হালকা ত্বকের রঙ
🙅🏼	না ইঙ্গিত করা ব্যক্তি: মাঝারি-হালকা ত্বকের রঙ
🙅🏽	ব্যক্তি না ইঙ্গিত করছে: মাঝারি ত্বকের রঙ
🙅🏾	না ইঙ্গিত করা ব্যক্তি: মাঝারি-গাঢ় ত্বকের রঙ
🙅🏿	ব্যক্তি না ইঙ্গিত করছে: কালো ত্বকের রং
🙅‍♂️	লোকটি NO ইশারা করছে
🙅‍♂	লোকটি NO ইশারা করছে
🙅🏻‍♂️	পুরুষ না ইঙ্গিত করছে: হালকা ত্বকের রং
🙅🏻‍♂	পুরুষ না ইঙ্গিত করছে: হালকা ত্বকের রং
🙅🏼‍♂️	পুরুষ না ইঙ্গিত করছে: মাঝারি-হালকা ত্বকের রঙ
🙅🏼‍♂	পুরুষ না ইঙ্গিত করছে: মাঝারি-হালকা ত্বকের রঙ
🙅🏽‍♂️	পুরুষ না ইঙ্গিত করছে: মাঝারি ত্বকের রঙ
🙅🏽‍♂	পুরুষ না ইঙ্গিত করছে: মাঝারি ত্বকের রঙ
🙅🏾‍♂️	পুরুষ না ইঙ্গিত করছে: মাঝারি-গাঢ় ত্বকের রং
🙅🏾‍♂	পুরুষ না ইঙ্গিত করছে: মাঝারি-গাঢ় ত্বকের রং
🙅🏿‍♂️	পুরুষ না ইঙ্গিত করছে: কালো ত্বকের রং
🙅🏿‍♂	পুরুষ না ইঙ্গিত করছে: কালো ত্বকের রং
🙅‍♀️	মহিলা NO ইশারায়
🙅‍♀	মহিলা NO ইশারায়
🙅🏻‍♀️	মহিলা ইশারা করছেন না: হালকা ত্বকের রঙ
🙅🏻‍♀	মহিলা ইশারা করছেন না: হালকা ত্বকের রঙ
🙅🏼‍♀️	মহিলা ইশারা করছেন না: মাঝারি-হালকা ত্বকের রঙ
🙅🏼‍♀	মহিলা ইশারা করছেন না: মাঝারি-হালকা ত্বকের রঙ
🙅🏽‍♀️	মহিলা ইশারা করছেন না: মাঝারি ত্বকের রঙ
🙅🏽‍♀	মহিলা ইশারা করছেন না: মাঝারি ত্বকের রঙ
🙅🏾‍♀️	মহিলা ইশারা করছেন না: মাঝারি-গাঢ় ত্বকের রঙ
🙅🏾‍♀	মহিলা ইশারা করছেন না: মাঝারি-গাঢ় ত্বকের রঙ
🙅🏿‍♀️	মহিলা ইশারা করছেন না: কালো ত্বকের রঙ
🙅🏿‍♀	মহিলা ইশারা করছেন না: কালো ত্বকের রঙ
🙆	ব্যক্তি ঠিক আছে ইঙ্গিত
🙆🏻	ব্যক্তি ইশারা করছেন ঠিক আছে: হালকা ত্বকের রঙ
🙆🏼	ব্যক্তি ইশারা করছে ঠিক আছে: মাঝারি-হালকা ত্বকের রঙ
🙆🏽	ব্যক্তি ইশারা করছে ঠিক আছে: মাঝারি ত্বকের রঙ
🙆🏾	ব্যক্তি ঠিক আছে বলে ইঙ্গিত করছে: মাঝারি-কালো ত্বকের রঙ
🙆🏿	ব্যক্তি ইশারা করছেন ঠিক আছে: কালো ত্বকের রং
🙆‍♂️	লোকটি ঠিক আছে বলে ইশারা করছে
🙆‍♂	লোকটি ঠিক আছে বলে ইশারা করছে
🙆🏻‍♂️	লোকটি ঠিক আছে ইশারা করছে: হালকা ত্বকের রঙ
🙆🏻‍♂	লোকটি ঠিক আছে ইশারা করছে: হালকা ত্বকের রঙ
🙆🏼‍♂️	পুরুষ ঠিক আছে ইঙ্গিত করছে: মাঝারি-হালকা ত্বকের রঙ
🙆🏼‍♂	পুরুষ ঠিক আছে ইঙ্গিত করছে: মাঝারি-হালকা ত্বকের রঙ
🙆🏽‍♂️	পুরুষ ঠিক আছে ইশারা করছে: মাঝারি ত্বকের রঙ
🙆🏽‍♂	পুরুষ ঠিক আছে ইশারা করছে: মাঝারি ত্বকের রঙ
🙆🏾‍♂️	পুরুষ ঠিক আছে ইঙ্গিত করছে: মাঝারি-গাঢ় ত্বকের রঙ
🙆🏾‍♂	পুরুষ ঠিক আছে ইঙ্গিত করছে: মাঝারি-গাঢ় ত্বকের রঙ
🙆🏿‍♂️	লোকটি ঠিক ইঙ্গিত করছে: কালো ত্বকের রঙ
🙆🏿‍♂	লোকটি ঠিক ইঙ্গিত করছে: কালো ত্বকের রঙ
🙆‍♀️	মহিলা ঠিক আছে ইঙ্গিত
🙆‍♀	মহিলা ঠিক আছে ইঙ্গিত
🙆🏻‍♀️	মহিলা ইশারা করছেন ঠিক আছে: হালকা ত্বকের রঙ
🙆🏻‍♀	মহিলা ইশারা করছেন ঠিক আছে: হালকা ত্বকের রঙ
🙆🏼‍♀️	মহিলা ইশারা করছেন ঠিক আছে: মাঝারি-হালকা ত্বকের রঙ
🙆🏼‍♀	মহিলা ইশারা করছেন ঠিক আছে: মাঝারি-হালকা ত্বকের রঙ
🙆🏽‍♀️	মহিলা ইশারা করছে ঠিক আছে: মাঝারি ত্বকের রঙ
🙆🏽‍♀	মহিলা ইশারা করছে ঠিক আছে: মাঝারি ত্বকের রঙ
🙆🏾‍♀️	মহিলা ইশারা করছেন ঠিক আছে: মাঝারি-কালো ত্বকের রঙ
🙆🏾‍♀	মহিলা ইশারা করছেন ঠিক আছে: মাঝারি-কালো ত্বকের রঙ
🙆🏿‍♀️	মহিলা ইশারা করছেন ঠিক আছে: কালো ত্বকের রঙ
🙆🏿‍♀	মহিলা ইশারা করছেন ঠিক আছে: কালো ত্বকের রঙ
💁	ব্যক্তি হাত টিপছে
💁🏻	ব্যক্তি হাত টিপছেন: হালকা ত্বকের রঙ
💁🏼	ব্যক্তি হাত টিপছেন: মাঝারি-হালকা ত্বকের রঙ
💁🏽	ব্যক্তি হাত টিপছেন: মাঝারি ত্বকের রঙ
💁🏾	ব্যক্তি হাত টিপছে: মাঝারি-কালো ত্বকের রঙ
💁🏿	ব্যক্তি হাত টিপছেন: কালো ত্বকের রঙ
💁‍♂️	মানুষ হাত টিপছে
💁‍♂	মানুষ হাত টিপছে
💁🏻‍♂️	পুরুষ হাত টিপছেন: হালকা ত্বকের রঙ
💁🏻‍♂	পুরুষ হাত টিপছেন: হালকা ত্বকের রঙ
💁🏼‍♂️	পুরুষ হাত টিপছে: মাঝারি-হালকা ত্বকের রঙ
💁🏼‍♂	পুরুষ হাত টিপছে: মাঝারি-হালকা ত্বকের রঙ
💁🏽‍♂️	পুরুষ হাত টিপছে: মাঝারি ত্বকের রঙ
💁🏽‍♂	পুরুষ হাত টিপছে: মাঝারি ত্বকের রঙ
💁🏾‍♂️	পুরুষ হাত টিপছে: মাঝারি-কালো ত্বকের রঙ
💁🏾‍♂	পুরুষ হাত টিপছে: মাঝারি-কালো ত্বকের রঙ
💁🏿‍♂️	পুরুষ হাত টিপছেন: কালো ত্বকের রঙ
💁🏿‍♂	পুরুষ হাত টিপছেন: কালো ত্বকের রঙ
💁‍♀️	মহিলা হাত টিপছেন
💁‍♀	মহিলা হাত টিপছেন
💁🏻‍♀️	মহিলা হাত টিপছেন: হালকা ত্বকের রঙ
💁🏻‍♀	মহিলা হাত টিপছেন: হালকা ত্বকের রঙ
💁🏼‍♀️	মহিলা হাত টিপছেন: মাঝারি-হালকা ত্বকের রঙ
💁🏼‍♀	মহিলা হাত টিপছেন: মাঝারি-হালকা ত্বকের রঙ
💁🏽‍♀️	মহিলা হাত টিপছেন: মাঝারি ত্বকের রঙ
💁🏽‍♀	মহিলা হাত টিপছেন: মাঝারি ত্বকের রঙ
💁🏾‍♀️	মহিলা হাত টিপছেন: মাঝারি-কালো ত্বকের রঙ
💁🏾‍♀	মহিলা হাত টিপছেন: মাঝারি-কালো ত্বকের রঙ
💁🏿‍♀️	মহিলা হাত টিপছেন: কালো ত্বকের রঙ
💁🏿‍♀	মহিলা হাত টিপছেন: কালো ত্বকের রঙ
🙋	ব্যক্তি হাত তুলছেন
🙋🏻	হাত তোলা ব্যক্তি: হালকা ত্বকের রঙ
🙋🏼	হাত তোলা ব্যক্তি: মাঝারি-হালকা ত্বকের রঙ
🙋🏽	হাত তোলা ব্যক্তি: মাঝারি চামড়ার রং
🙋🏾	হাত তোলা ব্যক্তি: মাঝারি-কালো ত্বকের রঙ
🙋🏿	হাত তোলা ব্যক্তি: কালো ত্বকের রঙ
🙋‍♂️	মানুষ হাত তুলছে
🙋‍♂	মানুষ হাত তুলছে
🙋🏻‍♂️	পুরুষ হাত তুলছে: হালকা ত্বকের রঙ
🙋🏻‍♂	পুরুষ হাত তুলছে: হালকা ত্বকের রঙ
🙋🏼‍♂️	পুরুষ হাত তুলছে: মাঝারি-হালকা ত্বকের রঙ
🙋🏼‍♂	পুরুষ হাত তুলছে: মাঝারি-হালকা ত্বকের রঙ
🙋🏽‍♂️	পুরুষ হাত তুলেছে: মাঝারি চামড়ার রং
🙋🏽‍♂	পুরুষ হাত তুলেছে: মাঝারি চামড়ার রং
🙋🏾‍♂️	পুরুষ হাত তুলেছে: মাঝারি-কালো ত্বকের রঙ
🙋🏾‍♂	পুরুষ হাত তুলেছে: মাঝারি-কালো ত্বকের রঙ
🙋🏿‍♂️	পুরুষ হাত তুলছে: কালো ত্বকের রঙ
🙋🏿‍♂	পুরুষ হাত তুলছে: কালো ত্বকের রঙ
🙋‍♀️	মহিলা হাত তুলছেন
🙋‍♀	মহিলা হাত তুলছেন
🙋🏻‍♀️	মহিলা হাত তুলছেন: হালকা ত্বকের রঙ
🙋🏻‍♀	মহিলা হাত তুলছেন: হালকা ত্বকের রঙ
🙋🏼‍♀️	মহিলা হাত তুলছেন: মাঝারি-হালকা ত্বকের রঙ
🙋🏼‍♀	মহিলা হাত তুলছেন: মাঝারি-হালকা ত্বকের রঙ
🙋🏽‍♀️	মহিলা হাত তুলছেন: মাঝারি ত্বকের রঙ
🙋🏽‍♀	মহিলা হাত তুলছেন: মাঝারি ত্বকের রঙ
🙋🏾‍♀️	মহিলা হাত তুলছেন: মাঝারি-কালো ত্বকের রঙ
🙋🏾‍♀	মহিলা হাত তুলছেন: মাঝারি-কালো ত্বকের রঙ
🙋🏿‍♀️	মহিলা হাত তুলছেন: কালো ত্বকের রঙ
