😀	nacereno lice
👨🏼‍🦰	muškarac, crvenokos: srednje svijetla koža
👨🏽‍🦰	muškarac, crvenokos: srednja boja kože
👨🏾‍🦰	muškarac, crvenokos: srednje tamna koža
👨🏿‍🦰	muškarac, crvenokos: tamna koža
👩‍🦰	žena, crvenokosa
👩🏻‍🦰	žena, crvenokosa: svijetla boja kože
👩🏼‍🦰	žena, crvenokosa: srednje svijetla koža
👩🏽‍🦰	žena, crvenokosa: srednja boja kože
👩🏾‍🦰	žena, crvenokosa: srednje tamna koža
👩🏿‍🦰	žena, crvenokosa: tamna boja kože
👨‍🦱	muškarac, kovrčave kose
👨🏻‍🦱	muškarac, kovrčave kose: svijetla koža
👨🏼‍🦱	muškarac, kovrčave kose: srednje svijetla koža
👨🏽‍🦱	muškarac, kovrčave kose: srednja boja kože
👨🏾‍🦱	muškarac, kovrčave kose: srednje tamna koža
👨🏿‍🦱	muškarac, kovrčave kose: tamna boja kože
👩‍🦱	žena, kovrčave kose
👩🏻‍🦱	žena, kovrčave kose: svijetla koža
👩🏼‍🦱	žena, kovrčave kose: srednje svijetla koža
👩🏽‍🦱	žena, kovrčave kose: srednja boja kože
👩🏾‍🦱	žena, kovrčave kose: srednje tamna koža
👩🏿‍🦱	žena, kovrčave kose: tamna boja kože
👨‍🦲	muškarac, ćelav
👨🏻‍🦲	muškarac, ćelav: svijetla boja kože
👨🏼‍🦲	muškarac, ćelav: srednje svijetla boja kože
👨🏽‍🦲	muškarac, ćelav: srednja boja kože
👨🏾‍🦲	muškarac, ćelav: srednje tamna koža
👨🏿‍🦲	muškarac, ćelav: tamna boja kože
👩‍🦲	žena, ćelava
👩🏻‍🦲	žena, ćelav: svijetla boja kože
👩🏼‍🦲	žena, ćelav: srednje svijetla boja kože
👩🏽‍🦲	žena, ćelava: srednja boja kože
👩🏾‍🦲	žena, ćelav: srednje tamna koža
👩🏿‍🦲	žena, ćelav: tamna boja kože
👨‍🦳	muškarac, bijele kose
👨🏻‍🦳	muškarac, sijeda kosa: svijetla koža
👨🏼‍🦳	muškarac, sijeda kosa: srednje svijetla boja kože
👨🏽‍🦳	muškarac, sijeda kosa: srednja boja kože
👨🏾‍🦳	muškarac, sijeda kosa: srednje tamna koža
👨🏿‍🦳	muškarac, sijeda kosa: tamna koža
👩‍🦳	žena, bijele kose
👩🏻‍🦳	žena, sijeda kosa: svijetla koža
👩🏼‍🦳	žena, sijeda kosa: srednje svijetla boja kože
👩🏽‍🦳	žena, sijeda kosa: srednja boja kože
👩🏾‍🦳	žena, sijeda kosa: srednje tamna koža
👩🏿‍🦳	žena, sijeda kosa: tamna boja kože
🤵	čovjek u smokingu
🤵🏻	muškarac u smokingu: svijetla boja kože
🤵🏼	muškarac u smokingu: srednje svijetla boja kože
🤵🏽	muškarac u smokingu: srednja boja kože
🤵🏾	muškarac u smokingu: srednje tamna koža
🤵🏿	muškarac u smokingu: tamna koža
👰	mladenka s velom
👰🏻	mladenka s velom: svijetla boja kože
👰🏼	mladenka s velom: srednje svijetla boja kože
👰🏽	mladenka s velom: srednja boja kože
👰🏾	mladenka s velom: srednje tamna boja kože
👰🏿	mladenka s velom: tamna boja kože
🤰	trudna žena
🤰🏻	trudnica: svijetla boja kože
🤰🏼	trudnica: srednje svijetla boja kože
🤰🏽	trudnica: srednja boja kože
🤰🏾	trudnica: srednje tamna boja kože
🤰🏿	trudnica: tamna boja kože
🤱	dojenje
🤱🏻	dojenje: svijetla boja kože
🤱🏼	dojenje: srednje svijetla boja kože
🤱🏽	dojenje: srednja boja kože
🤱🏾	dojenje: srednje tamna koža
🤱🏿	dojenje: tamna boja kože
👼	beba anđeo
👼🏻	mali anđeo: svijetla boja kože
👼🏼	mali anđeo: srednje svijetla boja kože
👼🏽	mali anđeo: srednja boja kože
👼🏾	mali anđeo: srednje tamna koža
👼🏿	mali anđeo: tamna boja kože
🎅	Djed Mraz
🎅🏻	Djed Mraz: svijetla boja kože
🎅🏼	Djed Mraz: srednje svijetla boja kože
🎅🏽	Djed Mraz: srednja boja kože
🎅🏾	Djed Mraz: srednje tamna koža
🎅🏿	Djed Mraz: tamna boja kože
🤶	gospođo Mraz
🤶🏻	Gospođa Mraz: svijetla boja kože
🤶🏼	Gospođa Mraz: srednje svijetla boja kože
🤶🏽	Gospođa Mraz: srednja boja kože
🤶🏾	Gospođa Mraz: srednje tamna koža
🤶🏿	Gospođa Mraz: tamna koža
🦸	superheroj
🦸🏻	superheroj: svijetla koža
🦸🏼	superheroj: srednje svijetla boja kože
🦸🏽	superheroj: srednja boja kože
🦸🏾	superheroj: srednje tamna koža
🦸🏿	superheroj: tamna koža
🦸‍♀️	žena superheroj
🦸‍♀	žena superheroj
🦸🏻‍♀️	žena superheroj: svijetla boja kože
🦸🏻‍♀	žena superheroj: svijetla boja kože
🦸🏼‍♀️	žena superheroj: srednje svijetla koža
🦸🏼‍♀	žena superheroj: srednje svijetla koža
🦸🏽‍♀️	žena superheroj: srednja boja kože
🦸🏽‍♀	žena superheroj: srednja boja kože
🦸🏾‍♀️	žena superheroj: srednje tamna koža
🦸🏾‍♀	žena superheroj: srednje tamna koža
🦸🏿‍♀️	žena superheroj: tamna koža
🦸🏿‍♀	žena superheroj: tamna koža
🦸‍♂️	čovjek superheroj
🦸‍♂	čovjek superheroj
🦸🏻‍♂️	čovjek superheroj: svijetla boja kože
🦸🏻‍♂	čovjek superheroj: svijetla boja kože
🦸🏼‍♂️	muškarac superheroj: srednje svijetla boja kože
🦸🏼‍♂	muškarac superheroj: srednje svijetla boja kože
🦸🏽‍♂️	čovjek superheroj: srednja boja kože
🦸🏽‍♂	čovjek superheroj: srednja boja kože
🦸🏾‍♂️	čovjek superheroj: srednje tamna koža
🦸🏾‍♂	čovjek superheroj: srednje tamna koža
🦸🏿‍♂️	čovjek superheroj: tamna koža
🦸🏿‍♂	čovjek superheroj: tamna koža
🦹	superzlikovac
🦹🏻	superzlikovac: svijetla koža
🦹🏼	superzlikovac: srednje svijetla boja kože
🦹🏽	superzlikovac: srednja boja kože
🦹🏾	superzlikovac: srednje tamna koža
🦹🏿	superzlikovac: tamna koža
🦹‍♀️	žena superzlikovac
🦹‍♀	žena superzlikovac
🦹🏻‍♀️	žena superzlikovac: svijetla koža
🦹🏻‍♀	žena superzlikovac: svijetla koža
🦹🏼‍♀️	žena superzlikovac: srednje svijetla boja kože
🦹🏼‍♀	žena superzlikovac: srednje svijetla boja kože
🦹🏽‍♀️	žena superzlikovac: srednja boja kože
🦹🏽‍♀	žena superzlikovac: srednja boja kože
🦹🏾‍♀️	žena superzlikovac: srednje tamna koža
🦹🏾‍♀	žena superzlikovac: srednje tamna koža
🦹🏿‍♀️	žena superzlikovac: tamna koža
🦹🏿‍♀	žena superzlikovac: tamna koža
🦹‍♂️	čovjek superzlikovac
🦹‍♂	čovjek superzlikovac
🦹🏻‍♂️	čovjek superzlikovac: svijetla koža
🦹🏻‍♂	čovjek superzlikovac: svijetla koža
🦹🏼‍♂️	čovjek superzlikovac: srednje svijetla boja kože
🦹🏼‍♂	čovjek superzlikovac: srednje svijetla boja kože
🦹🏽‍♂️	čovjek superzlikovac: srednja boja kože
🦹🏽‍♂	čovjek superzlikovac: srednja boja kože
🦹🏾‍♂️	čovjek superzlikovac: srednje tamna koža
🦹🏾‍♂	čovjek superzlikovac: srednje tamna koža
🦹🏿‍♂️	čovjek superzlikovac: tamna boja kože
🦹🏿‍♂	čovjek superzlikovac: tamna boja kože
🧙	mag
🧙🏻	mage: svijetla boja kože
🧙🏼	mage: srednje svijetla boja kože
🧙🏽	mage: srednja boja kože
🧙🏾	mage: srednje tamna koža
🧙🏿	mage: tamna boja kože
🧙‍♀️	žena mag
🧙‍♀	žena mag
🧙🏻‍♀️	žena mag: svijetla boja kože
🧙🏻‍♀	žena mag: svijetla boja kože
🧙🏼‍♀️	žena mag: srednje svijetla boja kože
🧙🏼‍♀	žena mag: srednje svijetla boja kože
🧙🏽‍♀️	žena mag: srednja boja kože
🧙🏽‍♀	žena mag: srednja boja kože
🧙🏾‍♀️	žena mag: srednje tamna koža
🧙🏾‍♀	žena mag: srednje tamna koža
🧙🏿‍♀️	žena mag: tamna boja kože
🧙🏿‍♀	žena mag: tamna boja kože
🧙‍♂️	čovjek mag
🧙‍♂	čovjek mag
🧙🏻‍♂️	čovjek mage: svijetla boja kože
🧙🏻‍♂	čovjek mage: svijetla boja kože
🧙🏼‍♂️	čovjek mage: srednje svijetla boja kože
🧙🏼‍♂	čovjek mage: srednje svijetla boja kože
🧙🏽‍♂️	čovjek mage: srednja boja kože
🧙🏽‍♂	čovjek mage: srednja boja kože
🧙🏾‍♂️	čovjek mage: srednje tamna koža
🧙🏾‍♂	čovjek mage: srednje tamna koža
🧙🏿‍♂️	čovjek mage: tamna boja kože
🧙🏿‍♂	čovjek mage: tamna boja kože
🧚	vila
🧚🏻	vila: svijetla boja kože
🧚🏼	vila: srednje svijetla boja kože
🧚🏽	vila: srednja boja kože
🧚🏾	vila: srednje tamna boja kože
🧚🏿	vila: tamna boja kože
🧚‍♀️	žena vila
🧚‍♀	žena vila
🧚🏻‍♀️	žena vila: svijetla boja kože
🧚🏻‍♀	žena vila: svijetla boja kože
🧚🏼‍♀️	žena vila: srednje svijetla boja kože
🧚🏼‍♀	žena vila: srednje svijetla boja kože
🧚🏽‍♀️	žena vila: srednja boja kože
🧚🏽‍♀	žena vila: srednja boja kože
🧚🏾‍♀️	žena vila: srednje tamna koža
🧚🏾‍♀	žena vila: srednje tamna koža
🧚🏿‍♀️	žena vila: tamna boja kože
🧚🏿‍♀	žena vila: tamna boja kože
🧚‍♂️	čovjek vila
🧚‍♂	čovjek vila
🧚🏻‍♂️	čovjek vila: svijetla boja kože
🧚🏻‍♂	čovjek vila: svijetla boja kože
🧚🏼‍♂️	čovjek vila: srednje svijetla boja kože
🧚🏼‍♂	čovjek vila: srednje svijetla boja kože
🧚🏽‍♂️	čovjek vila: srednja boja kože
🧚🏽‍♂	čovjek vila: srednja boja kože
🧚🏾‍♂️	čovjek vila: srednje tamna koža
🧚🏾‍♂	čovjek vila: srednje tamna koža
🧚🏿‍♂️	čovjek vila: tamna boja kože
🧚🏿‍♂	čovjek vila: tamna boja kože
🧛	vampir
🧛🏻	vampir: svijetla boja kože
🧛🏼	vampir: srednje svijetla boja kože
🧛🏽	vampir: srednja boja kože
🧛🏾	vampir: srednje tamna koža
🧛🏿	vampir: tamna boja kože
🧛‍♀️	žena vampir
🧛‍♀	žena vampir
🧛🏻‍♀️	žena vampir: svijetla boja kože
🧛🏻‍♀	žena vampir: svijetla boja kože
🧛🏼‍♀️	žena vampir: srednje svijetla boja kože
🧛🏼‍♀	žena vampir: srednje svijetla boja kože
🧛🏽‍♀️	žena vampir: srednja boja kože
🧛🏽‍♀	žena vampir: srednja boja kože
🧛🏾‍♀️	žena vampir: srednje tamna koža
🧛🏾‍♀	žena vampir: srednje tamna koža
🧛🏿‍♀️	žena vampir: tamna koža
🧛🏿‍♀	žena vampir: tamna koža
🧛‍♂️	čovjek vampir
🧛‍♂	čovjek vampir
🧛🏻‍♂️	muškarac vampir: svijetla boja kože
🧛🏻‍♂	muškarac vampir: svijetla boja kože
🧛🏼‍♂️	muškarac vampir: srednje svijetla boja kože
🧛🏼‍♂	muškarac vampir: srednje svijetla boja kože
🧛🏽‍♂️	muškarac vampir: srednja boja kože
🧛🏽‍♂	muškarac vampir: srednja boja kože
🧛🏾‍♂️	muškarac vampir: srednje tamna koža
🧛🏾‍♂	muškarac vampir: srednje tamna koža
🧛🏿‍♂️	muškarac vampir: tamna boja kože
🧛🏿‍♂	muškarac vampir: tamna boja kože
🧜	merperson
🧜🏻	merperson: svijetla koža
🧜🏼	merperson: srednje svijetla koža
🧜🏽	merperson: srednja boja kože
🧜🏾	merperson: srednje tamna koža
🧜🏿	merperson: tamna koža
🧜‍♀️	sirena
🧜‍♀	sirena
🧜🏻‍♀️	sirena: svijetla boja kože
🧜🏻‍♀	sirena: svijetla boja kože
🧜🏼‍♀️	sirena: srednje svijetla boja kože
🧜🏼‍♀	sirena: srednje svijetla boja kože
🧜🏽‍♀️	sirena: srednja boja kože
🧜🏽‍♀	sirena: srednja boja kože
🧜🏾‍♀️	sirena: srednje tamna koža
🧜🏾‍♀	sirena: srednje tamna koža
🧜🏿‍♀️	sirena: tamna boja kože
🧜🏿‍♀	sirena: tamna boja kože
🧜‍♂️	triton
🧜‍♂	triton
🧜🏻‍♂️	merman: svijetla boja kože
🧜🏻‍♂	merman: svijetla boja kože
🧜🏼‍♂️	merman: srednje svijetla boja kože
🧜🏼‍♂	merman: srednje svijetla boja kože
🧜🏽‍♂️	merman: srednja boja kože
🧜🏽‍♂	merman: srednja boja kože
🧜🏾‍♂️	merman: srednje tamna koža
🧜🏾‍♂	merman: srednje tamna koža
🧜🏿‍♂️	merman: tamna boja kože
🧜🏿‍♂	merman: tamna boja kože
🧝	patuljak
🧝🏻	vilenjak: svijetla boja kože
🧝🏼	vilenjak: srednje svijetla boja kože
🧝🏽	vilenjak: srednja boja kože
🧝🏾	vilenjak: srednje tamna boja kože
🧝🏿	vilenjak: tamna boja kože
🧝‍♀️	žena vilenjak
🧝‍♀	žena vilenjak
🧝🏻‍♀️	žena vilenjak: svijetla boja kože
🧝🏻‍♀	žena vilenjak: svijetla boja kože
🧝🏼‍♀️	žena vilenjak: srednje svijetla boja kože
🧝🏼‍♀	žena vilenjak: srednje svijetla boja kože
🧝🏽‍♀️	žena vilenjak: srednja boja kože
🧝🏽‍♀	žena vilenjak: srednja boja kože
🧝🏾‍♀️	žena vilenjak: srednje tamna koža
🧝🏾‍♀	žena vilenjak: srednje tamna koža
🧝🏿‍♀️	žena vilenjak: tamna boja kože
🧝🏿‍♀	žena vilenjak: tamna boja kože
🧝‍♂️	čovjek vilenjak
🧝‍♂	čovjek vilenjak
🧝🏻‍♂️	čovjek vilenjak: svijetla boja kože
🧝🏻‍♂	čovjek vilenjak: svijetla boja kože
🧝🏼‍♂️	čovjek vilenjak: srednje svijetla boja kože
🧝🏼‍♂	čovjek vilenjak: srednje svijetla boja kože
🧝🏽‍♂️	čovjek vilenjak: srednja boja kože
🧝🏽‍♂	čovjek vilenjak: srednja boja kože
🧝🏾‍♂️	čovjek vilenjak: srednje tamna koža
🧝🏾‍♂	čovjek vilenjak: srednje tamna koža
🧝🏿‍♂️	čovjek vilenjak: tamna boja kože
🧝🏿‍♂	čovjek vilenjak: tamna boja kože
🧞	duh
🧞‍♀️	žena duh
🧞‍♀	žena duh
🧞‍♂️	čovjek duh
🧞‍♂	čovjek duh
🧟	zombi
🧟‍♀️	žena zombi
🧟‍♀	žena zombi
🧟‍♂️	čovjek zombi
🧟‍♂	čovjek zombi
🙍	osoba namrštena
🙍🏻	osoba koja se namršti: svijetla boja kože
🙍🏼	osoba koja se namršti: srednje svijetla boja kože
🙍🏽	osoba koja se namršti: srednja boja kože
🙍🏾	osoba koja se namršti: srednje tamna koža
🙍🏿	osoba koja se namršti: tamna boja kože
🙍‍♂️	čovjek namršten
🙍‍♂	čovjek namršten
🙍🏻‍♂️	čovjek koji se namršti: svijetla boja kože
🙍🏻‍♂	čovjek koji se namršti: svijetla boja kože
🙍🏼‍♂️	čovjek koji se namršti: srednje svijetla boja kože
🙍🏼‍♂	čovjek koji se namršti: srednje svijetla boja kože
🙍🏽‍♂️	čovjek koji se namršti: srednja boja kože
🙍🏽‍♂	čovjek koji se namršti: srednja boja kože
🙍🏾‍♂️	čovjek koji se namršti: srednje tamna koža
🙍🏾‍♂	čovjek koji se namršti: srednje tamna koža
🙍🏿‍♂️	čovjek koji se namršti: tamna koža
🙍🏿‍♂	čovjek koji se namršti: tamna koža
🙍‍♀️	žena namrštena
🙍‍♀	žena namrštena
🙍🏻‍♀️	žena namrštena: svijetla boja kože
🙍🏻‍♀	žena namrštena: svijetla boja kože
🙍🏼‍♀️	žena namrštena: srednje svijetla boja kože
🙍🏼‍♀	žena namrštena: srednje svijetla boja kože
🙍🏽‍♀️	žena namrštena: srednja boja kože
🙍🏽‍♀	žena namrštena: srednja boja kože
🙍🏾‍♀️	žena namrštena: srednje tamna koža
🙍🏾‍♀	žena namrštena: srednje tamna koža
🙍🏿‍♀️	žena namrštena: tamna koža
🙍🏿‍♀	žena namrštena: tamna koža
🙎	osoba koja se duri
🙎🏻	osoba koja se duri: svijetla koža
🙎🏼	osoba koja se duri: srednje svijetla koža
🙎🏽	osoba koja se duri: srednja boja kože
🙎🏾	osoba koja se duri: srednje tamna koža
🙎🏿	osoba koja se duri: tamna koža
🙎‍♂️	čovjek koji se duri
🙎‍♂	čovjek koji se duri
🙎🏻‍♂️	muškarac koji se duri: svijetla koža
🙎🏻‍♂	muškarac koji se duri: svijetla koža
🙎🏼‍♂️	muškarac koji se duri: srednje svijetla koža
🙎🏼‍♂	muškarac koji se duri: srednje svijetla koža
🙎🏽‍♂️	muškarac koji se duri: srednja boja kože
🙎🏽‍♂	muškarac koji se duri: srednja boja kože
🙎🏾‍♂️	muškarac koji se duri: srednje tamna koža
🙎🏾‍♂	muškarac koji se duri: srednje tamna koža
🙎🏿‍♂️	muškarac koji se duri: tamna koža
🙎🏿‍♂	muškarac koji se duri: tamna koža
🙎‍♀️	žena koja se duri
🙎‍♀	žena koja se duri
🙎🏻‍♀️	žena koja se duri: svijetla koža
🙎🏻‍♀	žena koja se duri: svijetla koža
🙎🏼‍♀️	žena koja se duri: srednje svijetla koža
🙎🏼‍♀	žena koja se duri: srednje svijetla koža
🙎🏽‍♀️	žena koja se duri: srednja boja kože
🙎🏽‍♀	žena koja se duri: srednja boja kože
🙎🏾‍♀️	žena koja se duri: srednje tamna koža
🙎🏾‍♀	žena koja se duri: srednje tamna koža
🙎🏿‍♀️	žena koja se duri: tamna koža
🙎🏿‍♀	žena koja se duri: tamna koža
🙅	osoba koja gestikulira NE
🙅🏻	osoba koja pokazuje NE: svijetla koža
🙅🏼	osoba koja pokazuje NE: srednje svijetla boja kože
🙅🏽	osoba koja pokazuje NE: srednja boja kože
🙅🏾	osoba koja pokazuje NE: srednje tamna koža
🙅🏿	osoba koja pokazuje NE: tamna koža
🙅‍♂️	muškarac koji gestikulira NE
🙅‍♂	muškarac koji gestikulira NE
🙅🏻‍♂️	muškarac koji pokazuje NE: svijetla koža
🙅🏻‍♂	muškarac koji pokazuje NE: svijetla koža
🙅🏼‍♂️	muškarac koji pokazuje NE: srednje svijetla koža
🙅🏼‍♂	muškarac koji pokazuje NE: srednje svijetla koža
🙅🏽‍♂️	muškarac koji pokazuje NE: srednja boja kože
🙅🏽‍♂	muškarac koji pokazuje NE: srednja boja kože
🙅🏾‍♂️	muškarac koji pokazuje NE: srednje tamna koža
🙅🏾‍♂	muškarac koji pokazuje NE: srednje tamna koža
🙅🏿‍♂️	muškarac koji pokazuje NE: tamna koža
🙅🏿‍♂	muškarac koji pokazuje NE: tamna koža
🙅‍♀️	žena koja gestikulira NE
🙅‍♀	žena koja gestikulira NE
🙅🏻‍♀️	žena koja pokazuje NE: svijetla koža
🙅🏻‍♀	žena koja pokazuje NE: svijetla koža
🙅🏼‍♀️	žena koja pokazuje NE: srednje svijetla koža
🙅🏼‍♀	žena koja pokazuje NE: srednje svijetla koža
🙅🏽‍♀️	žena koja pokazuje NE: srednja boja kože
🙅🏽‍♀	žena koja pokazuje NE: srednja boja kože
🙅🏾‍♀️	žena koja pokazuje NE: srednje tamna koža
🙅🏾‍♀	žena koja pokazuje NE: srednje tamna koža
🙅🏿‍♀️	žena koja pokazuje NE: tamna koža
🙅🏿‍♀	žena koja pokazuje NE: tamna koža
🙆	osoba koja gestikulira OK
🙆🏻	osoba koja pokazuje OK: svijetla koža
🙆🏼	osoba koja pokazuje OK: srednje svijetla boja kože
🙆🏽	osoba koja pokazuje OK: srednja boja kože
🙆🏾	osoba koja pokazuje OK: srednje tamna koža
🙆🏿	osoba koja pokazuje OK: tamna koža
🙆‍♂️	muškarac koji gestikulira OK
🙆‍♂	muškarac koji gestikulira OK
🙆🏻‍♂️	muškarac koji pokazuje OK: svijetla koža
🙆🏻‍♂	muškarac koji pokazuje OK: svijetla koža
🙆🏼‍♂️	muškarac koji pokazuje OK: srednje svijetla koža
🙆🏼‍♂	muškarac koji pokazuje OK: srednje svijetla koža
🙆🏽‍♂️	muškarac koji pokazuje OK: srednja boja kože
🙆🏽‍♂	muškarac koji pokazuje OK: srednja boja kože
🙆🏾‍♂️	muškarac koji pokazuje OK: srednje tamna koža
🙆🏾‍♂	muškarac koji pokazuje OK: srednje tamna koža
🙆🏿‍♂️	muškarac koji pokazuje OK: tamna koža
🙆🏿‍♂	muškarac koji pokazuje OK: tamna koža
🙆‍♀️	žena koja gestikulira OK
🙆‍♀	žena koja gestikulira OK
🙆🏻‍♀️	žena koja pokazuje OK: svijetla koža
🙆🏻‍♀	žena koja pokazuje OK: svijetla koža
🙆🏼‍♀️	žena koja pokazuje OK: srednje svijetla boja kože
🙆🏼‍♀	žena koja pokazuje OK: srednje svijetla boja kože
🙆🏽‍♀️	žena koja pokazuje OK: srednja boja kože
🙆🏽‍♀	žena koja pokazuje OK: srednja boja kože
🙆🏾‍♀️	žena koja pokazuje OK: srednje tamna koža
🙆🏾‍♀	žena koja pokazuje OK: srednje tamna koža
🙆🏿‍♀️	žena koja pokazuje OK: tamna koža
🙆🏿‍♀	žena koja pokazuje OK: tamna koža
💁	osoba koja naginje rukom
💁🏻	osoba koja naginje ruku: svijetla koža
💁🏼	osoba koja naginje rukom: srednje svijetla boja kože
💁🏽	osoba koja naginje ruku: srednja boja kože
💁🏾	osoba koja naginje rukom: srednje tamna koža
💁🏿	osoba koja naginje rukom: tamna koža
💁‍♂️	čovjek koji naginje rukom
💁‍♂	čovjek koji naginje rukom
💁🏻‍♂️	muškarac koji naginje ruku: svijetla koža
💁🏻‍♂	muškarac koji naginje ruku: svijetla koža
💁🏼‍♂️	muškarac koji naginje ruku: srednje svijetla boja kože
💁🏼‍♂	muškarac koji naginje ruku: srednje svijetla koža
💁🏽‍♂️	muškarac koji naginje ruku: srednja boja kože
💁🏽‍♂	muškarac koji naginje ruku: srednja boja kože
💁🏾‍♂️	muškarac koji naginje ruku: srednje tamna koža
💁🏾‍♂	muškarac koji naginje ruku: srednje tamna koža
💁🏿‍♂️	muškarac koji naginje ruku: tamna koža
💁🏿‍♂	muškarac koji naginje ruku: tamna koža
💁‍♀️	žena koja naginje rukom
💁‍♀	žena koja naginje rukom
💁🏻‍♀️	žena koja naginje ruku: svijetla boja kože
💁🏻‍♀	žena koja naginje ruku: svijetla boja kože
💁🏼‍♀️	žena koja naginje ruku: srednje svijetla koža
💁🏼‍♀	žena koja naginje ruku: srednje svijetla koža
💁🏽‍♀️	žena koja naginje ruku: srednja boja kože
💁🏽‍♀	žena koja naginje ruku: srednja boja kože
💁🏾‍♀️	žena koja naginje ruku: srednje tamna koža
💁🏾‍♀	žena koja naginje ruku: srednje tamna koža
💁🏿‍♀️	žena koja naginje ruku: tamna koža
💁🏿‍♀	žena koja naginje ruku: tamna koža
🙋	osoba koja podiže ruku
🙋🏻	osoba koja podiže ruku: svijetla koža
🙋🏼	osoba koja podiže ruku: srednje svijetla koža
🙋🏽	osoba koja podiže ruku: srednja boja kože
🙋🏾	osoba koja podiže ruku: srednje tamna koža
🙋🏿	osoba koja podiže ruku: tamna koža
🙋‍♂️	čovjek koji podiže ruku
🙋‍♂	čovjek koji podiže ruku
🙋🏻‍♂️	muškarac koji podiže ruku: svijetla koža
🙋🏻‍♂	muškarac koji podiže ruku: svijetla koža
🙋🏼‍♂️	muškarac koji podiže ruku: srednje svijetla koža
🙋🏼‍♂	muškarac koji podiže ruku: srednje svijetla koža
🙋🏽‍♂️	muškarac koji podiže ruku: srednja boja kože
🙋🏽‍♂	muškarac koji podiže ruku: srednja boja kože
🙋🏾‍♂️	muškarac koji podiže ruku: srednje tamna koža
🙋🏾‍♂	muškarac koji podiže ruku: srednje tamna koža
🙋🏿‍♂️	muškarac koji podiže ruku: tamna koža
🙋🏿‍♂	muškarac koji podiže ruku: tamna koža
🙋‍♀️	žena koja podiže ruku
🙋‍♀	žena koja podiže ruku
🙋🏻‍♀️	žena koja podiže ruku: svijetla koža
🙋🏻‍♀	žena koja podiže ruku: svijetla koža
🙋🏼‍♀️	žena koja podiže ruku: srednje svijetla koža
🙋🏼‍♀	žena koja podiže ruku: srednje svijetla koža
🙋🏽‍♀️	žena koja podiže ruku: srednja boja kože
🙋🏽‍♀	žena podiže ruku: srednja boja kože
🙋🏾‍♀️	žena podiže ruku: srednje tamna koža
🙋🏾‍♀	žena podiže ruku: srednje tamna koža
🙋🏿‍♀️	žena koja podiže ruku: tamna koža
🙋🏿‍♀	žena koja podiže ruku: tamna koža
🙇	osoba koja se klanja
🙇🏻	osoba koja se klanja: svijetla boja kože
🙇🏼	osoba koja se klanja: srednje svijetla boja kože
🙇🏽	osoba koja se klanja: srednja boja kože
🙇🏾	osoba koja se klanja: srednje tamna koža
🙇🏿	osoba koja se klanja: tamna boja kože
🙇‍♂️	čovjek koji se klanja
🙇‍♂	čovjek koji se klanja
🙇🏻‍♂️	muškarac koji se klanja: svijetla koža
🙇🏻‍♂	muškarac koji se klanja: svijetla koža
🙇🏼‍♂️	muškarac koji se klanja: srednje svijetla boja kože
🙇🏼‍♂	muškarac koji se klanja: srednje svijetla boja kože
🙇🏽‍♂️	muškarac koji se klanja: srednja boja kože
🙇🏽‍♂	muškarac koji se klanja: srednja boja kože
🙇🏾‍♂️	muškarac koji se klanja: srednje tamna koža
🙇🏾‍♂	muškarac koji se klanja: srednje tamna koža
🙇🏿‍♂️	muškarac koji se klanja: tamna boja kože
🙇🏿‍♂	muškarac koji se klanja: tamna boja kože
🙇‍♀️	žena koja se klanja
🙇‍♀	žena koja se klanja
🙇🏻‍♀️	žena koja se klanja: svijetla boja kože
🙇🏻‍♀	žena koja se klanja: svijetla boja kože
🙇🏼‍♀️	žena koja se klanja: srednje svijetla boja kože
🙇🏼‍♀	žena koja se klanja: srednje svijetla boja kože
🙇🏽‍♀️	žena koja se klanja: srednja boja kože
🙇🏽‍♀	žena koja se klanja: srednja boja kože
🙇🏾‍♀️	žena koja se klanja: srednje tamna koža
🙇🏾‍♀	žena koja se klanja: srednje tamna koža
🙇🏿‍♀️	žena koja se klanja: tamna koža
🙇🏿‍♀	žena koja se klanja: tamna koža
🤦	lice dlanom
🤦🏻	lice dlanom o osobi: svijetla boja kože
🤦🏼	lice dlanom o osobi: srednje svijetla boja kože
🤦🏽	lice dlanom o osobi: srednja boja kože
🤦🏾	lice dlanom: srednje tamna koža
🤦🏿	lice dlanom: tamna koža
🤦‍♂️	čovjek lice dlanom
🤦‍♂	čovjek lice dlanom
🤦🏻‍♂️	čovjek dlanom po licu: svijetla boja kože
🤦🏻‍♂	čovjek dlanom po licu: svijetla boja kože
🤦🏼‍♂️	muškarac dlanom po licu: srednje svijetla boja kože
🤦🏼‍♂	muškarac dlanom po licu: srednje svijetla boja kože
🤦🏽‍♂️	muškarac dlanom po licu: srednja boja kože
🤦🏽‍♂	muškarac dlanom po licu: srednja boja kože
🤦🏾‍♂️	muškarac dlanom po licu: srednje tamna koža
🤦🏾‍♂	muškarac dlanom po licu: srednje tamna koža
🤦🏿‍♂️	muškarac dlanom po licu: tamna koža
🤦🏿‍♂	muškarac dlanom po licu: tamna koža
🤦‍♀️	žena lice dlanom
🤦‍♀	žena lice dlanom
🤦🏻‍♀️	žena na dlanu: svijetla koža
🤦🏻‍♀	žena na dlanu: svijetla koža
🤦🏼‍♀️	žena na dlanu: srednje svijetla boja kože
🤦🏼‍♀	žena na dlanu: srednje svijetla boja kože
