😀	ನಗುವ ಮುಖ
🦹🏽	ಸೂಪರ್ವಿಲನ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🦹🏾	ಸೂಪರ್ವಿಲನ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🦹🏿	ಸೂಪರ್ವಿಲನ್: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🦹‍♀️	ಮಹಿಳಾ ಮೇಲ್ವಿಚಾರಕಿ
🦹‍♀	ಮಹಿಳಾ ಮೇಲ್ವಿಚಾರಕಿ
🦹🏻‍♀️	ಮಹಿಳಾ ಸೂಪರ್ವಿಲನ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🦹🏻‍♀	ಮಹಿಳಾ ಸೂಪರ್ವಿಲನ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🦹🏼‍♀️	ಮಹಿಳಾ ಸೂಪರ್ವಿಲನ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🦹🏼‍♀	ಮಹಿಳಾ ಸೂಪರ್ವಿಲನ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🦹🏽‍♀️	ಮಹಿಳಾ ಸೂಪರ್ವಿಲನ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🦹🏽‍♀	ಮಹಿಳಾ ಸೂಪರ್ವಿಲನ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🦹🏾‍♀️	ಮಹಿಳಾ ಸೂಪರ್ವಿಲನ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🦹🏾‍♀	ಮಹಿಳಾ ಸೂಪರ್ವಿಲನ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🦹🏿‍♀️	ಮಹಿಳಾ ಸೂಪರ್ವಿಲನ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🦹🏿‍♀	ಮಹಿಳಾ ಸೂಪರ್ವಿಲನ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🦹‍♂️	ಮನುಷ್ಯ ಸೂಪರ್ವಿಲನ್
🦹‍♂	ಮನುಷ್ಯ ಸೂಪರ್ವಿಲನ್
🦹🏻‍♂️	ಪುರುಷ ಸೂಪರ್ವಿಲನ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🦹🏻‍♂	ಪುರುಷ ಸೂಪರ್ವಿಲನ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🦹🏼‍♂️	ಪುರುಷ ಸೂಪರ್ವಿಲನ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🦹🏼‍♂	ಪುರುಷ ಸೂಪರ್ವಿಲನ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🦹🏽‍♂️	ಪುರುಷ ಸೂಪರ್ವಿಲನ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🦹🏽‍♂	ಪುರುಷ ಸೂಪರ್ವಿಲನ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🦹🏾‍♂️	ಪುರುಷ ಸೂಪರ್ವಿಲನ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🦹🏾‍♂	ಪುರುಷ ಸೂಪರ್ವಿಲನ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🦹🏿‍♂️	ಪುರುಷ ಸೂಪರ್ವಿಲನ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🦹🏿‍♂	ಪುರುಷ ಸೂಪರ್ವಿಲನ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧙	ಮಂತ್ರವಾದಿ
🧙🏻	ಮಂತ್ರವಾದಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧙🏼	ಮಂತ್ರವಾದಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧙🏽	ಮಂತ್ರವಾದಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧙🏾	ಮಂತ್ರವಾದಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧙🏿	ಮಂತ್ರವಾದಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧙‍♀️	ಮಹಿಳೆ ಮಂತ್ರವಾದಿ
🧙‍♀	ಮಹಿಳೆ ಮಂತ್ರವಾದಿ
🧙🏻‍♀️	ಮಹಿಳೆ ಮಂತ್ರವಾದಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧙🏻‍♀	ಮಹಿಳೆ ಮಂತ್ರವಾದಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧙🏼‍♀️	ಮಹಿಳೆ ಮಂತ್ರವಾದಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧙🏼‍♀	ಮಹಿಳೆ ಮಂತ್ರವಾದಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧙🏽‍♀️	ಮಹಿಳೆ ಮಂತ್ರವಾದಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧙🏽‍♀	ಮಹಿಳೆ ಮಂತ್ರವಾದಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧙🏾‍♀️	ಮಹಿಳೆ ಮಂತ್ರವಾದಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧙🏾‍♀	ಮಹಿಳೆ ಮಂತ್ರವಾದಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧙🏿‍♀️	ಮಹಿಳೆ ಮಂತ್ರವಾದಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧙🏿‍♀	ಮಹಿಳೆ ಮಂತ್ರವಾದಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧙‍♂️	ಮನುಷ್ಯ ಮಂತ್ರವಾದಿ
🧙‍♂	ಮನುಷ್ಯ ಮಂತ್ರವಾದಿ
🧙🏻‍♂️	ಮನುಷ್ಯ ಮಂತ್ರವಾದಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧙🏻‍♂	ಮನುಷ್ಯ ಮಂತ್ರವಾದಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧙🏼‍♂️	ಮನುಷ್ಯ ಮಂತ್ರವಾದಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧙🏼‍♂	ಮನುಷ್ಯ ಮಂತ್ರವಾದಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧙🏽‍♂️	ಮಂತ್ರವಾದಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧙🏽‍♂	ಮಂತ್ರವಾದಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧙🏾‍♂️	ಮ್ಯಾನ್ ಮ್ಯಾಜ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧙🏾‍♂	ಮ್ಯಾನ್ ಮ್ಯಾಜ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧙🏿‍♂️	ಮಂತ್ರವಾದಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧙🏿‍♂	ಮಂತ್ರವಾದಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧚	ಕಾಲ್ಪನಿಕ
🧚🏻	ಕಾಲ್ಪನಿಕ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧚🏼	ಕಾಲ್ಪನಿಕ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧚🏽	ಕಾಲ್ಪನಿಕ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧚🏾	ಕಾಲ್ಪನಿಕ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧚🏿	ಕಾಲ್ಪನಿಕ: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🧚‍♀️	ಮಹಿಳೆ ಕಾಲ್ಪನಿಕ
🧚‍♀	ಮಹಿಳೆ ಕಾಲ್ಪನಿಕ
🧚🏻‍♀️	ಸ್ತ್ರೀ ಕಾಲ್ಪನಿಕ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧚🏻‍♀	ಸ್ತ್ರೀ ಕಾಲ್ಪನಿಕ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧚🏼‍♀️	ಸ್ತ್ರೀ ಕಾಲ್ಪನಿಕ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧚🏼‍♀	ಸ್ತ್ರೀ ಕಾಲ್ಪನಿಕ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧚🏽‍♀️	ಸ್ತ್ರೀ ಕಾಲ್ಪನಿಕ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧚🏽‍♀	ಸ್ತ್ರೀ ಕಾಲ್ಪನಿಕ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧚🏾‍♀️	ಸ್ತ್ರೀ ಕಾಲ್ಪನಿಕ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧚🏾‍♀	ಸ್ತ್ರೀ ಕಾಲ್ಪನಿಕ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧚🏿‍♀️	ಸ್ತ್ರೀ ಕಾಲ್ಪನಿಕ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧚🏿‍♀	ಸ್ತ್ರೀ ಕಾಲ್ಪನಿಕ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧚‍♂️	ಮನುಷ್ಯ ಕಾಲ್ಪನಿಕ
🧚‍♂	ಮನುಷ್ಯ ಕಾಲ್ಪನಿಕ
🧚🏻‍♂️	ಪುರುಷ ಕಾಲ್ಪನಿಕ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧚🏻‍♂	ಪುರುಷ ಕಾಲ್ಪನಿಕ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧚🏼‍♂️	ಮ್ಯಾನ್ ಫೇರಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧚🏼‍♂	ಮ್ಯಾನ್ ಫೇರಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧚🏽‍♂️	ಪುರುಷ ಕಾಲ್ಪನಿಕ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧚🏽‍♂	ಪುರುಷ ಕಾಲ್ಪನಿಕ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧚🏾‍♂️	ಪುರುಷ ಕಾಲ್ಪನಿಕ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧚🏾‍♂	ಪುರುಷ ಕಾಲ್ಪನಿಕ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧚🏿‍♂️	ಪುರುಷ ಕಾಲ್ಪನಿಕ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧚🏿‍♂	ಪುರುಷ ಕಾಲ್ಪನಿಕ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧛	ರಕ್ತಪಿಶಾಚಿ
🧛🏻	ರಕ್ತಪಿಶಾಚಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧛🏼	ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧛🏽	ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧛🏾	ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧛🏿	ರಕ್ತಪಿಶಾಚಿ: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🧛‍♀️	ಮಹಿಳೆ ರಕ್ತಪಿಶಾಚಿ
🧛‍♀	ಮಹಿಳೆ ರಕ್ತಪಿಶಾಚಿ
🧛🏻‍♀️	ಮಹಿಳೆ ರಕ್ತಪಿಶಾಚಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧛🏻‍♀	ಮಹಿಳೆ ರಕ್ತಪಿಶಾಚಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧛🏼‍♀️	ಮಹಿಳೆ ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧛🏼‍♀	ಮಹಿಳೆ ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧛🏽‍♀️	ಮಹಿಳೆ ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧛🏽‍♀	ಮಹಿಳೆ ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧛🏾‍♀️	ಮಹಿಳೆ ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧛🏾‍♀	ಮಹಿಳೆ ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧛🏿‍♀️	ಮಹಿಳೆ ರಕ್ತಪಿಶಾಚಿ: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🧛🏿‍♀	ಮಹಿಳೆ ರಕ್ತಪಿಶಾಚಿ: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🧛‍♂️	ಮನುಷ್ಯ ರಕ್ತಪಿಶಾಚಿ
🧛‍♂	ಮನುಷ್ಯ ರಕ್ತಪಿಶಾಚಿ
🧛🏻‍♂️	ಮನುಷ್ಯ ರಕ್ತಪಿಶಾಚಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧛🏻‍♂	ಮನುಷ್ಯ ರಕ್ತಪಿಶಾಚಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧛🏼‍♂️	ಮನುಷ್ಯ ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧛🏼‍♂	ಮನುಷ್ಯ ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧛🏽‍♂️	ಮನುಷ್ಯ ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧛🏽‍♂	ಮನುಷ್ಯ ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧛🏾‍♂️	ಮನುಷ್ಯ ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧛🏾‍♂	ಮನುಷ್ಯ ರಕ್ತಪಿಶಾಚಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧛🏿‍♂️	ಮನುಷ್ಯ ರಕ್ತಪಿಶಾಚಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧛🏿‍♂	ಮನುಷ್ಯ ರಕ್ತಪಿಶಾಚಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧜	ಮರ್ಪರ್ಸನ್
🧜🏻	merperson: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧜🏼	merperson: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧜🏽	merperson: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧜🏾	merperson: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧜🏿	merperson: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🧜‍♀️	ಮತ್ಸ್ಯಕನ್ಯೆ
🧜‍♀	ಮತ್ಸ್ಯಕನ್ಯೆ
🧜🏻‍♀️	ಮತ್ಸ್ಯಕನ್ಯೆ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧜🏻‍♀	ಮತ್ಸ್ಯಕನ್ಯೆ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧜🏼‍♀️	ಮತ್ಸ್ಯಕನ್ಯೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧜🏼‍♀	ಮತ್ಸ್ಯಕನ್ಯೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧜🏽‍♀️	ಮತ್ಸ್ಯಕನ್ಯೆ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧜🏽‍♀	ಮತ್ಸ್ಯಕನ್ಯೆ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧜🏾‍♀️	ಮತ್ಸ್ಯಕನ್ಯೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧜🏾‍♀	ಮತ್ಸ್ಯಕನ್ಯೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧜🏿‍♀️	ಮತ್ಸ್ಯಕನ್ಯೆ: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🧜🏿‍♀	ಮತ್ಸ್ಯಕನ್ಯೆ: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🧜‍♂️	ಮೆರ್ಮನ್
🧜‍♂	ಮೆರ್ಮನ್
🧜🏻‍♂️	ಮೆರ್ಮನ್: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧜🏻‍♂	ಮೆರ್ಮನ್: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧜🏼‍♂️	ಮೆರ್ಮನ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧜🏼‍♂	ಮೆರ್ಮನ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧜🏽‍♂️	ಮೆರ್ಮನ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧜🏽‍♂	ಮೆರ್ಮನ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧜🏾‍♂️	ಮೆರ್ಮನ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧜🏾‍♂	ಮೆರ್ಮನ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧜🏿‍♂️	ಮೆರ್ಮನ್: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🧜🏿‍♂	ಮೆರ್ಮನ್: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🧝	ಯಕ್ಷಿಣಿ
🧝🏻	ಯಕ್ಷಿಣಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧝🏼	ಎಲ್ಫ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧝🏽	ಎಲ್ಫ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧝🏾	ಎಲ್ಫ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧝🏿	ಯಕ್ಷಿಣಿ: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🧝‍♀️	ಮಹಿಳೆ ಯಕ್ಷಿಣಿ
🧝‍♀	ಮಹಿಳೆ ಯಕ್ಷಿಣಿ
🧝🏻‍♀️	ಮಹಿಳೆ ಯಕ್ಷಿಣಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧝🏻‍♀	ಮಹಿಳೆ ಯಕ್ಷಿಣಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧝🏼‍♀️	ಮಹಿಳೆ ಯಕ್ಷಿಣಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧝🏼‍♀	ಮಹಿಳೆ ಯಕ್ಷಿಣಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧝🏽‍♀️	ಮಹಿಳೆ ಯಕ್ಷಿಣಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧝🏽‍♀	ಮಹಿಳೆ ಯಕ್ಷಿಣಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧝🏾‍♀️	ಮಹಿಳೆ ಯಕ್ಷಿಣಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧝🏾‍♀	ಮಹಿಳೆ ಯಕ್ಷಿಣಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧝🏿‍♀️	ಮಹಿಳೆ ಯಕ್ಷಿಣಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧝🏿‍♀	ಮಹಿಳೆ ಯಕ್ಷಿಣಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧝‍♂️	ಮನುಷ್ಯ ಯಕ್ಷಿಣಿ
🧝‍♂	ಮನುಷ್ಯ ಯಕ್ಷಿಣಿ
🧝🏻‍♂️	ಮನುಷ್ಯ ಯಕ್ಷಿಣಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧝🏻‍♂	ಮನುಷ್ಯ ಯಕ್ಷಿಣಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧝🏼‍♂️	ಮನುಷ್ಯ ಯಕ್ಷಿಣಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧝🏼‍♂	ಮನುಷ್ಯ ಯಕ್ಷಿಣಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧝🏽‍♂️	ಮನುಷ್ಯ ಯಕ್ಷಿಣಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧝🏽‍♂	ಮನುಷ್ಯ ಯಕ್ಷಿಣಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧝🏾‍♂️	ಮನುಷ್ಯ ಯಕ್ಷಿಣಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧝🏾‍♂	ಮನುಷ್ಯ ಯಕ್ಷಿಣಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧝🏿‍♂️	ಮನುಷ್ಯ ಯಕ್ಷಿಣಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧝🏿‍♂	ಮನುಷ್ಯ ಯಕ್ಷಿಣಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧞	ಜಿನೀ
🧞‍♀️	ಮಹಿಳೆ ಜಿನೀ
🧞‍♀	ಮಹಿಳೆ ಜಿನೀ
🧞‍♂️	ಮನುಷ್ಯ ಜಿನೀ
🧞‍♂	ಮನುಷ್ಯ ಜಿನೀ
🧟	ಜಡಭರತ
🧟‍♀️	ಮಹಿಳೆ ಜೊಂಬಿ
🧟‍♀	ಮಹಿಳೆ ಜೊಂಬಿ
🧟‍♂️	ಮನುಷ್ಯ ಜೊಂಬಿ
🧟‍♂	ಮನುಷ್ಯ ಜೊಂಬಿ
🙍	ವ್ಯಕ್ತಿ ಮುಖ ಗಂಟಿಕ್ಕುತ್ತಾನೆ
🙍🏻	ಗಂಟಿಕ್ಕುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙍🏼	ಗಂಟಿಕ್ಕಿದ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙍🏽	ಗಂಟಿಕ್ಕಿದ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙍🏾	ಗಂಟಿಕ್ಕಿದ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙍🏿	ಮುಖ ಗಂಟಿಕ್ಕುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🙍‍♂️	ಮನುಷ್ಯ ಗಂಟಿಕ್ಕಿದ
🙍‍♂	ಮನುಷ್ಯ ಗಂಟಿಕ್ಕಿದ
🙍🏻‍♂️	ಗಂಟಿಕ್ಕಿದ ಮನುಷ್ಯ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙍🏻‍♂	ಗಂಟಿಕ್ಕಿದ ಮನುಷ್ಯ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
