😀	صورت پوزخند
👸🏼	پرنسس: رنگ پوست متوسط و روشن
👸🏽	پرنسس: رنگ پوست متوسط
👸🏾	پرنسس: رنگ پوست متوسط تا تیره
👸🏿	پرنسس: رنگ پوست تیره
👳	شخصی که عمامه بر سر دارد
👳🏻	فردی که عمامه به سر دارد: رنگ پوست روشن
👳🏼	فرد عمامه پوش: رنگ پوست متوسط تا روشن
👳🏽	فرد عمامه پوش: رنگ پوست متوسط
👳🏾	فرد عمامه پوش: رنگ پوست متوسط تا تیره
👳🏿	فرد عمامه پوش: رنگ پوست تیره
👳‍♂️	مردی با عمامه
👳‍♂	مردی با عمامه
👳🏻‍♂️	مرد عمامه پوش: رنگ پوست روشن
👳🏻‍♂	مرد عمامه پوش: رنگ پوست روشن
👳🏼‍♂️	مرد عمامه پوش: رنگ پوست متوسط تا روشن
👳🏼‍♂	مرد عمامه پوش: رنگ پوست متوسط تا روشن
👳🏽‍♂️	مرد عمامه پوش: رنگ پوست متوسط
👳🏽‍♂	مرد عمامه پوش: رنگ پوست متوسط
👳🏾‍♂️	مرد عمامه پوش: رنگ پوست متوسط تا تیره
👳🏾‍♂	مرد عمامه پوش: رنگ پوست متوسط تا تیره
👳🏿‍♂️	مرد عمامه پوش: رنگ پوست تیره
👳🏿‍♂	مرد عمامه پوش: رنگ پوست تیره
👳‍♀️	زن عمامه پوش
👳‍♀	زن عمامه پوش
👳🏻‍♀️	زن عمامه پوش: رنگ پوست روشن
👳🏻‍♀	زن عمامه پوش: رنگ پوست روشن
👳🏼‍♀️	زن عمامه پوش: رنگ پوست متوسط تا روشن
👳🏼‍♀	زن عمامه پوش: رنگ پوست متوسط تا روشن
👳🏽‍♀️	زن عمامه پوش: رنگ پوست متوسط
👳🏽‍♀	زن عمامه پوش: رنگ پوست متوسط
👳🏾‍♀️	زن عمامه پوش: رنگ پوست متوسط تا تیره
👳🏾‍♀	زن عمامه پوش: رنگ پوست متوسط تا تیره
👳🏿‍♀️	زن عمامه پوش: رنگ پوست تیره
👳🏿‍♀	زن عمامه پوش: رنگ پوست تیره
👲	مردی با کلاه چینی
👲🏻	مردی با کلاه چینی: رنگ پوست روشن
👲🏼	مردی با کلاه چینی: رنگ پوست متوسط تا روشن
👲🏽	مردی با کلاه چینی: رنگ پوست متوسط
👲🏾	مردی با کلاه چینی: رنگ پوست متوسط تا تیره
👲🏿	مردی با کلاه چینی: رنگ پوست تیره
🧕	زن با روسری
🧕🏻	زن با روسری: رنگ پوست روشن
🧕🏼	زن با روسری: رنگ پوست متوسط تا روشن
🧕🏽	زن با روسری: رنگ پوست متوسط
🧕🏾	زن با روسری: رنگ پوست متوسط تا تیره
🧕🏿	زن با روسری: رنگ پوست تیره
🧔	فرد ریش دار
🧔🏻	فرد ریشو: رنگ پوست روشن
🧔🏼	فرد ریش دار: رنگ پوست متوسط تا روشن
🧔🏽	فرد ریشو: رنگ پوست متوسط
🧔🏾	فرد ریش دار: رنگ پوست متوسط تا تیره
🧔🏿	فرد ریش دار: رنگ پوست تیره
👱	فرد مو بور
👱🏻	فرد مو بور: رنگ پوست روشن
👱🏼	فرد مو بور: رنگ پوست متوسط تا روشن
👱🏽	فرد مو بور: رنگ پوست متوسط
👱🏾	فرد مو بور: رنگ پوست متوسط تا تیره
👱🏿	فرد مو بور: رنگ پوست تیره
👱‍♂️	مرد مو بور
👱‍♂	مرد مو بور
👱🏻‍♂️	مرد مو بور: رنگ پوست روشن
👱🏻‍♂	مرد مو بور: رنگ پوست روشن
👱🏼‍♂️	مرد مو بور: رنگ پوست متوسط تا روشن
👱🏼‍♂	مرد مو بور: رنگ پوست متوسط تا روشن
👱🏽‍♂️	مرد مو بور: رنگ پوست متوسط
👱🏽‍♂	مرد مو بور: رنگ پوست متوسط
👱🏾‍♂️	مرد مو بور: رنگ پوست متوسط تا تیره
👱🏾‍♂	مرد مو بور: رنگ پوست متوسط تا تیره
👱🏿‍♂️	مرد مو بور: رنگ پوست تیره
👱🏿‍♂	مرد مو بور: رنگ پوست تیره
👱‍♀️	زن مو بور
👱‍♀	زن مو بور
👱🏻‍♀️	زن مو بور: رنگ پوست روشن
👱🏻‍♀	زن مو بور: رنگ پوست روشن
👱🏼‍♀️	زن مو بور: رنگ پوست متوسط تا روشن
👱🏼‍♀	زن مو بور: رنگ پوست متوسط تا روشن
👱🏽‍♀️	زن مو بور: رنگ پوست متوسط
👱🏽‍♀	زن مو بور: رنگ پوست متوسط
👱🏾‍♀️	زن مو بور: رنگ پوست متوسط تا تیره
👱🏾‍♀	زن مو بور: رنگ پوست متوسط تا تیره
👱🏿‍♀️	زن مو بور: رنگ پوست تیره
👱🏿‍♀	زن مو بور: رنگ پوست تیره
👨‍🦰	مرد مو قرمز
👨🏻‍🦰	مرد، مو قرمز: رنگ پوست روشن
👨🏼‍🦰	مرد، مو قرمز: رنگ پوست متوسط تا روشن
👨🏽‍🦰	مرد، مو قرمز: رنگ پوست متوسط
👨🏾‍🦰	مرد، مو قرمز: رنگ پوست متوسط تا تیره
👨🏿‍🦰	مرد، مو قرمز: رنگ پوست تیره
👩‍🦰	زن، مو قرمز
👩🏻‍🦰	زن، مو قرمز: رنگ پوست روشن
👩🏼‍🦰	زن، مو قرمز: رنگ پوست متوسط تا روشن
👩🏽‍🦰	زن، مو قرمز: رنگ پوست متوسط
👩🏾‍🦰	زن، مو قرمز: رنگ پوست متوسط تا تیره
👩🏿‍🦰	زن، مو قرمز: رنگ پوست تیره
👨‍🦱	مردی با موهای مجعد
👨🏻‍🦱	مرد، موهای مجعد: رنگ پوست روشن
👨🏼‍🦱	مرد، موهای مجعد: رنگ پوست متوسط تا روشن
👨🏽‍🦱	مرد، موهای مجعد: رنگ پوست متوسط
👨🏾‍🦱	مرد، موهای مجعد: رنگ پوست متوسط تا تیره
👨🏿‍🦱	مرد، موهای مجعد: رنگ پوست تیره
👩‍🦱	زن با موهای مجعد
👩🏻‍🦱	زن، موهای مجعد: رنگ پوست روشن
👩🏼‍🦱	زن، موهای مجعد: رنگ پوست متوسط تا روشن
👩🏽‍🦱	زن، موهای مجعد: رنگ پوست متوسط
👩🏾‍🦱	زن، موهای مجعد: رنگ پوست متوسط تا تیره
👩🏿‍🦱	زن، موهای مجعد: رنگ پوست تیره
👨‍🦲	مرد، طاس
👨🏻‍🦲	مرد، طاس: رنگ پوست روشن
👨🏼‍🦲	مرد، طاس: رنگ پوست متوسط تا روشن
👨🏽‍🦲	مرد، طاس: رنگ پوست متوسط
👨🏾‍🦲	مرد، طاس: رنگ پوست متوسط تا تیره
👨🏿‍🦲	مرد، طاس: رنگ پوست تیره
👩‍🦲	زن، کچل
👩🏻‍🦲	زن، طاس: رنگ پوست روشن
👩🏼‍🦲	زن، طاس: رنگ پوست متوسط تا روشن
👩🏽‍🦲	زن، طاس: رنگ پوست متوسط
👩🏾‍🦲	زن، طاس: رنگ پوست متوسط تا تیره
👩🏿‍🦲	زن، طاس: رنگ پوست تیره
👨‍🦳	مردی با موهای سفید
👨🏻‍🦳	مرد، مو سفید: رنگ پوست روشن
👨🏼‍🦳	مرد، مو سفید: رنگ پوست متوسط تا روشن
👨🏽‍🦳	مرد، مو سفید: رنگ پوست متوسط
👨🏾‍🦳	مرد، موهای سفید: رنگ پوست متوسط تا تیره
👨🏿‍🦳	مرد، مو سفید: رنگ پوست تیره
👩‍🦳	زنی با موهای سفید
👩🏻‍🦳	زن، موهای سفید: رنگ پوست روشن
👩🏼‍🦳	زن، موهای سفید: رنگ پوست متوسط تا روشن
👩🏽‍🦳	زن، موهای سفید: رنگ پوست متوسط
👩🏾‍🦳	زن، موهای سفید: رنگ پوست متوسط تا تیره
👩🏿‍🦳	زن، موهای سفید: رنگ پوست تیره
🤵	مرد لباس پوشیده
🤵🏻	مرد لباس پوش: رنگ پوست روشن
🤵🏼	مرد تاکسیدو: رنگ پوست متوسط تا روشن
🤵🏽	مرد تاکسیدو پوش: رنگ پوست متوسط
🤵🏾	مرد تاکسیدو: رنگ پوست متوسط تا تیره
🤵🏿	مرد تاکسیدو پوش: رنگ پوست تیره
👰	عروس با حجاب
👰🏻	عروس با حجاب: رنگ پوست روشن
👰🏼	عروس با حجاب: رنگ پوست متوسط تا روشن
👰🏽	عروس با حجاب: رنگ پوست متوسط
👰🏾	عروس با حجاب: رنگ پوست متوسط تا تیره
👰🏿	عروس با حجاب: رنگ پوست تیره
🤰	زن باردار
🤰🏻	زن باردار: رنگ پوست روشن
🤰🏼	زن باردار: رنگ پوست متوسط تا روشن
🤰🏽	زن باردار: رنگ پوست متوسط
🤰🏾	زن باردار: رنگ پوست متوسط تا تیره
🤰🏿	زن باردار: رنگ پوست تیره
🤱	شیر دادن
🤱🏻	شیردهی: رنگ پوست روشن
🤱🏼	شیردهی: رنگ پوست متوسط تا روشن
🤱🏽	شیردهی: رنگ پوست متوسط
🤱🏾	شیردهی: رنگ پوست متوسط تا تیره
🤱🏿	شیردهی: رنگ پوست تیره
👼	بچه فرشته
👼🏻	بچه فرشته: رنگ پوست روشن
👼🏼	بچه فرشته: رنگ پوست متوسط تا روشن
👼🏽	بچه فرشته: رنگ پوست متوسط
👼🏾	بچه فرشته: رنگ پوست متوسط تا تیره
👼🏿	بچه فرشته: رنگ پوست تیره
🎅	بابا نوئل
🎅🏻	بابا نوئل: رنگ پوست روشن
🎅🏼	بابا نوئل: رنگ پوست متوسط تا روشن
🎅🏽	بابا نوئل: رنگ پوست متوسط
🎅🏾	بابا نوئل: رنگ پوست متوسط تا تیره
🎅🏿	بابا نوئل: رنگ پوست تیره
🤶	خانم کلاوس
🤶🏻	خانم کلاوس: رنگ پوست روشن
🤶🏼	خانم کلاوس: رنگ پوست متوسط و روشن
🤶🏽	خانم کلاوس: رنگ پوست متوسط
🤶🏾	خانم کلاوس: رنگ پوست متوسط تا تیره
🤶🏿	خانم کلاوس: رنگ پوست تیره
🦸	ابرقهرمان
🦸🏻	ابرقهرمان: رنگ پوست روشن
🦸🏼	ابرقهرمان: رنگ پوست متوسط تا روشن
🦸🏽	ابرقهرمان: رنگ پوست متوسط
🦸🏾	ابرقهرمان: رنگ پوست متوسط تا تیره
🦸🏿	ابرقهرمان: رنگ پوست تیره
🦸‍♀️	زن ابرقهرمان
🦸‍♀	زن ابرقهرمان
🦸🏻‍♀️	ابرقهرمان زن: رنگ پوست روشن
🦸🏻‍♀	ابرقهرمان زن: رنگ پوست روشن
🦸🏼‍♀️	ابرقهرمان زن: رنگ پوست متوسط تا روشن
🦸🏼‍♀	ابرقهرمان زن: رنگ پوست متوسط تا روشن
🦸🏽‍♀️	ابرقهرمان زن: رنگ پوست متوسط
🦸🏽‍♀	ابرقهرمان زن: رنگ پوست متوسط
🦸🏾‍♀️	ابرقهرمان زن: رنگ پوست متوسط تا تیره
🦸🏾‍♀	ابرقهرمان زن: رنگ پوست متوسط تا تیره
🦸🏿‍♀️	ابرقهرمان زن: رنگ پوست تیره
🦸🏿‍♀	ابرقهرمان زن: رنگ پوست تیره
🦸‍♂️	مرد ابرقهرمان
🦸‍♂	مرد ابرقهرمان
🦸🏻‍♂️	مرد ابرقهرمان: رنگ پوست روشن
🦸🏻‍♂	مرد ابرقهرمان: رنگ پوست روشن
🦸🏼‍♂️	مرد ابرقهرمان: رنگ پوست متوسط تا روشن
🦸🏼‍♂	مرد ابرقهرمان: رنگ پوست متوسط تا روشن
🦸🏽‍♂️	مرد ابرقهرمان: رنگ پوست متوسط
🦸🏽‍♂	مرد ابرقهرمان: رنگ پوست متوسط
🦸🏾‍♂️	مرد ابرقهرمان: رنگ پوست متوسط تا تیره
🦸🏾‍♂	مرد ابرقهرمان: رنگ پوست متوسط تا تیره
🦸🏿‍♂️	مرد ابرقهرمان: رنگ پوست تیره
🦸🏿‍♂	مرد ابرقهرمان: رنگ پوست تیره
🦹	ابرشرور
🦹🏻	supervillain: رنگ پوست روشن
🦹🏼	supervillain: رنگ پوست متوسط تا روشن
🦹🏽	supervillain: رنگ پوست متوسط
🦹🏾	supervillain: رنگ پوست متوسط تا تیره
🦹🏿	supervillain: رنگ پوست تیره
🦹‍♀️	زن ابرشرور
🦹‍♀	زن ابرشرور
🦹🏻‍♀️	زن فوق شرور: رنگ پوست روشن
🦹🏻‍♀	زن فوق شرور: رنگ پوست روشن
🦹🏼‍♀️	زن فوق شرور: رنگ پوست متوسط تا روشن
🦹🏼‍♀	زن فوق شرور: رنگ پوست متوسط تا روشن
🦹🏽‍♀️	زن فوق شرور: رنگ پوست متوسط
🦹🏽‍♀	زن فوق شرور: رنگ پوست متوسط
🦹🏾‍♀️	زن فوق شرور: رنگ پوست متوسط تا تیره
🦹🏾‍♀	زن فوق شرور: رنگ پوست متوسط تا تیره
🦹🏿‍♀️	زن فوق شرور: رنگ پوست تیره
🦹🏿‍♀	زن فوق شرور: رنگ پوست تیره
🦹‍♂️	مرد ابرشرور
🦹‍♂	مرد ابرشرور
🦹🏻‍♂️	مرد ابرشرور: رنگ پوست روشن
🦹🏻‍♂	مرد ابرشرور: رنگ پوست روشن
🦹🏼‍♂️	مرد فوق شرور: رنگ پوست متوسط تا روشن
🦹🏼‍♂	مرد فوق شرور: رنگ پوست متوسط تا روشن
🦹🏽‍♂️	مرد فوق شرور: رنگ پوست متوسط
🦹🏽‍♂	مرد فوق شرور: رنگ پوست متوسط
🦹🏾‍♂️	مرد فوق شرور: رنگ پوست متوسط تا تیره
🦹🏾‍♂	مرد فوق شرور: رنگ پوست متوسط تا تیره
🦹🏿‍♂️	مرد فوق شرور: رنگ پوست تیره
🦹🏿‍♂	مرد فوق شرور: رنگ پوست تیره
🧙	جادوگر
🧙🏻	mage: رنگ پوست روشن
🧙🏼	mage: رنگ پوست متوسط تا روشن
🧙🏽	mage: رنگ پوست متوسط
🧙🏾	mage: رنگ پوست متوسط تا تیره
🧙🏿	mage: رنگ پوست تیره
🧙‍♀️	جادوگر زن
🧙‍♀	جادوگر زن
🧙🏻‍♀️	ماژ زن: رنگ پوست روشن
🧙🏻‍♀	ماژ زن: رنگ پوست روشن
🧙🏼‍♀️	ماژ زن: رنگ پوست متوسط تا روشن
🧙🏼‍♀	ماژ زن: رنگ پوست متوسط تا روشن
🧙🏽‍♀️	ماژ زن: رنگ پوست متوسط
🧙🏽‍♀	ماژ زن: رنگ پوست متوسط
🧙🏾‍♀️	ماژ زن: رنگ پوست متوسط تا تیره
🧙🏾‍♀	ماژ زن: رنگ پوست متوسط تا تیره
🧙🏿‍♀️	ماژ زن: رنگ پوست تیره
🧙🏿‍♀	ماژ زن: رنگ پوست تیره
🧙‍♂️	مرد جادوگر
🧙‍♂	مرد جادوگر
🧙🏻‍♂️	man mage: رنگ پوست روشن
🧙🏻‍♂	man mage: رنگ پوست روشن
🧙🏼‍♂️	man mage: رنگ پوست متوسط تا روشن
🧙🏼‍♂	man mage: رنگ پوست متوسط تا روشن
🧙🏽‍♂️	man mage: رنگ پوست متوسط
🧙🏽‍♂	man mage: رنگ پوست متوسط
🧙🏾‍♂️	man mage: رنگ پوست متوسط تا تیره
🧙🏾‍♂	man mage: رنگ پوست متوسط تا تیره
🧙🏿‍♂️	man mage: رنگ پوست تیره
🧙🏿‍♂	man mage: رنگ پوست تیره
🧚	پری
🧚🏻	پری: رنگ پوست روشن
🧚🏼	پری: رنگ پوست متوسط تا روشن
🧚🏽	پری: رنگ پوست متوسط
🧚🏾	پری: رنگ پوست متوسط تا تیره
🧚🏿	پری: رنگ پوست تیره
🧚‍♀️	زن پری
🧚‍♀	زن پری
🧚🏻‍♀️	زن پری: رنگ پوست روشن
🧚🏻‍♀	زن پری: رنگ پوست روشن
🧚🏼‍♀️	زن پری: رنگ پوست متوسط تا روشن
🧚🏼‍♀	زن پری: رنگ پوست متوسط تا روشن
🧚🏽‍♀️	زن پری: رنگ پوست متوسط
🧚🏽‍♀	زن پری: رنگ پوست متوسط
🧚🏾‍♀️	زن پری: رنگ پوست متوسط تا تیره
🧚🏾‍♀	زن پری: رنگ پوست متوسط تا تیره
🧚🏿‍♀️	زن پری: رنگ پوست تیره
🧚🏿‍♀	زن پری: رنگ پوست تیره
🧚‍♂️	مرد پری
🧚‍♂	مرد پری
🧚🏻‍♂️	مرد پری: رنگ پوست روشن
🧚🏻‍♂	مرد پری: رنگ پوست روشن
🧚🏼‍♂️	مرد پری: رنگ پوست متوسط تا روشن
🧚🏼‍♂	مرد پری: رنگ پوست متوسط تا روشن
🧚🏽‍♂️	مرد پری: رنگ پوست متوسط
🧚🏽‍♂	مرد پری: رنگ پوست متوسط
🧚🏾‍♂️	مرد پری: رنگ پوست متوسط تا تیره
🧚🏾‍♂	مرد پری: رنگ پوست متوسط تا تیره
🧚🏿‍♂️	مرد پری: رنگ پوست تیره
🧚🏿‍♂	مرد پری: رنگ پوست تیره
🧛	خون آشام
🧛🏻	خون آشام: رنگ پوست روشن
🧛🏼	خون آشام: رنگ پوست متوسط تا روشن
🧛🏽	خون آشام: رنگ پوست متوسط
🧛🏾	خون آشام: رنگ پوست متوسط تا تیره
🧛🏿	خون آشام: رنگ پوست تیره
🧛‍♀️	خون آشام زن
🧛‍♀	خون آشام زن
🧛🏻‍♀️	زن خون آشام: رنگ پوست روشن
🧛🏻‍♀	زن خون آشام: رنگ پوست روشن
🧛🏼‍♀️	زن خون آشام: رنگ پوست متوسط تا روشن
🧛🏼‍♀	زن خون آشام: رنگ پوست متوسط تا روشن
🧛🏽‍♀️	زن خون آشام: رنگ پوست متوسط
🧛🏽‍♀	زن خون آشام: رنگ پوست متوسط
🧛🏾‍♀️	زن خون آشام: رنگ پوست متوسط تا تیره
🧛🏾‍♀	زن خون آشام: رنگ پوست متوسط تا تیره
🧛🏿‍♀️	زن خون آشام: رنگ پوست تیره
🧛🏿‍♀	زن خون آشام: رنگ پوست تیره
🧛‍♂️	مرد خون آشام
🧛‍♂	مرد خون آشام
🧛🏻‍♂️	مرد خون آشام: رنگ پوست روشن
🧛🏻‍♂	مرد خون آشام: رنگ پوست روشن
🧛🏼‍♂️	مرد خون آشام: رنگ پوست متوسط تا روشن
🧛🏼‍♂	مرد خون آشام: رنگ پوست متوسط تا روشن
🧛🏽‍♂️	مرد خون آشام: رنگ پوست متوسط
🧛🏽‍♂	مرد خون آشام: رنگ پوست متوسط
🧛🏾‍♂️	مرد خون آشام: رنگ پوست متوسط تا تیره
🧛🏾‍♂	مرد خون آشام: رنگ پوست متوسط تا تیره
🧛🏿‍♂️	مرد خون آشام: رنگ پوست تیره
🧛🏿‍♂	مرد خون آشام: رنگ پوست تیره
🧜	مرد
🧜🏻	merperson: رنگ پوست روشن
🧜🏼	merperson: رنگ پوست متوسط تا روشن
🧜🏽	merperson: رنگ پوست متوسط
🧜🏾	merperson: رنگ پوست متوسط تا تیره
🧜🏿	merperson: رنگ پوست تیره
🧜‍♀️	پری دریایی
🧜‍♀	پری دریایی
🧜🏻‍♀️	پری دریایی: رنگ پوست روشن
🧜🏻‍♀	پری دریایی: رنگ پوست روشن
🧜🏼‍♀️	پری دریایی: رنگ پوست متوسط تا روشن
🧜🏼‍♀	پری دریایی: رنگ پوست متوسط تا روشن
🧜🏽‍♀️	پری دریایی: رنگ پوست متوسط
🧜🏽‍♀	پری دریایی: رنگ پوست متوسط
🧜🏾‍♀️	پری دریایی: رنگ پوست متوسط تا تیره
🧜🏾‍♀	پری دریایی: رنگ پوست متوسط تا تیره
🧜🏿‍♀️	پری دریایی: رنگ پوست تیره
🧜🏿‍♀	پری دریایی: رنگ پوست تیره
🧜‍♂️	مرد دریایی
🧜‍♂	مرد دریایی
🧜🏻‍♂️	مرمن: رنگ پوست روشن
🧜🏻‍♂	مرمن: رنگ پوست روشن
🧜🏼‍♂️	merman: رنگ پوست متوسط تا روشن
🧜🏼‍♂	merman: رنگ پوست متوسط تا روشن
🧜🏽‍♂️	مرمن: رنگ پوست متوسط
🧜🏽‍♂	مرمن: رنگ پوست متوسط
🧜🏾‍♂️	مرمن: رنگ پوست متوسط تا تیره
🧜🏾‍♂	مرمن: رنگ پوست متوسط تا تیره
🧜🏿‍♂️	مرمن: رنگ پوست تیره
🧜🏿‍♂	مرمن: رنگ پوست تیره
🧝	جن
🧝🏻	جن: رنگ پوست روشن
🧝🏼	جن: رنگ پوست متوسط رو به روشن
🧝🏽	جن: رنگ پوست متوسط
🧝🏾	جن: رنگ پوست متوسط تا تیره
🧝🏿	جن: رنگ پوست تیره
🧝‍♀️	جن زن
🧝‍♀	جن زن
🧝🏻‍♀️	جن زن: رنگ پوست روشن
🧝🏻‍♀	جن زن: رنگ پوست روشن
🧝🏼‍♀️	جن زن: رنگ پوست متوسط تا روشن
🧝🏼‍♀	جن زن: رنگ پوست متوسط تا روشن
🧝🏽‍♀️	جن زن: رنگ پوست متوسط
🧝🏽‍♀	جن زن: رنگ پوست متوسط
🧝🏾‍♀️	جن زن: رنگ پوست متوسط تا تیره
🧝🏾‍♀	جن زن: رنگ پوست متوسط تا تیره
🧝🏿‍♀️	جن زن: رنگ پوست تیره
🧝🏿‍♀	جن زن: رنگ پوست تیره
🧝‍♂️	جن مرد
🧝‍♂	جن مرد
🧝🏻‍♂️	جن مرد: رنگ پوست روشن
🧝🏻‍♂	جن مرد: رنگ پوست روشن
🧝🏼‍♂️	جن مرد: رنگ پوست متوسط تا روشن
🧝🏼‍♂	جن مرد: رنگ پوست متوسط تا روشن
🧝🏽‍♂️	جن مرد: رنگ پوست متوسط
🧝🏽‍♂	جن مرد: رنگ پوست متوسط
🧝🏾‍♂️	جن مرد: رنگ پوست متوسط تا تیره
🧝🏾‍♂	جن مرد: رنگ پوست متوسط تا تیره
🧝🏿‍♂️	جن مرد: رنگ پوست تیره
🧝🏿‍♂	جن مرد: رنگ پوست تیره
🧞	جن
🧞‍♀️	جن زن
🧞‍♀	جن زن
🧞‍♂️	جن مرد
🧞‍♂	جن مرد
🧟	زامبی
🧟‍♀️	زامبی زن
🧟‍♀	زامبی زن
🧟‍♂️	انسان زامبی
🧟‍♂	انسان زامبی
🙍	فرد اخم کرده
🙍🏻	فرد اخم کرده: رنگ پوست روشن
🙍🏼	فرد اخم کرده: رنگ پوست متوسط تا روشن
🙍🏽	فرد اخم کرده: رنگ پوست متوسط
🙍🏾	فرد اخم کرده: رنگ پوست متوسط تا تیره
🙍🏿	فرد اخم کرده: رنگ پوست تیره
🙍‍♂️	مرد اخم کرده
🙍‍♂	مرد اخم کرده
🙍🏻‍♂️	مرد اخم کرده: رنگ پوست روشن
🙍🏻‍♂	مرد اخم کرده: رنگ پوست روشن
🙍🏼‍♂️	مرد اخم کرده: رنگ پوست متوسط رو به روشن
🙍🏼‍♂	مرد اخم کرده: رنگ پوست متوسط رو به روشن
🙍🏽‍♂️	مرد اخم کرده: رنگ پوست متوسط
🙍🏽‍♂	مرد اخم کرده: رنگ پوست متوسط
🙍🏾‍♂️	مرد اخم کرده: رنگ پوست متوسط تا تیره
🙍🏾‍♂	مرد اخم کرده: رنگ پوست متوسط تا تیره
🙍🏿‍♂️	مرد اخم کرده: رنگ پوست تیره
🙍🏿‍♂	مرد اخم کرده: رنگ پوست تیره
🙍‍♀️	زن اخم کرده
🙍‍♀	زن اخم کرده
🙍🏻‍♀️	اخم کردن زن: رنگ پوست روشن
🙍🏻‍♀	اخم کردن زن: رنگ پوست روشن
🙍🏼‍♀️	زن اخم کرده: رنگ پوست متوسط تا روشن
🙍🏼‍♀	زن اخم کرده: رنگ پوست متوسط تا روشن
🙍🏽‍♀️	زن اخم کرده: رنگ پوست متوسط
🙍🏽‍♀	زن اخم کرده: رنگ پوست متوسط
🙍🏾‍♀️	زن اخم کرده: رنگ پوست متوسط تا تیره
🙍🏾‍♀	زن اخم کرده: رنگ پوست متوسط تا تیره
🙍🏿‍♀️	زن اخم کرده: رنگ پوست تیره
🙍🏿‍♀	زن اخم کرده: رنگ پوست تیره
🙎	فردی که خرخر می کند
🙎🏻	فردی که خرخر می کند: رنگ پوست روشن
🙎🏼	فردی که خرخر می کند: رنگ پوست متوسط تا روشن
🙎🏽	فرد اخم می کند: رنگ پوست متوسط
🙎🏾	فردی که خرخر می کند: رنگ پوست متوسط تا تیره
🙎🏿	فرد اخم می کند: رنگ پوست تیره
🙎‍♂️	مردی که خرخر می کند
🙎‍♂	مردی که خرخر می کند
🙎🏻‍♂️	مردی که خرخر می کند: رنگ پوست روشن
🙎🏻‍♂	مردی که خرخر می کند: رنگ پوست روشن
🙎🏼‍♂️	مردی که نفخ می کند: رنگ پوست متوسط تا روشن
🙎🏼‍♂	مردی که نفخ می کند: رنگ پوست متوسط تا روشن
🙎🏽‍♂️	مردی که خرخر می کند: رنگ پوست متوسط
🙎🏽‍♂	مردی که خرخر می کند: رنگ پوست متوسط
🙎🏾‍♂️	مردی که نفخ می کند: رنگ پوست متوسط تا تیره
🙎🏾‍♂	مردی که نفخ می کند: رنگ پوست متوسط تا تیره
🙎🏿‍♂️	مردی که خرخر می کند: رنگ پوست تیره
🙎🏿‍♂	مردی که خرخر می کند: رنگ پوست تیره
🙎‍♀️	زن خرخر
🙎‍♀	زن خرخر
🙎🏻‍♀️	غلاف زن: رنگ پوست روشن
🙎🏻‍♀	غلاف زن: رنگ پوست روشن
🙎🏼‍♀️	غلاف زن: رنگ پوست متوسط تا روشن
🙎🏼‍♀	غلاف زن: رنگ پوست متوسط تا روشن
🙎🏽‍♀️	غلاف زن: رنگ پوست متوسط
🙎🏽‍♀	غلاف زن: رنگ پوست متوسط
🙎🏾‍♀️	غلاف زن: رنگ پوست متوسط تا تیره
🙎🏾‍♀	غلاف زن: رنگ پوست متوسط تا تیره
🙎🏿‍♀️	غلاف زن: رنگ پوست تیره
🙎🏿‍♀	غلاف زن: رنگ پوست تیره
🙅	شخص با اشاره به نه
🙅🏻	شخص با اشاره خیر: رنگ پوست روشن
🙅🏼	شخص با اشاره NO: رنگ پوست متوسط تا روشن
🙅🏽	شخص با اشاره خیر: رنگ پوست متوسط
🙅🏾	فردی که با اشاره خیر: رنگ پوست متوسط تا تیره
🙅🏿	شخص با اشاره خیر: رنگ پوست تیره
🙅‍♂️	مرد با اشاره به نه
🙅‍♂	مرد با اشاره به نه
🙅🏻‍♂️	مردی که با اشاره NO: رنگ پوست روشن
🙅🏻‍♂	مردی که با اشاره NO: رنگ پوست روشن
🙅🏼‍♂️	مردی که با اشاره NO: رنگ پوست متوسط تا روشن
🙅🏼‍♂	مردی که با اشاره NO: رنگ پوست متوسط تا روشن
🙅🏽‍♂️	مرد در حال ژست نه: رنگ پوست متوسط
🙅🏽‍♂	مرد در حال ژست نه: رنگ پوست متوسط
🙅🏾‍♂️	مردی که با اشاره NO: رنگ پوست متوسط تا تیره
🙅🏾‍♂	مردی که با اشاره NO: رنگ پوست متوسط تا تیره
🙅🏿‍♂️	مردی که با ژست نه: رنگ پوست تیره
🙅🏿‍♂	مردی که با ژست نه: رنگ پوست تیره
🙅‍♀️	زن با اشاره به نه
🙅‍♀	زن با اشاره به نه
🙅🏻‍♀️	زن با اشاره به NO: رنگ پوست روشن
🙅🏻‍♀	زن با اشاره به NO: رنگ پوست روشن
🙅🏼‍♀️	زن با اشاره NO: رنگ پوست متوسط تا روشن
🙅🏼‍♀	زن با اشاره NO: رنگ پوست متوسط تا روشن
🙅🏽‍♀️	زن با اشاره به NO: رنگ پوست متوسط
🙅🏽‍♀	زن با اشاره به NO: رنگ پوست متوسط
🙅🏾‍♀️	زن با اشاره NO: رنگ پوست متوسط تا تیره
🙅🏾‍♀	زن با اشاره NO: رنگ پوست متوسط تا تیره
🙅🏿‍♀️	زن با اشاره نه: رنگ پوست تیره
🙅🏿‍♀	زن با اشاره نه: رنگ پوست تیره
🙆	شخص با اشاره به او خوب است
🙆🏻	فردی که با دست اشاره می کند خوب است: رنگ پوست روشن
