😀	ухилено лице
🤶🏼	Г-жа Клаус: средно светъл цвят на кожата
🤶🏽	Г-жа Клаус: среден тен на кожата
🤶🏾	Г-жа Клаус: средно тъмен цвят на кожата
🤶🏿	Г-жа Клаус: тъмна кожа
🦸	супергерой
🦸🏻	супергерой: светла кожа
🦸🏼	супергерой: средно светъл тен на кожата
🦸🏽	супергерой: среден цвят на кожата
🦸🏾	супергерой: средно тъмен цвят на кожата
🦸🏿	супергерой: тъмна кожа
🦸‍♀️	жена супергерой
🦸‍♀	жена супергерой
🦸🏻‍♀️	жена супергерой: светла кожа
🦸🏻‍♀	жена супергерой: светла кожа
🦸🏼‍♀️	жена супергерой: средно светъл тен на кожата
🦸🏼‍♀	жена супергерой: средно светъл тен на кожата
🦸🏽‍♀️	жена супергерой: среден цвят на кожата
🦸🏽‍♀	жена супергерой: среден цвят на кожата
🦸🏾‍♀️	жена супергерой: средно тъмен цвят на кожата
🦸🏾‍♀	жена супергерой: средно тъмен цвят на кожата
🦸🏿‍♀️	жена супергерой: тъмна кожа
🦸🏿‍♀	жена супергерой: тъмна кожа
🦸‍♂️	мъж супергерой
🦸‍♂	мъж супергерой
🦸🏻‍♂️	мъж супергерой: светла кожа
🦸🏻‍♂	мъж супергерой: светла кожа
🦸🏼‍♂️	мъж супергерой: средно светъл тен на кожата
🦸🏼‍♂	мъж супергерой: средно светъл тен на кожата
🦸🏽‍♂️	мъж супергерой: среден цвят на кожата
🦸🏽‍♂	мъж супергерой: среден цвят на кожата
🦸🏾‍♂️	мъж супергерой: средно тъмен цвят на кожата
🦸🏾‍♂	мъж супергерой: средно тъмен цвят на кожата
🦸🏿‍♂️	мъж супергерой: тъмна кожа
🦸🏿‍♂	мъж супергерой: тъмна кожа
🦹	суперзлодей
🦹🏻	супер злодей: светла кожа
🦹🏼	супер злодей: средно светъл тен на кожата
🦹🏽	супер злодей: среден тен на кожата
🦹🏾	супер злодей: средно тъмен цвят на кожата
🦹🏿	супер злодей: тъмна кожа
🦹‍♀️	жена суперзлодей
🦹‍♀	жена суперзлодей
🦹🏻‍♀️	жена суперзлодей: светла кожа
🦹🏻‍♀	жена суперзлодей: светла кожа
🦹🏼‍♀️	жена суперзлодей: средно светъл тен на кожата
🦹🏼‍♀	жена суперзлодей: средно светъл тен на кожата
🦹🏽‍♀️	жена суперзлодей: среден тен на кожата
🦹🏽‍♀	жена суперзлодей: среден тен на кожата
🦹🏾‍♀️	жена суперзлодей: средно тъмен цвят на кожата
🦹🏾‍♀	жена суперзлодей: средно тъмен цвят на кожата
🦹🏿‍♀️	жена суперзлодей: тъмна кожа
🦹🏿‍♀	жена суперзлодей: тъмна кожа
🦹‍♂️	мъж супер злодей
🦹‍♂	мъж супер злодей
🦹🏻‍♂️	мъж суперзлодей: светъл тен на кожата
🦹🏻‍♂	мъж суперзлодей: светъл тен на кожата
🦹🏼‍♂️	мъж суперзлодей: средно светъл тен на кожата
🦹🏼‍♂	мъж суперзлодей: средно светъл тен на кожата
🦹🏽‍♂️	мъж суперзлодей: среден тен на кожата
🦹🏽‍♂	мъж суперзлодей: среден тен на кожата
🦹🏾‍♂️	мъж суперзлодей: средно тъмен тон на кожата
🦹🏾‍♂	мъж суперзлодей: средно тъмен тон на кожата
🦹🏿‍♂️	мъж суперзлодей: тъмен цвят на кожата
🦹🏿‍♂	мъж суперзлодей: тъмен цвят на кожата
🧙	магьосник
🧙🏻	маг: светъл цвят на кожата
🧙🏼	маг: средно светъл тен на кожата
🧙🏽	маг: среден цвят на кожата
🧙🏾	маг: средно тъмен тон на кожата
🧙🏿	маг: тъмен цвят на кожата
🧙‍♀️	жена маг
🧙‍♀	жена маг
🧙🏻‍♀️	жена маг: светла кожа
🧙🏻‍♀	жена маг: светла кожа
🧙🏼‍♀️	жена маг: средно светъл тен на кожата
🧙🏼‍♀	жена маг: средно светъл тен на кожата
🧙🏽‍♀️	жена маг: среден цвят на кожата
🧙🏽‍♀	жена маг: среден цвят на кожата
🧙🏾‍♀️	жена маг: средно тъмен цвят на кожата
🧙🏾‍♀	жена маг: средно тъмен цвят на кожата
🧙🏿‍♀️	жена маг: тъмна кожа
🧙🏿‍♀	жена маг: тъмна кожа
🧙‍♂️	човек магьосник
🧙‍♂	човек магьосник
🧙🏻‍♂️	мъж маг: светъл тен на кожата
🧙🏻‍♂	мъж маг: светъл тен на кожата
🧙🏼‍♂️	мъж маг: средно светъл тен на кожата
🧙🏼‍♂	мъж маг: средно светъл тен на кожата
🧙🏽‍♂️	мъж маг: среден цвят на кожата
🧙🏽‍♂	мъж маг: среден тен на кожата
🧙🏾‍♂️	мъж маг: средно тъмен тон на кожата
🧙🏾‍♂	мъж маг: средно тъмен тон на кожата
🧙🏿‍♂️	мъж маг: тъмен цвят на кожата
🧙🏿‍♂	мъж маг: тъмен цвят на кожата
🧚	фея
🧚🏻	фея: светъл цвят на кожата
🧚🏼	фея: средно светъл тен на кожата
🧚🏽	фея: среден цвят на кожата
🧚🏾	фея: средно тъмен тон на кожата
🧚🏿	фея: тъмна кожа
🧚‍♀️	жена фея
🧚‍♀	жена фея
🧚🏻‍♀️	жена фея: светла кожа
🧚🏻‍♀	жена фея: светла кожа
🧚🏼‍♀️	жена фея: средно светъл тен на кожата
🧚🏼‍♀	жена фея: средно светъл тен на кожата
🧚🏽‍♀️	жена фея: среден цвят на кожата
🧚🏽‍♀	жена фея: среден цвят на кожата
🧚🏾‍♀️	жена фея: средно тъмен цвят на кожата
🧚🏾‍♀	жена фея: средно тъмен цвят на кожата
🧚🏿‍♀️	жена фея: тъмна кожа
🧚🏿‍♀	жена фея: тъмна кожа
🧚‍♂️	човек фея
🧚‍♂	човек фея
🧚🏻‍♂️	мъж фея: светъл цвят на кожата
🧚🏻‍♂	мъж фея: светъл цвят на кожата
🧚🏼‍♂️	мъж фея: средно светъл тен на кожата
🧚🏼‍♂	мъж фея: средно светъл тен на кожата
🧚🏽‍♂️	мъж фея: среден тен на кожата
🧚🏽‍♂	мъж фея: среден тен на кожата
🧚🏾‍♂️	мъж фея: средно тъмен цвят на кожата
🧚🏾‍♂	мъж фея: средно тъмен цвят на кожата
🧚🏿‍♂️	мъж фея: тъмен цвят на кожата
🧚🏿‍♂	мъж фея: тъмен цвят на кожата
🧛	вампир
🧛🏻	вампир: светъл тен на кожата
🧛🏼	вампир: средно светъл тен на кожата
🧛🏽	вампир: среден цвят на кожата
🧛🏾	вампир: средно тъмен тон на кожата
🧛🏿	вампир: тъмна кожа
🧛‍♀️	жена вампир
🧛‍♀	жена вампир
🧛🏻‍♀️	жена вампир: светла кожа
🧛🏻‍♀	жена вампир: светла кожа
🧛🏼‍♀️	жена вампир: средно светъл тен на кожата
🧛🏼‍♀	жена вампир: средно светъл тен на кожата
🧛🏽‍♀️	жена вампир: среден цвят на кожата
🧛🏽‍♀	жена вампир: среден цвят на кожата
🧛🏾‍♀️	жена вампир: средно тъмен цвят на кожата
🧛🏾‍♀	жена вампир: средно тъмен цвят на кожата
🧛🏿‍♀️	жена вампир: тъмна кожа
🧛🏿‍♀	жена вампир: тъмна кожа
🧛‍♂️	мъж вампир
🧛‍♂	мъж вампир
🧛🏻‍♂️	мъж вампир: светъл тен на кожата
🧛🏻‍♂	мъж вампир: светъл тен на кожата
🧛🏼‍♂️	мъж вампир: средно светъл тен на кожата
🧛🏼‍♂	мъж вампир: средно светъл тен на кожата
🧛🏽‍♂️	мъж вампир: среден цвят на кожата
🧛🏽‍♂	мъж вампир: среден цвят на кожата
🧛🏾‍♂️	мъж вампир: средно тъмен цвят на кожата
🧛🏾‍♂	мъж вампир: средно тъмен цвят на кожата
🧛🏿‍♂️	мъж вампир: тъмен цвят на кожата
🧛🏿‍♂	мъж вампир: тъмен цвят на кожата
🧜	мерперсън
🧜🏻	merperson: светъл тен на кожата
🧜🏼	merperson: средно светъл тен на кожата
🧜🏽	merperson: среден цвят на кожата
🧜🏾	merperson: средно тъмен цвят на кожата
🧜🏿	merperson: тъмен цвят на кожата
🧜‍♀️	русалка
🧜‍♀	русалка
🧜🏻‍♀️	русалка: светъл цвят на кожата
🧜🏻‍♀	русалка: светъл цвят на кожата
🧜🏼‍♀️	русалка: средно светъл тен на кожата
🧜🏼‍♀	русалка: средно светъл тен на кожата
🧜🏽‍♀️	русалка: среден цвят на кожата
🧜🏽‍♀	русалка: среден цвят на кожата
🧜🏾‍♀️	русалка: средно тъмен цвят на кожата
🧜🏾‍♀	русалка: средно тъмен цвят на кожата
🧜🏿‍♀️	русалка: тъмна кожа
🧜🏿‍♀	русалка: тъмна кожа
🧜‍♂️	русак
🧜‍♂	русак
🧜🏻‍♂️	merman: светъл тен на кожата
🧜🏻‍♂	merman: светъл тен на кожата
🧜🏼‍♂️	merman: средно светъл тен на кожата
🧜🏼‍♂	merman: средно светъл тен на кожата
🧜🏽‍♂️	merman: среден тен на кожата
🧜🏽‍♂	merman: среден тен на кожата
🧜🏾‍♂️	merman: средно тъмен тон на кожата
🧜🏾‍♂	merman: средно тъмен тон на кожата
🧜🏿‍♂️	merman: тъмен цвят на кожата
🧜🏿‍♂	merman: тъмен цвят на кожата
🧝	елф
🧝🏻	елф: светъл цвят на кожата
🧝🏼	елф: средно светъл тен на кожата
🧝🏽	елф: среден цвят на кожата
🧝🏾	елф: средно тъмен тон на кожата
🧝🏿	елф: тъмен цвят на кожата
🧝‍♀️	жена елф
🧝‍♀	жена елф
🧝🏻‍♀️	жена елф: светла кожа
🧝🏻‍♀	жена елф: светла кожа
🧝🏼‍♀️	жена елф: средно светъл тен на кожата
🧝🏼‍♀	жена елф: средно светъл тен на кожата
🧝🏽‍♀️	жена елф: среден тен на кожата
🧝🏽‍♀	жена елф: среден тен на кожата
🧝🏾‍♀️	жена елф: средно тъмен тон на кожата
🧝🏾‍♀	жена елф: средно тъмен тон на кожата
🧝🏿‍♀️	жена елф: тъмна кожа
🧝🏿‍♀	жена елф: тъмна кожа
🧝‍♂️	човек елф
🧝‍♂	човек елф
🧝🏻‍♂️	човек елф: светъл тен на кожата
🧝🏻‍♂	човек елф: светъл тен на кожата
🧝🏼‍♂️	човек елф: средно светъл тен на кожата
🧝🏼‍♂	човек елф: средно светъл тен на кожата
🧝🏽‍♂️	мъж елф: среден тен на кожата
🧝🏽‍♂	мъж елф: среден тен на кожата
🧝🏾‍♂️	мъж елф: средно тъмен цвят на кожата
🧝🏾‍♂	мъж елф: средно тъмен цвят на кожата
🧝🏿‍♂️	човек елф: тъмен цвят на кожата
🧝🏿‍♂	човек елф: тъмен цвят на кожата
🧞	Джин
🧞‍♀️	жена джин
🧞‍♀	жена джин
🧞‍♂️	човек джин
🧞‍♂	човек джин
🧟	зомби
🧟‍♀️	жена зомби
🧟‍♀	жена зомби
🧟‍♂️	човек зомби
🧟‍♂	човек зомби
🙍	намръщен човек
🙍🏻	намръщен човек: светъл тен на кожата
🙍🏼	намръщен човек: средно светъл тен на кожата
🙍🏽	намръщен човек: среден тен на кожата
🙍🏾	намръщен човек: средно тъмен цвят на кожата
🙍🏿	намръщено лице: тъмна кожа
🙍‍♂️	намръщен човек
🙍‍♂	намръщен човек
🙍🏻‍♂️	намръщен мъж: светла кожа
🙍🏻‍♂	намръщен мъж: светла кожа
🙍🏼‍♂️	намръщен мъж: средно светъл тен на кожата
🙍🏼‍♂	намръщен мъж: средно светъл тен на кожата
🙍🏽‍♂️	намръщен мъж: среден цвят на кожата
🙍🏽‍♂	намръщен мъж: среден цвят на кожата
🙍🏾‍♂️	намръщен мъж: средно тъмен цвят на кожата
🙍🏾‍♂	намръщен мъж: средно тъмен цвят на кожата
🙍🏿‍♂️	намръщен мъж: тъмна кожа
🙍🏿‍♂	намръщен мъж: тъмна кожа
🙍‍♀️	намръщена жена
🙍‍♀	намръщена жена
🙍🏻‍♀️	намръщена жена: светла кожа
🙍🏻‍♀	намръщена жена: светла кожа
🙍🏼‍♀️	намръщена жена: средно светъл тен на кожата
🙍🏼‍♀	намръщена жена: средно светъл тен на кожата
🙍🏽‍♀️	намръщена жена: среден тен на кожата
🙍🏽‍♀	намръщена жена: среден тен на кожата
🙍🏾‍♀️	намръщена жена: средно тъмен цвят на кожата
🙍🏾‍♀	намръщена жена: средно тъмен цвят на кожата
🙍🏿‍♀️	намръщена жена: тъмна кожа
🙍🏿‍♀	намръщена жена: тъмна кожа
🙎	човек се нацупи
🙎🏻	нацупено лице: светла кожа
🙎🏼	нацупено лице: средно светъл тен на кожата
🙎🏽	нацупено лице: среден тен на кожата
🙎🏾	нацупено лице: средно тъмен цвят на кожата
🙎🏿	нацупено лице: тъмна кожа
🙎‍♂️	мъж се нацупи
🙎‍♂	мъж се нацупи
🙎🏻‍♂️	мъж, който се нацупи: светла кожа
🙎🏻‍♂	мъж, който се нацупи: светла кожа
🙎🏼‍♂️	нацупено лице: средно светъл тен на кожата
🙎🏼‍♂	нацупено лице: средно светъл тен на кожата
🙎🏽‍♂️	нацупено лице: среден тен на кожата
🙎🏽‍♂	нацупено лице: среден тен на кожата
🙎🏾‍♂️	мъж се нацупи: средно тъмен цвят на кожата
🙎🏾‍♂	мъж се нацупи: средно тъмен цвят на кожата
🙎🏿‍♂️	мъж се нацупи: тъмна кожа
🙎🏿‍♂	мъж се нацупи: тъмна кожа
🙎‍♀️	нацупена жена
🙎‍♀	нацупена жена
🙎🏻‍♀️	нацупена жена: светла кожа
🙎🏻‍♀	нацупена жена: светла кожа
🙎🏼‍♀️	нацупена жена: средно светъл тен на кожата
🙎🏼‍♀	нацупена жена: средно светъл тен на кожата
🙎🏽‍♀️	нацупена жена: среден тен на кожата
🙎🏽‍♀	нацупена жена: среден тен на кожата
🙎🏾‍♀️	нацупена жена: средно тъмен цвят на кожата
🙎🏾‍♀	нацупена жена: средно тъмен цвят на кожата
🙎🏿‍♀️	нацупена жена: тъмна кожа
🙎🏿‍♀	нацупена жена: тъмна кожа
🙅	човек, жестикулиращ с НЕ
🙅🏻	лице, което жестикулира с НЕ: светла кожа
🙅🏼	лице, което жестикулира с НЕ: средно светъл тен на кожата
🙅🏽	човек, който жестикулира с НЕ: среден тен на кожата
🙅🏾	лице, което жестикулира с НЕ: средно тъмен цвят на кожата
🙅🏿	лице, което жестикулира с НЕ: тъмна кожа
🙅‍♂️	мъж, жестикулиращ с НЕ
🙅‍♂	мъж, жестикулиращ с НЕ
🙅🏻‍♂️	мъж, жестикулиращ с НЕ: светла кожа
🙅🏻‍♂	мъж, жестикулиращ с НЕ: светла кожа
🙅🏼‍♂️	мъж, жестикулиращ с НЕ: средно светъл тен на кожата
🙅🏼‍♂	мъж, жестикулиращ с НЕ: средно светъл тен на кожата
🙅🏽‍♂️	мъж, жестикулиращ с НЕ: среден тен на кожата
🙅🏽‍♂	мъж, жестикулиращ НЕ: среден тен на кожата
🙅🏾‍♂️	мъж, жестикулиращ с НЕ: средно тъмен цвят на кожата
🙅🏾‍♂	мъж, жестикулиращ с НЕ: средно тъмен цвят на кожата
🙅🏿‍♂️	мъж, жестикулиращ НЕ: тъмен цвят на кожата
🙅🏿‍♂	мъж, жестикулиращ НЕ: тъмен цвят на кожата
🙅‍♀️	жена, жестикулираща с НЕ
🙅‍♀	жена, жестикулираща с НЕ
🙅🏻‍♀️	жена, жестикулираща с НЕ: светла кожа
🙅🏻‍♀	жена, жестикулираща с НЕ: светла кожа
🙅🏼‍♀️	жена, жестикулираща с НЕ: средно светъл тен на кожата
🙅🏼‍♀	жена, жестикулираща с НЕ: средно светъл тен на кожата
🙅🏽‍♀️	жена, жестикулираща с НЕ: среден тен на кожата
🙅🏽‍♀	жена, жестикулираща с НЕ: среден тен на кожата
🙅🏾‍♀️	жена, жестикулираща с НЕ: средно тъмен цвят на кожата
🙅🏾‍♀	жена, жестикулираща с НЕ: средно тъмен цвят на кожата
🙅🏿‍♀️	жена, жестикулираща с НЕ: тъмна кожа
🙅🏿‍♀	жена, жестикулираща с НЕ: тъмна кожа
🙆	човек, жестикулиращ OK
🙆🏻	лице, което жестикулира OK: светла кожа
🙆🏼	лице, което показва OK: средно светъл тен на кожата
🙆🏽	лице, което показва OK: среден тен на кожата
🙆🏾	лице, което показва OK: средно тъмен цвят на кожата
🙆🏿	човек, който жестикулира OK: тъмен цвят на кожата
🙆‍♂️	мъж, жестикулиращ OK
🙆‍♂	мъж, жестикулиращ OK
🙆🏻‍♂️	мъж, жестикулиращ OK: светла кожа
🙆🏻‍♂	мъж, жестикулиращ OK: светла кожа
🙆🏼‍♂️	мъж, показващ OK: средно светъл тен на кожата
🙆🏼‍♂	мъж, показващ OK: средно светъл тен на кожата
🙆🏽‍♂️	мъж, жестикулиращ OK: среден тен на кожата
🙆🏽‍♂	мъж, жестикулиращ OK: среден тен на кожата
🙆🏾‍♂️	мъж, който показва OK: средно тъмен цвят на кожата
🙆🏾‍♂	мъж, който показва OK: средно тъмен цвят на кожата
🙆🏿‍♂️	мъж, показващ OK: тъмен цвят на кожата
🙆🏿‍♂	мъж, показващ OK: тъмен цвят на кожата
🙆‍♀️	жена, жестикулираща OK
🙆‍♀	жена, жестикулираща OK
🙆🏻‍♀️	жена, жестикулираща с OK: светла кожа
🙆🏻‍♀	жена, жестикулираща с OK: светла кожа
🙆🏼‍♀️	жена, жестикулираща с OK: средно светъл тен на кожата
🙆🏼‍♀	жена, жестикулираща с OK: средно светъл тен на кожата
🙆🏽‍♀️	жена, жестикулираща с OK: среден тен на кожата
🙆🏽‍♀	жена, жестикулираща с OK: среден тен на кожата
🙆🏾‍♀️	жена, жестикулираща с OK: средно тъмен цвят на кожата
🙆🏾‍♀	жена, жестикулираща с OK: средно тъмен цвят на кожата
🙆🏿‍♀️	жена, жестикулираща с OK: тъмна кожа
🙆🏿‍♀	жена, жестикулираща с OK: тъмна кожа
💁	лице, което накланя ръка
💁🏻	човек, който поклаща ръка: светъл тен на кожата
💁🏼	лице, което клати ръка: средно светъл тен на кожата
💁🏽	лице, което клати ръка: среден цвят на кожата
💁🏾	човек, който поклаща ръка: средно тъмен цвят на кожата
💁🏿	лице, което клати ръка: тъмна кожа
💁‍♂️	мъж с ръка
💁‍♂	мъж с ръка
💁🏻‍♂️	мъж, поклащащ ръка: светъл тен на кожата
💁🏻‍♂	мъж, поклащащ ръка: светъл тен на кожата
💁🏼‍♂️	мъж, който поклаща ръка: средно светъл тен на кожата
💁🏼‍♂	мъж, който поклаща ръка: средно светъл тен на кожата
💁🏽‍♂️	мъж, който поклаща ръка: среден цвят на кожата
💁🏽‍♂	мъж, който поклаща ръка: среден цвят на кожата
💁🏾‍♂️	мъж с ръка: средно тъмен цвят на кожата
💁🏾‍♂	мъж с ръка: средно тъмен цвят на кожата
💁🏿‍♂️	мъж, който поклаща ръка: тъмен цвят на кожата
💁🏿‍♂	мъж, който поклаща ръка: тъмен цвят на кожата
💁‍♀️	жена поклаща ръка
💁‍♀	жена с ръка
💁🏻‍♀️	жена, която поклаща ръка: светла кожа
💁🏻‍♀	жена, която поклаща ръка: светла кожа
💁🏼‍♀️	жена, която върти ръка: средно светъл тен на кожата
💁🏼‍♀	жена, която върти ръка: средно светъл тен на кожата
💁🏽‍♀️	жена с ръка: среден тен на кожата
💁🏽‍♀	жена с ръка: среден тен на кожата
💁🏾‍♀️	жена, която върти ръка: средно тъмен цвят на кожата
💁🏾‍♀	жена, която върти ръка: средно тъмен цвят на кожата
💁🏿‍♀️	жена, която поклаща ръка: тъмна кожа
💁🏿‍♀	жена, която поклаща ръка: тъмна кожа
🙋	човек вдига ръка
🙋🏻	човек, вдигащ ръка: светла кожа
🙋🏼	човек, вдигащ ръка: средно светъл тен на кожата
🙋🏽	човек, вдигащ ръка: среден тен на кожата
🙋🏾	човек, вдигащ ръка: средно тъмен цвят на кожата
🙋🏿	човек, вдигащ ръка: тъмен цвят на кожата
🙋‍♂️	мъж вдига ръка
🙋‍♂	мъж вдига ръка
🙋🏻‍♂️	мъж, вдигащ ръка: светла кожа
🙋🏻‍♂	мъж, вдигащ ръка: светла кожа
🙋🏼‍♂️	мъж, вдигащ ръка: средно светъл тен на кожата
🙋🏼‍♂	мъж, вдигащ ръка: средно светъл тен на кожата
🙋🏽‍♂️	мъж, вдигащ ръка: среден тен на кожата
🙋🏽‍♂	мъж, вдигащ ръка: среден тен на кожата
🙋🏾‍♂️	мъж, вдигащ ръка: средно тъмен цвят на кожата
🙋🏾‍♂	мъж, вдигащ ръка: средно тъмен цвят на кожата
🙋🏿‍♂️	мъж, вдигащ ръка: тъмен цвят на кожата
🙋🏿‍♂	мъж, вдигащ ръка: тъмен цвят на кожата
🙋‍♀️	жена, вдигаща ръка
🙋‍♀	жена, вдигаща ръка
🙋🏻‍♀️	жена, вдигаща ръка: светла кожа
🙋🏻‍♀	жена, вдигаща ръка: светла кожа
🙋🏼‍♀️	жена, вдигаща ръка: средно светъл тен на кожата
🙋🏼‍♀	жена, вдигаща ръка: средно светъл тен на кожата
🙋🏽‍♀️	жена, вдигаща ръка: среден тен на кожата
🙋🏽‍♀	жена, вдигаща ръка: среден тен на кожата
🙋🏾‍♀️	жена, вдигаща ръка: средно тъмен цвят на кожата
🙋🏾‍♀	жена, вдигаща ръка: средно тъмен цвят на кожата
🙋🏿‍♀️	жена, вдигаща ръка: тъмна кожа
🙋🏿‍♀	жена, вдигаща ръка: тъмна кожа
🙇	лице, което се покланя
🙇🏻	лице, което се покланя: светла кожа
🙇🏼	лице, което се покланя: средно светъл тен на кожата
🙇🏽	лице, което се покланя: среден цвят на кожата
🙇🏾	лице, което се покланя: средно тъмен цвят на кожата
🙇🏿	лице, което се покланя: тъмна кожа
🙇‍♂️	човек се покланя
🙇‍♂	човек се покланя
🙇🏻‍♂️	мъж, който се покланя: светъл цвят на кожата
🙇🏻‍♂	мъж, който се покланя: светъл цвят на кожата
🙇🏼‍♂️	мъж, който се покланя: средно светъл тен на кожата
🙇🏼‍♂	мъж, който се покланя: средно светъл тен на кожата
🙇🏽‍♂️	мъж, който се покланя: среден цвят на кожата
🙇🏽‍♂	мъж, който се покланя: среден цвят на кожата
🙇🏾‍♂️	мъж, който се покланя: средно тъмен цвят на кожата
🙇🏾‍♂	мъж, който се покланя: средно тъмен цвят на кожата
🙇🏿‍♂️	мъж, който се покланя: тъмен цвят на кожата
🙇🏿‍♂	мъж, който се покланя: тъмен цвят на кожата
🙇‍♀️	жена се покланя
🙇‍♀	жена се покланя
🙇🏻‍♀️	жена, която се покланя: светла кожа
🙇🏻‍♀	жена, която се покланя: светла кожа
🙇🏼‍♀️	жена, която се покланя: средно светъл тен на кожата
🙇🏼‍♀	жена, която се покланя: средно светъл тен на кожата
🙇🏽‍♀️	жена, която се покланя: среден цвят на кожата
🙇🏽‍♀	жена, която се покланя: среден цвят на кожата
🙇🏾‍♀️	жена, която се покланя: средно тъмен цвят на кожата
🙇🏾‍♀	жена, която се покланя: средно тъмен цвят на кожата
🙇🏿‍♀️	жена, която се покланя: тъмна кожа
🙇🏿‍♀	жена, която се покланя: тъмна кожа
🤦	лице с длан
🤦🏻	човек с длан по лицето: светъл цвят на кожата
🤦🏼	лице с длан: средно светъл тен на кожата
🤦🏽	лице с длан: среден цвят на кожата
🤦🏾	лице с длан: средно тъмен цвят на кожата
🤦🏿	човек с длан по лицето: тъмен цвят на кожата
🤦‍♂️	мъж с длан по лицето
🤦‍♂	мъж с длан по лицето
🤦🏻‍♂️	мъж с длан по лицето: светъл цвят на кожата
🤦🏻‍♂	мъж с длан по лицето: светъл цвят на кожата
🤦🏼‍♂️	мъж с длан по лицето: средно светъл тен на кожата
🤦🏼‍♂	мъж с длан по лицето: средно светъл тен на кожата
🤦🏽‍♂️	мъж с длан по лицето: среден тен на кожата
🤦🏽‍♂	мъж с длан по лицето: среден тен на кожата
🤦🏾‍♂️	мъж с длан по лицето: средно тъмен цвят на кожата
🤦🏾‍♂	мъж с длан по лицето: средно тъмен цвят на кожата
🤦🏿‍♂️	мъж с длан по лицето: тъмна кожа
🤦🏿‍♂	мъж с длан по лицето: тъмна кожа
🤦‍♀️	жена с длан по лицето
🤦‍♀	жена с длан по лицето
🤦🏻‍♀️	жена с длан по лицето: светъл тен на кожата
🤦🏻‍♀	жена с длан по лицето: светъл тен на кожата
🤦🏼‍♀️	жена с длан по лицето: средно светъл тен на кожата
🤦🏼‍♀	жена с длан по лицето: средно светъл тен на кожата
🤦🏽‍♀️	жена с длан по лицето: среден тен на кожата
🤦🏽‍♀	жена с длан по лицето: среден тен на кожата
🤦🏾‍♀️	жена с длан по лицето: средно тъмен цвят на кожата
🤦🏾‍♀	жена с длан по лицето: средно тъмен цвят на кожата
🤦🏿‍♀️	жена с длан по лицето: тъмна кожа
🤦🏿‍♀	жена с длан по лицето: тъмна кожа
🤷	човек свива рамене
🤷🏻	човек свива рамене: светла кожа
🤷🏼	човек свива рамене: средно светъл тен на кожата
🤷🏽	човек свива рамене: среден тен на кожата
🤷🏾	човек свива рамене: средно тъмен цвят на кожата
🤷🏿	човек свива рамене: тъмна кожа
🤷‍♂️	мъж вдига рамене
🤷‍♂	мъж вдига рамене
🤷🏻‍♂️	мъж, свиващ рамене: светла кожа
🤷🏻‍♂	мъж, свиващ рамене: светла кожа
🤷🏼‍♂️	мъж, свиващ рамене: средно светъл тен на кожата
🤷🏼‍♂	мъж, свиващ рамене: средно светъл тен на кожата
🤷🏽‍♂️	мъж, свиващ рамене: среден тен на кожата
🤷🏽‍♂	мъж, свиващ рамене: среден тен на кожата
🤷🏾‍♂️	мъж, свиващ рамене: средно тъмен цвят на кожата
🤷🏾‍♂	мъж, свиващ рамене: средно тъмен цвят на кожата
🤷🏿‍♂️	мъж, свиващ рамене: тъмна кожа
🤷🏿‍♂	мъж, свиващ рамене: тъмна кожа
🤷‍♀️	жена вдига рамене
🤷‍♀	жена вдига рамене
🤷🏻‍♀️	жена свива рамене: светла кожа
🤷🏻‍♀	жена свива рамене: светла кожа
🤷🏼‍♀️	жена свива рамене: средно светъл тен на кожата
🤷🏼‍♀	жена свива рамене: средно светъл тен на кожата
🤷🏽‍♀️	жена свива рамене: среден тен на кожата
🤷🏽‍♀	жена свива рамене: среден тен на кожата
🤷🏾‍♀️	жена свива рамене: средно тъмен цвят на кожата
🤷🏾‍♀	жена свива рамене: средно тъмен цвят на кожата
🤷🏿‍♀️	жена свива рамене: тъмна кожа
🤷🏿‍♀	жена свива рамене: тъмна кожа
💆	лице, получаващо масаж
💆🏻	лице на масаж: светла кожа
💆🏼	лице на масаж: средно светъл тен на кожата
💆🏽	лице на масаж: среден тен на кожата
💆🏾	лице на масаж: средно тъмен цвят на кожата
💆🏿	лице, което получава масаж: тъмна кожа
💆‍♂️	мъж получава масаж
💆‍♂	мъж получава масаж
💆🏻‍♂️	мъж получава масаж: светъл тен на кожата
💆🏻‍♂	мъж получава масаж: светъл тен на кожата
💆🏼‍♂️	мъж получава масаж: средно светъл тен на кожата
💆🏼‍♂	мъж получава масаж: средно светъл тен на кожата
💆🏽‍♂️	мъж получава масаж: среден цвят на кожата
💆🏽‍♂	мъж получава масаж: среден цвят на кожата
💆🏾‍♂️	мъж получава масаж: средно тъмен цвят на кожата
💆🏾‍♂	мъж получава масаж: средно тъмен цвят на кожата
💆🏿‍♂️	мъж получава масаж: тъмна кожа
💆🏿‍♂	мъж получава масаж: тъмна кожа
💆‍♀️	жена получава масаж
💆‍♀	жена получава масаж
💆🏻‍♀️	жена, която получава масаж: светла кожа
💆🏻‍♀	жена, която получава масаж: светла кожа
💆🏼‍♀️	жена на масаж: средно светъл тен на кожата
💆🏼‍♀	жена на масаж: средно светъл тен на кожата
💆🏽‍♀️	жена на масаж: среден тен на кожата
💆🏽‍♀	жена на масаж: среден тен на кожата
💆🏾‍♀️	жена на масаж: средно тъмен цвят на кожата
