😀	nacereno lice
👩🏽‍🦱	žena, kovrdžave kose: srednje boje kože
👩🏾‍🦱	žena, kovrdžave kose: srednje tamna koža
👩🏿‍🦱	žena, kovrdžave kose: tamna koža
👨‍🦲	čovječe, ćelav
👨🏻‍🦲	muškarac, ćelav: svijetla koža
👨🏼‍🦲	muškarac, ćelav: srednje svijetla boja kože
👨🏽‍🦲	muškarac, ćelav: srednji ten
👨🏾‍🦲	muškarac, ćelav: srednje tamna koža
👨🏿‍🦲	muškarac, ćelav: tamna koža
👩‍🦲	žena, ćelava
👩🏻‍🦲	žena, ćelava: svijetla koža
👩🏼‍🦲	žena, ćelava: srednje svijetla koža
👩🏽‍🦲	žena, ćelava: srednji ten
👩🏾‍🦲	žena, ćelava: srednje tamna koža
👩🏿‍🦲	žena, ćelava: tamna koža
👨‍🦳	muškarac, bijele kose
👨🏻‍🦳	muškarac, bijele kose: svijetla koža
👨🏼‍🦳	muškarac, bijele kose: srednje svijetla boja kože
👨🏽‍🦳	muškarac, bijele kose: srednje boje kože
👨🏾‍🦳	muškarac, bijele kose: srednje tamna koža
👨🏿‍🦳	muškarac, bijele kose: tamna koža
👩‍🦳	žena, bijele kose
👩🏻‍🦳	žena, bijele kose: svijetla koža
👩🏼‍🦳	žena, bijele kose: srednje svijetla koža
👩🏽‍🦳	žena, sede kose: srednje boje kože
👩🏾‍🦳	žena, bijele kose: srednje tamna koža
👩🏿‍🦳	žena, bijele kose: tamna koža
🤵	covek u smokingu
🤵🏻	muškarac u smokingu: svijetla koža
🤵🏼	muškarac u smokingu: srednje svijetla boja kože
🤵🏽	muškarac u smokingu: srednja boja kože
🤵🏾	muškarac u smokingu: srednje tamna koža
🤵🏿	muškarac u smokingu: tamna koža
👰	mlada sa velom
👰🏻	mlada s velom: svijetla koža
👰🏼	mlada s velom: srednje svijetla boja kože
👰🏽	mlada s velom: srednja boja kože
👰🏾	mlada s velom: srednje tamna koža
👰🏿	nevjesta s velom: tamna koža
🤰	trudnica
🤰🏻	trudnica: svijetla koža
🤰🏼	trudnica: srednje svijetla koža
🤰🏽	trudnica: srednji ten
🤰🏾	trudnica: srednje tamna koža
🤰🏿	trudnica: tamna koža
🤱	dojenje
🤱🏻	dojenje: svijetla koža
🤱🏼	dojenje: srednje svijetla boja kože
🤱🏽	dojenje: srednji ten
🤱🏾	dojenje: srednje tamna koža
🤱🏿	dojenje: tamna koža
👼	baby angel
👼🏻	beba anđeo: svijetla koža
👼🏼	beba anđeo: srednje svijetla koža
👼🏽	beba anđeo: srednja boja kože
👼🏾	beba anđeo: srednje tamna koža
👼🏿	beba anđeo: tamna koža
🎅	djed mraz
🎅🏻	Djed Mraz: svijetla koža
🎅🏼	Djed Mraz: srednje svijetla boja kože
🎅🏽	Djed Mraz: srednji ten
🎅🏾	Djed Mraz: srednje tamna koža
🎅🏿	Djed Mraz: tamna koža
🤶	Mrs. Claus
🤶🏻	Gospođa Claus: svijetla koža
🤶🏼	Gospođa Claus: srednje svijetla boja kože
🤶🏽	Gospođa Claus: srednji ten
🤶🏾	Gospođa Claus: srednje tamna koža
🤶🏿	Gospođa Claus: tamna koža
🦸	superheroj
🦸🏻	superheroj: svijetla koža
🦸🏼	superheroj: srednje svijetla boja kože
🦸🏽	superheroj: srednji ten kože
🦸🏾	superheroj: srednje tamna koža
🦸🏿	superheroj: tamna koža
🦸‍♀️	žena superheroj
🦸‍♀	žena superheroj
🦸🏻‍♀️	žena superheroj: svijetla koža
🦸🏻‍♀	žena superheroj: svijetla koža
🦸🏼‍♀️	žena superheroj: srednje svijetla koža
🦸🏼‍♀	žena superheroj: srednje svijetla koža
🦸🏽‍♀️	žena superheroj: srednji ten kože
🦸🏽‍♀	žena superheroj: srednji ten kože
🦸🏾‍♀️	žena superheroj: srednje tamna koža
🦸🏾‍♀	žena superheroj: srednje tamna koža
🦸🏿‍♀️	žena superheroj: tamna koža
🦸🏿‍♀	žena superheroj: tamna koža
🦸‍♂️	covek superheroj
🦸‍♂	covek superheroj
🦸🏻‍♂️	čovjek superheroj: svijetla koža
🦸🏻‍♂	čovjek superheroj: svijetla koža
🦸🏼‍♂️	muškarac superheroj: srednje svijetla boja kože
🦸🏼‍♂	muškarac superheroj: srednje svijetla boja kože
🦸🏽‍♂️	muškarac superheroj: srednji ten kože
🦸🏽‍♂	muškarac superheroj: srednji ten kože
🦸🏾‍♂️	muškarac superheroj: srednje tamna koža
🦸🏾‍♂	muškarac superheroj: srednje tamna koža
🦸🏿‍♂️	čovjek superheroj: tamna koža
🦸🏿‍♂	čovjek superheroj: tamna koža
🦹	superzlikovac
🦹🏻	superzlikovac: svijetla koža
🦹🏼	superzlikovac: srednje svijetla boja kože
🦹🏽	superzlikovac: srednja boja kože
🦹🏾	superzlikovac: srednje tamna koža
🦹🏿	superzlikovac: tamna koža
🦹‍♀️	žena superzlikovac
🦹‍♀	žena superzlikovac
🦹🏻‍♀️	žena superzlikovac: svijetla koža
🦹🏻‍♀	žena superzlikovac: svijetla koža
🦹🏼‍♀️	žena superzlikovac: srednje svijetla koža
🦹🏼‍♀	žena superzlikovac: srednje svijetla koža
🦹🏽‍♀️	žena superzlikovac: srednji ten kože
🦹🏽‍♀	žena superzlikovac: srednji ten kože
🦹🏾‍♀️	žena superzlikovac: srednje tamna koža
🦹🏾‍♀	žena superzlikovac: srednje tamna koža
🦹🏿‍♀️	žena superzlikovac: tamna koža
🦹🏿‍♀	žena superzlikovac: tamna koža
🦹‍♂️	covek superzlikovac
🦹‍♂	covek superzlikovac
🦹🏻‍♂️	čovjek superzlikovac: svijetla koža
🦹🏻‍♂	čovjek superzlikovac: svijetla koža
🦹🏼‍♂️	muškarac superzlikovac: srednje svijetla koža
🦹🏼‍♂	muškarac superzlikovac: srednje svijetla koža
🦹🏽‍♂️	muškarac superzlikovac: srednja boja kože
🦹🏽‍♂	muškarac superzlikovac: srednja boja kože
🦹🏾‍♂️	muškarac superzlikovac: srednje tamna koža
🦹🏾‍♂	muškarac superzlikovac: srednje tamna koža
🦹🏿‍♂️	čovjek superzlikovac: tamna koža
🦹🏿‍♂	čovjek superzlikovac: tamna koža
🧙	mage
🧙🏻	mag: svijetla koža
🧙🏼	mag: srednje svijetla boja kože
🧙🏽	mag: srednja boja kože
🧙🏾	mag: srednje tamna koža
🧙🏿	mag: tamna koža
🧙‍♀️	mage žena
🧙‍♀	mage žena
🧙🏻‍♀️	magičarka: svijetla koža
🧙🏻‍♀	magičarka: svijetla koža
🧙🏼‍♀️	magičarka: srednje svijetla koža
🧙🏼‍♀	magičarka: srednje svijetla koža
🧙🏽‍♀️	magičarka: srednja boja kože
🧙🏽‍♀	magičarka: srednja boja kože
🧙🏾‍♀️	žena mag: srednje tamna koža
🧙🏾‍♀	žena mag: srednje tamna koža
🧙🏿‍♀️	žena mag: tamna koža
🧙🏿‍♀	žena mag: tamna koža
🧙‍♂️	čovjek mage
🧙‍♂	čovjek mage
🧙🏻‍♂️	mag: svijetla koža
🧙🏻‍♂	mag: svijetla koža
🧙🏼‍♂️	mag: srednje svijetla koža
🧙🏼‍♂	mag: srednje svijetla koža
🧙🏽‍♂️	mag: srednja boja kože
🧙🏽‍♂	mag: srednja boja kože
🧙🏾‍♂️	mag: srednje tamna koža
🧙🏾‍♂	mag: srednje tamna koža
🧙🏿‍♂️	mag: tamna koža
🧙🏿‍♂	mag: tamna koža
🧚	vila
🧚🏻	vila: svijetla koža
🧚🏼	vila: srednje svijetla koža
🧚🏽	vila: srednji ten
🧚🏾	vila: srednje tamna koža
🧚🏿	vila: tamna koža
🧚‍♀️	ženska vila
🧚‍♀	ženska vila
🧚🏻‍♀️	žena vila: svijetla koža
🧚🏻‍♀	žena vila: svijetla koža
🧚🏼‍♀️	žena vila: srednje svijetla koža
🧚🏼‍♀	žena vila: srednje svijetla koža
🧚🏽‍♀️	žena vila: srednji ten
🧚🏽‍♀	žena vila: srednji ten
🧚🏾‍♀️	žena vila: srednje tamna koža
🧚🏾‍♀	žena vila: srednje tamna koža
🧚🏿‍♀️	žena vila: tamna koža
🧚🏿‍♀	žena vila: tamna koža
🧚‍♂️	čovek vila
🧚‍♂	čovek vila
🧚🏻‍♂️	čovjek vila: svijetla koža
🧚🏻‍♂	čovjek vila: svijetla koža
🧚🏼‍♂️	vila: srednje svijetla koža
🧚🏼‍♂	vila: srednje svijetla koža
🧚🏽‍♂️	čovjek vila: srednja boja kože
🧚🏽‍♂	čovjek vila: srednja boja kože
🧚🏾‍♂️	vila: srednje tamna koža
🧚🏾‍♂	vila: srednje tamna koža
🧚🏿‍♂️	muška vila: tamna koža
🧚🏿‍♂	muška vila: tamna koža
🧛	vampir
🧛🏻	vampir: svijetla koža
🧛🏼	vampir: srednje svijetla boja kože
🧛🏽	vampir: srednja boja kože
🧛🏾	vampir: srednje tamna koža
🧛🏿	vampir: tamna koža
🧛‍♀️	žena vampir
🧛‍♀	žena vampir
🧛🏻‍♀️	žena vampir: svijetla koža
🧛🏻‍♀	žena vampir: svijetla koža
🧛🏼‍♀️	žena vampir: srednje svijetla koža
🧛🏼‍♀	žena vampir: srednje svijetla koža
🧛🏽‍♀️	žena vampir: srednja boja kože
🧛🏽‍♀	žena vampir: srednja boja kože
🧛🏾‍♀️	žena vampir: srednje tamna koža
🧛🏾‍♀	žena vampir: srednje tamna koža
🧛🏿‍♀️	žena vampir: tamna koža
🧛🏿‍♀	žena vampir: tamna koža
🧛‍♂️	čovek vampir
🧛‍♂	čovek vampir
🧛🏻‍♂️	muškarac vampir: svijetla koža
🧛🏻‍♂	muškarac vampir: svijetla koža
🧛🏼‍♂️	muškarac vampir: srednje svijetla koža
🧛🏼‍♂	muškarac vampir: srednje svijetla koža
🧛🏽‍♂️	muškarac vampir: srednja boja kože
🧛🏽‍♂	muškarac vampir: srednja boja kože
🧛🏾‍♂️	muškarac vampir: srednje tamna koža
🧛🏾‍♂	muškarac vampir: srednje tamna koža
🧛🏿‍♂️	muškarac vampir: tamna koža
🧛🏿‍♂	muškarac vampir: tamna koža
🧜	merperson
🧜🏻	merperson: svijetla koža
🧜🏼	merperson: srednje svijetla koža
🧜🏽	merperson: srednja boja kože
🧜🏾	merperson: srednje tamna koža
🧜🏿	merperson: tamna koža
🧜‍♀️	sirena
🧜‍♀	sirena
🧜🏻‍♀️	sirena: svijetla koža
🧜🏻‍♀	sirena: svijetla koža
🧜🏼‍♀️	sirena: srednje svijetla koža
🧜🏼‍♀	sirena: srednje svijetla koža
🧜🏽‍♀️	sirena: srednja boja kože
🧜🏽‍♀	sirena: srednja boja kože
🧜🏾‍♀️	sirena: srednje tamna koža
🧜🏾‍♀	sirena: srednje tamna koža
🧜🏿‍♀️	sirena: tamna koža
🧜🏿‍♀	sirena: tamna koža
🧜‍♂️	merman
🧜‍♂	merman
🧜🏻‍♂️	merman: svijetla koža
🧜🏻‍♂	merman: svijetla koža
🧜🏼‍♂️	merman: srednje svijetla koža
🧜🏼‍♂	merman: srednje svijetla koža
🧜🏽‍♂️	merman: srednja boja kože
🧜🏽‍♂	merman: srednja boja kože
🧜🏾‍♂️	merman: srednje tamna koža
🧜🏾‍♂	merman: srednje tamna koža
🧜🏿‍♂️	merman: tamna koža
🧜🏿‍♂	merman: tamna koža
🧝	elf
🧝🏻	vilenjak: svijetla boja kože
🧝🏼	vilenjak: srednje svijetla boja kože
🧝🏽	vilenjak: srednja boja kože
🧝🏾	vilenjak: srednje tamna koža
🧝🏿	vilenjak: tamna koža
🧝‍♀️	žena vilenjak
🧝‍♀	žena vilenjak
🧝🏻‍♀️	žena vilenjak: svijetla koža
🧝🏻‍♀	žena vilenjak: svijetla koža
🧝🏼‍♀️	vilenjak: srednje svijetla boja kože
🧝🏼‍♀	vilenjak: srednje svijetla boja kože
🧝🏽‍♀️	vilenjak: srednja boja kože
🧝🏽‍♀	vilenjak: srednja boja kože
🧝🏾‍♀️	vilenjak: srednje tamna koža
🧝🏾‍♀	vilenjak: srednje tamna koža
🧝🏿‍♀️	žena vilenjak: tamna koža
🧝🏿‍♀	žena vilenjak: tamna koža
🧝‍♂️	man elf
🧝‍♂	man elf
🧝🏻‍♂️	čovjek vilenjak: svijetla koža
🧝🏻‍♂	čovjek vilenjak: svijetla koža
🧝🏼‍♂️	vilenjak: srednje svijetla boja kože
🧝🏼‍♂	vilenjak: srednje svijetla boja kože
🧝🏽‍♂️	vilenjak: srednja boja kože
🧝🏽‍♂	vilenjak: srednja boja kože
🧝🏾‍♂️	vilenjak: srednje tamna koža
🧝🏾‍♂	vilenjak: srednje tamna koža
🧝🏿‍♂️	vilenjak: tamna koža
🧝🏿‍♂	vilenjak: tamna koža
🧞	genie
🧞‍♀️	žena duh
🧞‍♀	žena duh
🧞‍♂️	man genie
🧞‍♂	man genie
🧟	zombi
🧟‍♀️	žena zombi
🧟‍♀	žena zombi
🧟‍♂️	čovjek zombi
🧟‍♂	čovjek zombi
🙍	osoba koja se namršti
🙍🏻	mrštena osoba: svijetla koža
🙍🏼	mrštena osoba: srednje svijetla boja kože
🙍🏽	namrštena osoba: srednja boja kože
🙍🏾	mrštena osoba: srednje tamna koža
🙍🏿	mrštena osoba: tamna koža
🙍‍♂️	čovjek se namršti
🙍‍♂	čovjek se namršti
🙍🏻‍♂️	čovjek namršten: svijetla koža
🙍🏻‍♂	čovjek namršten: svijetla koža
🙍🏼‍♂️	čovjek namršten: srednje svijetla boja kože
🙍🏼‍♂	čovjek namršten: srednje svijetla boja kože
🙍🏽‍♂️	čovjek namršten: srednji ten
🙍🏽‍♂	čovjek namršten: srednji ten
🙍🏾‍♂️	namršteni muškarac: srednje tamna koža
🙍🏾‍♂	čovjek namršten: srednje tamna koža
🙍🏿‍♂️	čovjek namršten: tamna koža
🙍🏿‍♂	čovjek namršten: tamna koža
🙍‍♀️	žena namrštena
🙍‍♀	žena namrštena
🙍🏻‍♀️	mrštena žena: svijetla koža
🙍🏻‍♀	mrštena žena: svijetla koža
🙍🏼‍♀️	mrštena žena: srednje svijetla boja kože
🙍🏼‍♀	mrštena žena: srednje svijetla boja kože
🙍🏽‍♀️	mrštena žena: srednja boja kože
🙍🏽‍♀	mrštena žena: srednja boja kože
🙍🏾‍♀️	mrštena žena: srednje tamna koža
🙍🏾‍♀	mrštena žena: srednje tamna koža
🙍🏿‍♀️	mrštena žena: tamna koža
🙍🏿‍♀	mrštena žena: tamna koža
🙎	osoba duri se
🙎🏻	osoba koja se duri: svijetla koža
🙎🏼	osoba koja se duri: srednje svijetla boja kože
🙎🏽	osoba koja se duri: srednja boja kože
🙎🏾	osoba koja se duri: srednje tamna koža
🙎🏿	osoba koja se duri: tamna koža
🙎‍♂️	čovjek duri se
🙎‍♂	čovjek duri se
🙎🏻‍♂️	muškarac koji se duri: svijetla koža
🙎🏻‍♂	muškarac koji se duri: svijetla koža
🙎🏼‍♂️	muškarac koji se duri: srednje svijetla boja kože
🙎🏼‍♂	muškarac koji se duri: srednje svijetla boja kože
🙎🏽‍♂️	muškarac koji se duri: srednja boja kože
🙎🏽‍♂	muškarac koji se duri: srednja boja kože
🙎🏾‍♂️	muškarac koji se duri: srednje tamna koža
🙎🏾‍♂	muškarac koji se duri: srednje tamna koža
🙎🏿‍♂️	muškarac koji se duri: tamna koža
🙎🏿‍♂	muškarac koji se duri: tamna koža
🙎‍♀️	žena se duri
🙎‍♀	žena se duri
🙎🏻‍♀️	žena koja se duri: svijetla koža
🙎🏻‍♀	žena koja se duri: svijetla koža
🙎🏼‍♀️	žena koja se duri: srednje svijetla boja kože
🙎🏼‍♀	žena koja se duri: srednje svijetla boja kože
🙎🏽‍♀️	žena koja se duri: srednji ten
🙎🏽‍♀	žena koja se duri: srednji ten
🙎🏾‍♀️	žena koja se duri: srednje tamna koža
🙎🏾‍♀	žena koja se duri: srednje tamna koža
🙎🏿‍♀️	žena koja se duri: tamna koža
🙎🏿‍♀	žena koja se duri: tamna koža
🙅	osoba koja gestikulira NE
🙅🏻	osoba koja gestikulira NE: svijetla boja kože
🙅🏼	osoba koja gestikulira NE: srednje svijetla boja kože
🙅🏽	osoba koja gestikulira NE: srednja boja kože
🙅🏾	osoba koja gestikulira NE: srednje tamna koža
🙅🏿	osoba koja gestikulira NE: tamna koža
🙅‍♂️	čovjek pokazuje NE
🙅‍♂	čovjek pokazuje NE
🙅🏻‍♂️	muškarac koji gestikulira NE: svijetla koža
🙅🏻‍♂	muškarac koji gestikulira NE: svijetla koža
🙅🏼‍♂️	muškarac koji gestikulira NE: srednje svijetla boja kože
🙅🏼‍♂	muškarac koji gestikulira NE: srednje svijetla boja kože
🙅🏽‍♂️	muškarac koji gestikulira NE: srednja boja kože
🙅🏽‍♂	muškarac koji gestikulira NE: srednja boja kože
🙅🏾‍♂️	muškarac koji gestikulira NE: srednje tamna koža
🙅🏾‍♂	muškarac koji gestikulira NE: srednje tamna koža
🙅🏿‍♂️	muškarac koji gestikulira NE: tamna koža
🙅🏿‍♂	muškarac koji gestikulira NE: tamna koža
🙅‍♀️	žena gestikulira NE
🙅‍♀	žena gestikulira NE
🙅🏻‍♀️	žena gestikulira NE: svijetla koža
🙅🏻‍♀	žena gestikulira NE: svijetla koža
🙅🏼‍♀️	žena koja gestikulira NE: srednje svijetla boja kože
🙅🏼‍♀	žena koja gestikulira NE: srednje svijetla boja kože
🙅🏽‍♀️	žena gestikulira NE: srednja boja kože
🙅🏽‍♀	žena gestikulira NE: srednja boja kože
🙅🏾‍♀️	žena pokazuje NE: srednje tamna koža
🙅🏾‍♀	žena pokazuje NE: srednje tamna koža
🙅🏿‍♀️	žena pokazuje NE: tamna koža
🙅🏿‍♀	žena pokazuje NE: tamna koža
🙆	osoba koja gestikulira OK
🙆🏻	osoba koja gestikulira OK: svijetla boja kože
🙆🏼	osoba koja gestikulira OK: srednje svijetla boja kože
🙆🏽	osoba koja gestikulira OK: srednja boja kože
🙆🏾	osoba koja gestikulira OK: srednje tamna koža
🙆🏿	osoba koja gestikulira OK: tamna koža
🙆‍♂️	muškarac pokazuje OK
🙆‍♂	muškarac pokazuje OK
🙆🏻‍♂️	muškarac gestikulira OK: svijetla boja kože
🙆🏻‍♂	muškarac gestikulira OK: svijetla boja kože
🙆🏼‍♂️	muškarac gestikulira OK: srednje svijetla boja kože
🙆🏼‍♂	muškarac gestikulira OK: srednje svijetla boja kože
🙆🏽‍♂️	muškarac gestikulira OK: srednja boja kože
🙆🏽‍♂	muškarac gestikulira OK: srednja boja kože
🙆🏾‍♂️	muškarac pokazuje OK: srednje tamna koža
🙆🏾‍♂	muškarac pokazuje OK: srednje tamna koža
🙆🏿‍♂️	muškarac gestikulira OK: tamna koža
🙆🏿‍♂	muškarac gestikulira OK: tamna koža
🙆‍♀️	žena gestikulira OK
🙆‍♀	žena gestikulira OK
🙆🏻‍♀️	žena pokazuje OK: svijetla boja kože
🙆🏻‍♀	žena pokazuje OK: svijetla boja kože
🙆🏼‍♀️	žena pokazuje OK: srednje svijetla boja kože
🙆🏼‍♀	žena pokazuje OK: srednje svijetla boja kože
🙆🏽‍♀️	žena gestikulira OK: srednja boja kože
🙆🏽‍♀	žena gestikulira OK: srednja boja kože
🙆🏾‍♀️	žena pokazuje OK: srednje tamna koža
🙆🏾‍♀	žena pokazuje OK: srednje tamna koža
🙆🏿‍♀️	žena pokazuje OK: tamna koža
🙆🏿‍♀	žena pokazuje OK: tamna koža
💁	osoba koja prebacuje ruku
💁🏻	osoba koja prebacuje ruku: svijetla koža
💁🏼	osoba koja prebacuje ruku: srednje svijetla boja kože
💁🏽	osoba koja prebacuje ruku: srednja boja kože
💁🏾	osoba koja naginje ruku: srednje tamna koža
💁🏿	osoba koja prebacuje ruku: tamna koža
💁‍♂️	čovjek nagnuo ruku
💁‍♂	čovjek nagnuo ruku
💁🏻‍♂️	muškarac koji naginje ruku: svijetla koža
💁🏻‍♂	muškarac koji naginje ruku: svijetla koža
💁🏼‍♂️	muškarac koji se okreće: srednje svijetla boja kože
💁🏼‍♂	muškarac koji se okreće: srednje svijetla boja kože
💁🏽‍♂️	muškarac koji se okreće: srednja boja kože
💁🏽‍♂	muškarac koji se okreće: srednja boja kože
💁🏾‍♂️	muškarac koji se okreće: srednje tamna koža
💁🏾‍♂	muškarac koji se okreće: srednje tamna koža
💁🏿‍♂️	muškarac koji naginje rukom: tamna koža
💁🏿‍♂	muškarac koji naginje rukom: tamna koža
💁‍♀️	žena nagnula ruku
💁‍♀	žena nagnula ruku
💁🏻‍♀️	žena koja se okreće: svijetla koža
💁🏻‍♀	žena koja se okreće: svijetla koža
💁🏼‍♀️	žena koja se okreće: srednje svijetla boja kože
💁🏼‍♀	žena koja se okreće: srednje svijetla boja kože
💁🏽‍♀️	žena koja se okreće: srednja boja kože
💁🏽‍♀	žena koja se okreće: srednja boja kože
💁🏾‍♀️	žena koja naginje: srednje tamna koža
💁🏾‍♀	žena koja naginje: srednje tamna koža
💁🏿‍♀️	žena koja se okreće: tamna koža
💁🏿‍♀	žena koja se okreće: tamna koža
🙋	osoba koja podiže ruku
🙋🏻	osoba koja podiže ruku: svijetla boja kože
🙋🏼	osoba koja podiže ruku: srednje svijetla boja kože
🙋🏽	osoba koja podiže ruku: srednja boja kože
🙋🏾	osoba koja podiže ruku: srednje tamna koža
🙋🏿	osoba koja podiže ruku: tamna koža
🙋‍♂️	muškarac podiže ruku
🙋‍♂	muškarac podiže ruku
🙋🏻‍♂️	muškarac koji podiže ruku: svijetla koža
🙋🏻‍♂	muškarac koji podiže ruku: svijetla koža
🙋🏼‍♂️	muškarac koji podiže ruku: srednje svijetla boja kože
🙋🏼‍♂	muškarac koji podiže ruku: srednje svijetla boja kože
🙋🏽‍♂️	muškarac koji podiže ruku: srednja boja kože
🙋🏽‍♂	muškarac koji podiže ruku: srednja boja kože
🙋🏾‍♂️	muškarac koji podiže ruku: srednje tamna koža
🙋🏾‍♂	muškarac koji podiže ruku: srednje tamna koža
🙋🏿‍♂️	muškarac koji podiže ruku: tamna koža
🙋🏿‍♂	muškarac koji podiže ruku: tamna koža
🙋‍♀️	žena diže ruku
🙋‍♀	žena diže ruku
🙋🏻‍♀️	žena koja podiže ruku: svijetla koža
🙋🏻‍♀	žena koja podiže ruku: svijetla koža
🙋🏼‍♀️	žena koja podiže ruku: srednje svijetla boja kože
🙋🏼‍♀	žena koja podiže ruku: srednje svijetla boja kože
🙋🏽‍♀️	žena koja podiže ruku: srednja boja kože
🙋🏽‍♀	žena koja podiže ruku: srednja boja kože
🙋🏾‍♀️	žena koja podiže ruku: srednje tamna koža
🙋🏾‍♀	žena koja podiže ruku: srednje tamna koža
🙋🏿‍♀️	žena koja podiže ruku: tamna koža
🙋🏿‍♀	žena koja podiže ruku: tamna koža
🙇	osoba se klanja
🙇🏻	osoba koja se klanja: svijetla boja kože
🙇🏼	osoba koja se klanja: srednje svijetla boja kože
🙇🏽	osoba koja se klanja: srednji ten
🙇🏾	osoba koja se klanja: srednje tamna koža
🙇🏿	osoba koja se klanja: tamna koža
🙇‍♂️	čovjek se klanja
🙇‍♂	čovjek se klanja
🙇🏻‍♂️	muškarac se klanja: svijetla koža
🙇🏻‍♂	muškarac se klanja: svijetla koža
🙇🏼‍♂️	muškarac koji se klanja: srednje svijetla boja kože
🙇🏼‍♂	muškarac koji se klanja: srednje svijetla boja kože
🙇🏽‍♂️	muškarac se klanja: srednja boja kože
🙇🏽‍♂	muškarac se klanja: srednja boja kože
🙇🏾‍♂️	muškarac koji se klanja: srednje tamna koža
🙇🏾‍♂	muškarac koji se klanja: srednje tamna koža
🙇🏿‍♂️	muškarac se klanja: tamna koža
🙇🏿‍♂	muškarac se klanja: tamna koža
🙇‍♀️	žena se klanja
🙇‍♀	žena se klanja
🙇🏻‍♀️	žena se klanja: svijetla koža
🙇🏻‍♀	žena se klanja: svijetla koža
🙇🏼‍♀️	žena se klanja: srednje svijetla boja kože
🙇🏼‍♀	žena se klanja: srednje svijetla boja kože
🙇🏽‍♀️	žena se klanja: srednji ten
🙇🏽‍♀	žena se klanja: srednji ten
🙇🏾‍♀️	žena se klanja: srednje tamna koža
🙇🏾‍♀	žena se klanja: srednje tamna koža
🙇🏿‍♀️	žena se klanja: tamna koža
🙇🏿‍♀	žena se klanja: tamna koža
🤦	osoba facepalming
🤦🏻	lice licem dlanom: svijetla boja kože
🤦🏼	osoba koja rukuje dlanom: srednje svijetla boja kože
🤦🏽	osoba koja rukuje dlanom: srednja boja kože
🤦🏾	lice licem dlanom: srednje tamna koža
🤦🏿	lice licem dlanom: tamna koža
🤦‍♂️	man facepalming
🤦‍♂	man facepalming
🤦🏻‍♂️	man facepalming: svijetla koža
🤦🏻‍♂	man facepalming: svijetla koža
🤦🏼‍♂️	muškarac facepalming: srednje svijetla boja kože
🤦🏼‍♂	muškarac facepalming: srednje svijetla boja kože
🤦🏽‍♂️	muškarac facepalming: srednja boja kože
🤦🏽‍♂	muškarac facepalming: srednja boja kože
🤦🏾‍♂️	muškarac facepalming: srednje tamna koža
🤦🏾‍♂	muškarac facepalming: srednje tamna koža
🤦🏿‍♂️	muškarac facepalming: tamna koža
🤦🏿‍♂	muškarac facepalming: tamna koža
🤦‍♀️	žena facepalming
🤦‍♀	žena facepalming
🤦🏻‍♀️	žena facepalming: svijetla koža
🤦🏻‍♀	žena facepalming: svijetla koža
🤦🏼‍♀️	žena facepalming: srednje svijetla boja kože
🤦🏼‍♀	žena facepalming: srednje svijetla boja kože
🤦🏽‍♀️	žena facepalming: srednja boja kože
🤦🏽‍♀	žena facepalming: srednja boja kože
🤦🏾‍♀️	žena facepalming: srednje tamna koža
🤦🏾‍♀	žena facepalming: srednje tamna koža
🤦🏿‍♀️	žena facepalming: tamna koža
🤦🏿‍♀	žena facepalming: tamna koža
🤷	osoba koja sliježe ramenima
🤷🏻	osoba koja sliježe ramenima: svijetla boja kože
🤷🏼	osoba koja sliježe ramenima: srednje svijetla boja kože
🤷🏽	osoba koja sliježe ramenima: srednja boja kože
🤷🏾	osoba koja sliježe ramenima: srednje tamna koža
🤷🏿	osoba koja sliježe ramenima: tamna koža
🤷‍♂️	čovjek sliježe ramenima
🤷‍♂	čovjek sliježe ramenima
🤷🏻‍♂️	muškarac sliježe ramenima: svijetla boja kože
🤷🏻‍♂	muškarac sliježe ramenima: svijetla boja kože
🤷🏼‍♂️	muškarac sliježe ramenima: srednje svijetla boja kože
🤷🏼‍♂	muškarac sliježe ramenima: srednje svijetla boja kože
🤷🏽‍♂️	muškarac sliježe ramenima: srednja boja kože
🤷🏽‍♂	muškarac sliježe ramenima: srednja boja kože
🤷🏾‍♂️	muškarac sliježe ramenima: srednje tamna koža
🤷🏾‍♂	muškarac sliježe ramenima: srednje tamna koža
🤷🏿‍♂️	muškarac sliježe ramenima: tamna koža
🤷🏿‍♂	muškarac sliježe ramenima: tamna koža
🤷‍♀️	žena sleže ramenima
🤷‍♀	žena sleže ramenima
🤷🏻‍♀️	žena sliježe ramenima: svijetla boja kože
🤷🏻‍♀	žena sliježe ramenima: svijetla boja kože
🤷🏼‍♀️	žena sliježe ramenima: srednje svijetla boja kože
🤷🏼‍♀	žena sliježe ramenima: srednje svijetla boja kože
🤷🏽‍♀️	žena sliježe ramenima: srednji ten
🤷🏽‍♀	žena sliježe ramenima: srednja boja kože
🤷🏾‍♀️	žena sliježe ramenima: srednje tamna koža
🤷🏾‍♀	žena sliježe ramenima: srednje tamna koža
🤷🏿‍♀️	žena sliježe ramenima: tamna koža
🤷🏿‍♀	žena sliježe ramenima: tamna koža
💆	osoba na masaži
💆🏻	osoba na masaži: svijetla koža
💆🏼	osoba na masaži: srednje svijetla boja kože
💆🏽	osoba na masaži: srednja boja kože
💆🏾	osoba na masaži: srednje tamna koža
💆🏿	osoba na masaži: tamna koža
